,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1018.0,187.0,187.0,188.0,188.0,0.0,0.0,0.0,0.0,531.0,401.0,531.0,401.0,796.0,796.0,796.0,796.0,803,1088.0,252.0,1038.0,185.0,974.0,1278.0,1088.0,252.0,1038.0,185.0,1278.0,1089.0,1089.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BGR,Europe,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,807244.4796893668,794.4970131421744,796.745174955063,25398.703703703704,23.118279569892472,23.1875608148592,118262.62622281958,116.39510872162484,116.72446494907129,3720.9513106332142,3.386880525686977,3.397038346315158,1.037023575638507,197.7433155080214,29.157304812834226,2175.2340425531916,320.7385,,,,,2658262.536723164,8554.25187032419,386.0461224105462,1.242286783042394,12622.951005025127,1.833172110552764,0.10321645728643215,25.378894472361807,,3619858.978860294,753369.1150793651,1670445.9344894027,627434.8162162162,4642.054414784394,3700.7934272300467,53.37480698529412,11.10845238095238,24.630973025048167,9.251567567567568,545.6666666666666,1981.046831955923,0.029160697887970616,36.300054945054946,65.18000000000004,44.7,20.801,13.272,18563.306999999997,1.5,424.68800000000005,5.810000000000001,30.100000000000005,44.399999999999984,,7.453999999999997,75.04999999999997,0.8160000000000003,6781955.0,40920.36451225359,14.354449760765549,14.555598086124403,6050.619139511962
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,9.0,1.327,98.0,14.45,,,,,18502.0,295.0,2.687,0.043,649.0,0.094,0.0043,2.5,,1719.0,1719.0,1114.0,12287.0,1.0,1.0,0.03,0.03,0.02,0.18,0.0,1.0,0.0,0.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,-2819.8,-18.51,-18.51,-404.0302
25%,,,,2021-02-26 06:00:00,236439.0,0.0,49.571,9839.0,0.0,1.286,34638.695,0.0,7.262,1441.43,0.0,0.188,0.83,32.0,4.718,346.5,51.09125,,,,,494523.0,3402.0,71.81700000000001,0.494,4894.5,0.711,0.0426,7.2,,2625976.75,238198.0,1395293.75,596235.0,75.0,42.25,38.72,3.515,20.57,8.79,6.0,25.0,0.0,11.11,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,16008.399,12.9,-3.79,2324.8208
50%,,,,2022-04-20 12:00:00,1149225.0,0.0,168.429,36782.0,0.0,3.429,168363.33,0.0,24.675,5388.622,0.0,0.502,0.98,57.0,8.405,740.5,109.1865,,,,,1424456.0,7086.0,206.867,1.029,10229.5,1.486,0.0698,14.350000000000001,,4489209.5,644437.5,2068339.5,707213.0,1307.5,783.0,66.195,9.504999999999999,30.5,10.43,115.5,171.0,0.003,43.875,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,57484.9,18.21,2.98,8476.154
75%,,,,2023-06-12 18:00:00,1297605.0,0.0,887.286,38349.0,0.0,26.857,190101.23,0.0,129.989,5618.191,0.0,3.935,1.2275,353.0,52.05,3968.0,585.08225,,,,,3234700.5,12257.0,469.759,1.78,17092.5,2.48225,0.13897500000000002,23.45,,4613080.5,1002816.0,2077763.75,752088.0,6061.25,6411.25,68.02,14.785,30.64,11.09,945.75,2972.0,0.044,49.19,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,66266.29,22.58,17.42,9867.138
max,,,,2024-08-04 00:00:00,1329988.0,61831.0,8833.0,38700.0,1186.0,169.429,194845.4,9058.342,1294.049,5669.613,173.751,24.822,1.71,799.0,117.813,10355.0,1526.846,,,,,10080207.0,75524.0,1463.898,10.968,42232.0,6.133,0.4061,231.1,,4726614.0,2155863.0,2078006.0,768430.0,38117.0,27038.0,69.69,31.79,30.64,11.33,3987.0,12994.0,0.192,73.15,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,69204.49,27.54,127.08,10293.515
