,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,39.0,6.0,151.0,151.0,151.0,151.0,158,67.0,68.0,62.0,39.0,6.0,803.0,67.0,68.0,62.0,39.0,803.0,803.0,803.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BDI,Africa,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,30498.79330943847,32.68021518230723,32.77817146282974,10.462962962962964,0.008960573476702509,0.008996405032953863,2289.5099283154123,2.4532647937836223,2.4606342925659472,0.7854127837514931,0.0006720430107526882,0.0006752546434991014,0.8606774193548388,,,,,,,,,1430466.2564102565,3157.5,113.970358974359,0.25133333333333335,1988.1788079470198,0.1583907284768212,0.018203311258278145,86.93311258278145,,19134.268656716416,17498.45588235294,18501.483870967742,168.56410256410257,76.66666666666667,52.78082191780822,0.1483582089552239,0.13573529411764707,0.1435483870967742,0.0,4.069738480697385,46.1120797011208,0.0002552926525529265,15.908003663003663,423.06199999999995,17.5,2.5620000000000003,1.504,702.2250000000003,71.70000000000002,293.06800000000004,6.049999999999998,,,6.144,0.8,61.580000000000005,0.43299999999999994,12889583.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,,,,,,,,,1296852.0,571.0,103.325,0.045,1061.0,0.085,0.0026,11.3,,81.0,81.0,144.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
25%,,,,2021-02-26 06:00:00,2034.0,0.0,0.286,3.0,0.0,0.0,152.69,0.0,0.021,0.225,0.0,0.0,0.71,,,,,,,,,1365232.0,2624.25,108.773,0.20900000000000002,1553.5,0.124,0.00865,44.849999999999994,,3115.0,2152.75,6394.75,28.5,55.25,22.0,0.025,0.0175,0.052500000000000005,0.0,2.0,0.0,0.0,13.89,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
50%,,,,2022-04-20 12:00:00,38801.0,0.0,5.0,15.0,0.0,0.0,2912.747,0.0,0.375,1.126,0.0,0.0,0.94,,,,,,,,,1412395.0,3113.0,112.531,0.248,1944.0,0.155,0.0131,76.2,,19346.0,17607.0,18195.0,283.0,74.5,41.0,0.15,0.14,0.14,0.0,3.0,41.0,0.0,15.74,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
75%,,,,2023-06-12 18:00:00,53954.0,0.0,24.571,15.0,0.0,0.0,4050.266,0.0,1.845,1.126,0.0,0.0,1.06,,,,,,,,,1478612.0,3247.75,117.80600000000001,0.2585,2359.5,0.188,0.0223,115.30000000000001,,32265.0,30566.0,31543.5,303.0,93.75,65.0,0.25,0.24,0.2475,0.0,5.0,63.5,0.0,19.44,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
max,,,,2024-08-04 00:00:00,54569.0,5077.0,725.286,15.0,3.0,0.429,4096.433,381.125,54.446,1.126,0.225,0.032,1.21,,,,,,,,,1611285.0,6394.0,128.377,0.509,3929.0,0.313,0.0888,377.4,,42252.0,36909.0,36321.0,314.0,109.0,410.0,0.33,0.29,0.28,0.0,32.0,265.0,0.002,27.31,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
std,,,,,23455.969210922,230.84107697732082,81.9354290042821,6.073577735198696,0.1267214787344813,0.047287198307354936,1760.8130911615137,17.328973623130658,6.150786964583827,0.45596011544621007,0.009504110905086096,0.003527044198396719,0.25898259419634756,,,,,,,,,86514.29575196713,1879.101780106655,6.892898131934055,0.14970059006786404,544.4194961741998,0.043355272422153195,0.015280852581879686,54.73740551865705,,14251.097280009904,13253.458101746162,12794.60744084434,138.7725884641554,24.77633279294308,52.17132510215387,0.11072210661703132,0.10384138559648927,0.09896342716068741,0.0,4.0526606274087165,42.986570901143374,0.00045859076969362577,4.599056716736914,5.686040479241703e-14,0.0,4.44221912440758e-16,0.0,2.274416191696681e-13,1.4215101198104257e-14,5.686040479241703e-14,1.776887649763032e-15,,,0.0,0.0,7.107550599052128e-15,5.552773905509475e-17,0.0,,,,
