,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,53.0,91.0,53.0,384.0,384.0,384.0,353.0,391,461.0,473.0,461.0,249.0,405.0,1055.0,461.0,473.0,461.0,249.0,1055.0,1055.0,1055.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KHM,Asia,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,89886.79390681004,83.22520908004779,83.47147453565009,1975.3405017921148,1.8255675029868579,1.8310347513481124,5225.454692951015,4.838188769414575,4.852535650089875,114.83407407407407,0.10612544802867384,0.10644278010784901,0.7957383548067394,,,,,,,,,2021257.1868131869,6046.679245283019,121.84304395604396,0.36450943396226415,4874.669270833333,0.2938072916666667,0.05458125,87.13229461756373,,21021513.763557483,9672353.479915433,8950837.436008677,4232727.722891566,90081.33580246914,45331.31753554502,125.36783080260305,57.68397463002115,53.380802603036884,25.243092369477914,2703.440758293839,14519.637914691943,0.08664644549763036,45.286849816849816,90.67200000000001,25.6,4.412,2.384999999999999,3645.07,,270.89199999999994,4.0,2.0,33.699999999999996,66.22900000000001,0.8,69.81999999999996,0.5940000000000001,16767851.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1084676.0,1984.0,65.385,0.12,322.0,0.019,0.0,4.0,,0.0,0.0,64.0,12457.0,339.0,339.0,0.0,0.0,0.0,0.07,20.0,38.0,0.0,0.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
25%,,,,2021-02-26 06:00:00,568.0,0.0,0.286,0.0,0.0,0.0,33.02,0.0,0.017,0.0,0.0,0.0,0.49,,,,,,,,,1248738.5,4710.0,75.275,0.284,2441.75,0.147,0.008674999999999999,11.9,,5223954.0,3000264.0,2757796.0,917995.0,33978.0,3035.0,31.15,17.89,16.45,5.47,181.0,253.5,0.002,20.37,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
50%,,,,2022-04-20 12:00:00,136060.0,0.0,1.857,3055.0,0.0,0.0,7909.676,0.0,0.108,177.599,0.0,0.0,0.81,,,,,,,,,1558086.0,6093.0,93.923,0.367,3435.0,0.207,0.0372,23.4,,24439901.0,13492406.0,12432963.0,2780201.0,67032.0,14467.0,145.75,80.47,74.15,16.58,863.0,1274.0,0.008,47.22,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
75%,,,,2023-06-12 18:00:00,138842.0,0.0,20.571,3056.0,0.0,0.0,8071.404,0.0,1.196,177.657,0.0,0.0,1.1,,,,,,,,,2886912.5,6966.0,174.0255,0.42,6172.25,0.37175,0.075725,72.0,,33121317.0,14369167.0,13796153.0,6901497.0,131521.0,59801.5,197.53,85.69,82.28,41.16,3566.5,7977.0,0.048,65.74,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
max,,,,2024-08-04 00:00:00,139319.0,6668.0,952.571,3056.0,204.0,29.143,8099.134,387.636,55.377,177.657,11.859,1.694,1.96,,,,,,,,,2977609.0,14879.0,179.493,0.897,27702.0,1.67,0.2509,1772.7,,47826645.0,15316670.0,14693274.0,10782710.0,341978.0,593431.0,285.23,91.35,87.63,64.31,35391.0,191715.0,1.143,83.8,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
