,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1030.0,1456.0,1456.0,1456.0,1456.0,0.0,0.0,0.0,0.0,834.0,825.0,834.0,825.0,851.0,851.0,850.0,850.0,858,1264.0,701.0,745.0,1204.0,1243.0,1318.0,1264.0,701.0,745.0,1204.0,1318.0,772.0,772.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CAN,North America,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2787019.321385902,2878.7664277180406,2887.3711461953267,34216.290322580644,33.24148236700538,33.34114268585132,71791.05790621266,74.15438231780168,74.37604853205514,881.3801929510156,0.8562695756126718,0.8588303357314149,1.052,300.21085164835165,7.806921016483516,3576.444368131868,93.00497802197802,,,,,28939633.346522782,75364.24,758.4752817745804,1.9752218181818182,72952.24324324324,1.9119964747356053,0.06131682352941176,39.20294117647059,,75297393.19936709,25002636.393723253,22257609.47919463,20858940.110465117,82227.54545454546,78058.53034901366,195.80993670886076,65.01921540656205,57.88055033557046,54.2433803986711,2029.9028831562973,44999.07772020726,0.11702461139896375,50.49551282051282,4.037,41.399999999999984,16.984000000000005,10.797,44017.591000000015,0.5,105.59900000000002,7.370000000000001,12.0,16.599999999999998,,2.5,82.43000000000004,0.9290000000000002,38454328.0,30072.479583205743,3.965693779904306,5.998995215311004,779.8748107741628
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,15.0,0.39,251.0,6.527,,,,,0.0,18.0,0.0,0.0,6.0,0.0,0.0055,1.9,,5.0,5.0,1.0,3.0,15.0,442.0,0.0,0.0,0.0,0.0,11.0,71.0,0.0,0.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,-2712.1003,-4.18,-6.13,-71.58071
25%,,,,2021-02-26 06:00:00,840586.0,0.0,381.714,21407.0,0.0,6.143,21652.723,0.0,9.833,551.425,0.0,0.158,0.89,114.0,2.965,1916.0,49.825,,,,,7468066.75,42669.0,195.7295,1.118,43762.5,1.147,0.0262,14.5,,58418907.75,23648903.0,9768213.0,2600941.75,5048.0,7106.5,151.9175,61.5,25.4,6.7625,185.25,5077.75,0.013,19.51,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,12847.2,3.34,1.82,336.7107
50%,,,,2022-04-20 12:00:00,3628005.0,0.0,1459.286,38301.0,0.0,21.714,93454.08,0.0,37.59,986.599,0.0,0.559,1.02,211.5,5.5,3316.5,86.245,,,,,29578599.0,72750.0,775.222,1.907,73501.0,1.926,0.0403,24.8,,89028455.5,30379510.0,29415414.0,25806295.0,28358.0,33557.0,231.515,79.0,76.49,67.11,872.5,14884.0,0.039,64.995,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,25221.7,4.4,5.41,655.88715
75%,,,,2023-06-12 18:00:00,4676818.0,0.0,3401.429,52556.0,0.0,43.286,120470.54,0.0,87.618,1353.794,0.0,1.115,1.15,426.0,11.078,5054.75,131.4485,,,,,47077468.25,103462.0,1233.8474999999999,2.712,102725.5,2.692,0.06895000000000001,38.175000000000004,,98319999.0,32780733.0,31467616.0,31878129.5,96209.0,83038.5,255.68,85.25,81.83,82.9,2159.5,36161.25,0.094,71.83,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,55940.945,5.6,10.34,1442.4727
max,,,,2024-08-04 00:00:00,4819055.0,293833.0,41976.143,55282.0,1174.0,167.714,124134.43,7568.868,1081.267,1424.014,30.241,4.32,2.36,1313.0,34.144,11489.0,298.77,,,,,62177630.0,601278.0,1629.606,15.759,214472.0,5.621,0.5287,182.0,,102877159.0,34742937.0,31758251.0,34890285.0,879740.0,545858.0,267.53,90.35,82.59,90.73,14195.0,343277.0,0.893,76.39,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,72443.24,6.2,23.75,1867.9948
