,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,483.0,161.0,161.0,161.0,161.0,774,65.0,61.0,61.0,9.0,2.0,556.0,65.0,61.0,61.0,9.0,556.0,556.0,556.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CPV,Africa,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,42011.63560334528,38.51493428912784,38.63030317555422,295.22759856630825,0.24910394265232974,0.24986518873576993,80830.46786379928,74.10280227001195,74.32478370281606,568.0185734767025,0.4792759856630824,0.4807267825044937,0.981783893985729,,,,,,,,,,589.8902691511387,,1.0033457556935819,396.360248447205,0.67416149068323,0.14704844720496896,7.096273291925466,,434532.1076923077,237051.70491803277,173070.0,346.1111111111111,3731.0,1546.978417266187,73.25738461538461,39.96393442622951,29.177868852459014,0.05888888888888889,2607.9874100719426,643.4028776978417,0.10853237410071942,48.333763736263734,135.57999999999998,25.699999999999992,4.460000000000001,3.437,6222.554000000001,,182.21900000000002,2.4200000000000004,2.1000000000000005,16.5,,2.1000000000000005,72.98000000000002,0.665,593162.0,211.84167687916667,4.594166666666667,10.67125,360.5637096958333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,,,,,,,,,,50.0,,0.085,135.0,0.23,0.0711,4.6,,0.0,0.0,2668.0,36.0,3001.0,193.0,0.0,0.0,0.45,0.01,325.0,4.0,0.001,0.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,-47.600002,-6.47,-17.32,-81.696266
25%,,,,2021-02-26 06:00:00,14999.0,0.0,0.429,143.0,0.0,0.0,28858.105,0.0,0.825,275.132,0.0,0.0,0.76,,,,,,,,,,314.0,,0.534,333.0,0.566,0.127,5.9,,132978.0,117692.0,21679.0,183.0,3366.0,465.25,22.42,19.84,3.65,0.03,784.25,20.0,0.003,19.24,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,0.30000007500000003,0.012499999999999997,2.2725,0.5148924749999999
50%,,,,2022-04-20 12:00:00,55990.0,0.0,6.571,401.0,0.0,0.0,107724.87,0.0,12.643,771.525,0.0,0.0,0.97,,,,,,,,,,481.0,,0.818,407.0,0.692,0.1486,6.7,,482946.0,292866.0,211103.0,291.0,3731.0,1084.0,81.42,49.37,35.59,0.05,1827.5,252.5,0.042499999999999996,59.26,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,182.000005,5.835,8.105,311.01376
75%,,,,2023-06-12 18:00:00,63978.0,0.0,46.143,414.0,0.0,0.286,123093.8,0.0,88.779,796.537,0.0,0.55,1.16,,,,,,,,,,760.5,,1.2934999999999999,471.0,0.801,0.1681,7.9,,711323.0,353747.0,303530.0,493.0,4096.0,2388.5,119.92,59.64,51.17,0.08,4026.75,770.5,0.13025,67.13,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,409.450025,9.7375,17.93,696.4193875
max,,,,2024-08-04 00:00:00,64474.0,7387.0,1055.286,417.0,19.0,2.714,124048.1,14212.603,2030.372,802.309,36.556,5.222,2.95,,,,,,,,,,3140.0,,5.341,567.0,0.964,0.216,14.1,,859940.0,356734.0,308720.0,749.0,4461.0,6701.0,144.98,60.14,52.05,0.13,11297.0,3410.0,0.575,87.96,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,569.80005,10.91,48.25,969.1532
