,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,15.0,15.0,15.0,13.0,22,131.0,129.0,125.0,27.0,30.0,1098.0,131.0,129.0,125.0,27.0,1098.0,1098.0,1098.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CYM,North America,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,16762.708482676226,18.80047789725209,18.856834032354698,19.537634408602152,0.022102747909199524,0.022186938286399043,234086.6204056153,262.5435065710872,263.3300599161174,272.83769354838705,0.30865890083632014,0.3095895745955663,,,,,,,,,,5501.0,2339.5,80.7355,34.33575,358.0,5.254133333333333,0.28867333333333334,3.0076923076923077,,95267.12213740459,46556.8527131783,42784.064,23588.40740740741,511.3,139.38615664845173,138.62664122137406,67.74666666666667,62.256479999999996,34.324814814814815,2028.3506375227687,57.06102003642987,0.0829617486338798,,256.4960000000001,,,,49903.02899999999,,,13.22,,,,,83.91999999999997,,68722.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1897.0,1897.0,27.841,27.841,312.0,4.579,0.0,2.9,,0.0,0.0,3197.0,22369.0,72.0,1.0,0.0,0.0,4.65,32.55,15.0,0.0,0.0,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
25%,,,,2021-02-26 06:00:00,428.0,0.0,0.0,2.0,0.0,0.0,5976.902,0.0,0.0,27.929,0.0,0.0,,,,,,,,,,3535.75,2113.0,51.89275,31.011249999999997,341.0,5.0045,0.31425000000000003,2.9,,69672.5,39493.0,33921.0,23333.5,187.0,6.0,101.38499999999999,57.47,49.36,33.95,87.0,1.0,0.001,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
50%,,,,2022-04-20 12:00:00,21406.0,0.0,0.429,27.0,0.0,0.0,298928.9,0.0,5.985,377.048,0.0,0.0,,,,,,,,,,5374.5,2385.0,78.87899999999999,35.0035,369.0,5.416,0.3362,3.0,,97707.0,50171.0,47946.0,23732.0,470.0,40.0,142.18,73.01,69.77,34.53,582.0,7.0,0.01,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
75%,,,,2023-06-12 18:00:00,31472.0,0.0,3.286,37.0,0.0,0.0,439497.84,0.0,45.884,516.695,0.0,0.0,,,,,,,,,,7339.75,2611.5,107.72175,38.328,377.0,5.5329999999999995,0.3425,3.1,,134614.5,59097.0,57353.0,24064.0,718.5,191.0,195.88,85.99,83.46,35.02,2779.0,44.0,0.064,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
max,,,,2024-08-04 00:00:00,31472.0,2146.0,306.571,37.0,4.0,0.571,439497.84,29968.3,4281.186,516.695,55.859,7.98,,,,,,,,,,9358.0,2691.0,137.343,39.495,384.0,5.636,0.348,3.3,,152148.0,62113.0,60696.0,24064.0,1579.0,1024.0,221.4,90.38,88.32,35.02,14901.0,670.0,0.975,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
std,,,,,14522.25232111146,137.80846692513794,49.153238418620866,16.36113893723556,0.20481677016523883,0.07480417951514766,202799.26593107556,1924.4573706210338,686.4114812077065,228.4789201455464,2.8601997184301755,1.044026615109363,,,,,,,,,,3226.8861151270894,366.7419619659941,47.359533686471195,5.382865988486059,24.068355039048978,0.3532944677636221,0.11793434896868116,0.13204505835470498,,41051.50341555441,15298.626777171852,17012.485693266957,486.7406716943649,382.6373226563964,207.24996306865978,59.735371322972156,22.261208108688383,24.755880964901795,0.7090425308409302,3015.7274421727193,114.13278466634874,0.1661415701289864,,1.1372080958483405e-13,,,,1.455626362685876e-11,,,0.0,,,,,2.8430202396208514e-14,,0.0,,,,
