,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,151.0,151.0,151.0,49.0,158,61.0,54.0,49.0,24.0,1.0,844.0,61.0,54.0,49.0,24.0,844.0,844.0,844.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CAF,Africa,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,11300.520908004779,9.224014336917563,9.251642899940084,89.99283154121864,0.06750298685782556,0.06771839424805272,2216.641177419355,1.8093243727598567,1.81470701018574,17.65225806451613,0.013238351254480288,0.013270221689634513,0.37067079463364294,,,,,,,,,87644.5294117647,,16.060529411764705,,98.03973509933775,0.017920529801324504,0.07446622516556291,7.846938775510204,,1198377.049180328,1209104.5,1256839.2653061224,205640.04166666666,12887.0,3950.9348341232226,21.480491803278692,21.671666666666667,22.52816326530612,3.6879166666666663,708.2203791469194,3083.542654028436,0.05528909952606635,23.9910347985348,7.479000000000001,18.300000000000008,3.6550000000000007,2.2510000000000003,661.2399999999999,,435.7269999999999,6.1,,,16.60300000000001,1.0,53.27999999999998,0.39700000000000013,5579148.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,79140.0,,14.502,,37.0,0.007,0.0,1.6,,667.0,667.0,9901.0,12108.0,12887.0,0.0,0.01,0.01,0.18,0.22,0.0,0.0,0.0,0.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
25%,,,,2021-02-26 06:00:00,5890.0,0.0,0.0,63.0,0.0,0.0,1155.346,0.0,0.0,12.358,0.0,0.0,0.14,,,,,,,,,82793.0,,15.171,,75.0,0.014,0.0,4.5,,385557.0,518315.5,712447.0,214090.0,12887.0,934.0,6.91,9.2925,12.77,3.84,167.0,584.0,0.01,13.89,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
50%,,,,2022-04-20 12:00:00,14354.0,0.0,0.857,113.0,0.0,0.0,2815.593,0.0,0.168,22.165,0.0,0.0,0.27,,,,,,,,,88886.0,,16.288,,83.0,0.015,0.0,5.5,,1037580.0,1192720.5,1245498.0,214090.0,12887.0,3146.0,18.6,21.375,22.32,3.84,564.0,2101.0,0.0375,18.52,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
75%,,,,2023-06-12 18:00:00,15367.0,0.0,5.0,113.0,0.0,0.0,3014.297,0.0,0.981,22.165,0.0,0.0,0.53,,,,,,,,,91439.0,,16.756,,120.0,0.022,0.14715,6.3,,1795660.0,1739958.75,1834194.0,226816.0,12887.0,5826.0,32.19,31.185,32.88,4.07,1044.0,3453.0,0.062,24.07,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
max,,,,2024-08-04 00:00:00,15441.0,1227.0,175.286,113.0,22.0,3.143,3028.812,240.681,34.383,22.165,4.315,0.616,1.18,,,,,,,,,94759.0,,17.364,,253.0,0.046,0.6184,26.9,,3342248.0,2600389.0,2484985.0,366221.0,12887.0,25469.0,59.91,46.61,44.54,6.56,4565.0,26928.0,0.483,75.93,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
