,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,153.0,153.0,153.0,140.0,160,67.0,55.0,53.0,14.0,0.0,934.0,67.0,55.0,53.0,14.0,934.0,934.0,934.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TCD,Africa,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5455.547789725209,4.6009557945041815,4.614748951467945,156.5663082437276,0.11589008363201912,0.11625704014379867,295.60848984468345,0.24930465949820785,0.2500413421210306,8.483568100358422,0.0062783751493428915,0.006303774715398443,0.6533128205128206,,,,,,,,,207780.45454545456,,12.094545454545454,,167.22875816993465,0.00980392156862745,0.02205294117647059,199.96142857142857,,2227189.268656716,1033385.4,1046049.4150943396,3292025.3571428573,,9793.474304068523,12.567014925373135,5.831090909090909,5.902075471698113,18.57428571428571,552.5460385438972,5506.565310492505,0.03095503211991435,36.446639194139195,11.833000000000002,16.699999999999996,2.486,1.4460000000000002,1768.1529999999998,38.399999999999984,280.99499999999995,6.1,,,5.817999999999999,,54.24000000000001,0.39799999999999996,17723312.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,191341.0,,11.138,,46.0,0.003,0.0,4.2,,5324.0,5324.0,3684.0,1935632.0,,37.0,0.03,0.03,0.02,10.92,2.0,0.0,0.0,0.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
25%,,,,2021-02-26 06:00:00,3794.0,0.0,0.0,133.0,0.0,0.0,205.578,0.0,0.0,7.207,0.0,0.0,0.34,,,,,,,,,200475.0,,11.6695,,66.0,0.004,0.0025,34.875,,113879.5,73626.0,29413.0,1943444.0,,176.25,0.6399999999999999,0.41500000000000004,0.17,10.9625,10.0,221.25,0.001,22.22,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
50%,,,,2022-04-20 12:00:00,7378.0,0.0,0.429,192.0,0.0,0.0,399.776,0.0,0.023,10.404,0.0,0.0,0.67,,,,,,,,,210139.0,,12.232,,123.0,0.007,0.0084,97.75,,285922.0,175171.0,72824.0,4042573.0,,821.0,1.61,0.99,0.41,22.81,46.0,1417.0,0.008,30.56,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
75%,,,,2023-06-12 18:00:00,7698.0,0.0,3.143,194.0,0.0,0.0,417.116,0.0,0.17,10.512,0.0,0.0,0.95,,,,,,,,,215266.25,,12.53,,264.0,0.015,0.028,309.45,,3878112.5,1522211.0,2087559.0,4042573.0,,2620.75,21.880000000000003,8.59,11.78,22.81,147.75,4829.0,0.027,62.5,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
max,,,,2024-08-04 00:00:00,7702.0,596.0,85.143,194.0,21.0,3.0,417.332,32.294,4.613,10.512,1.138,0.163,1.31,,,,,,,,,218873.0,,12.74,,533.0,0.031,0.2394,1160.8,,9151765.0,5147667.0,5020360.0,4042573.0,,153584.0,51.64,29.04,28.33,22.81,8666.0,141671.0,0.799,88.89,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
