,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1023.0,1248.0,1248.0,0.0,0.0,1219.0,1219.0,1103.0,1103.0,820.0,820.0,820.0,820.0,813.0,813.0,813.0,813.0,820,762.0,760.0,750.0,545.0,750.0,1100.0,762.0,760.0,750.0,545.0,1100.0,776.0,776.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CHL,South America,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3029673.5436081244,3226.479091995221,3236.093645296585,41740.328554360814,39.546921697549315,39.66546223021582,154946.48212425326,165.0116989247312,165.50340083882566,2134.724077060932,2.0225481171548116,2.028610911270983,1.0455522971652003,795.6642628205128,40.58735897435897,,,328.15832649712877,16.73957095980312,1460.5983680870354,74.50611604714415,15440941.120731708,48503.91829268292,792.119987804878,2.4882646341463412,48692.276752767524,2.49790159901599,0.09571328413284132,21.502214022140226,,40697137.62992126,14627146.967105264,13832679.549333334,17841802.750458717,83562.56666666667,60794.60363636364,207.5987795275591,74.61388157894737,70.56149333333333,91.01225688073393,3101.068181818182,23321.89175257732,0.11896907216494844,51.57515567765568,24.282,35.39999999999999,11.087,6.9380000000000015,22767.037000000004,1.3000000000000005,127.99299999999997,8.460000000000004,34.199999999999996,41.5,,2.1099999999999994,80.18000000000004,0.8509999999999999,19603736.0,37938.81696717703,15.22602870813397,14.70956937799043,1937.6162654784687
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,5.0,0.255,,,0.0,0.0,240.0,12.243,3290.0,1777.0,0.169,0.091,3004.0,0.154,0.0083,2.8,,420.0,420.0,1032.0,41.0,1.0,51.0,0.0,0.0,0.01,0.0,3.0,1.0,0.0,0.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,92.9,1.15,-8.74,4.813392
25%,,,,2021-02-26 06:00:00,795845.0,0.0,354.0,19974.0,0.0,4.0,40701.87,0.0,18.105,1021.53,0.0,0.205,0.89,128.75,6.56725,,,52.0,2.653,612.0,31.219,3805411.0,27599.25,195.21725,1.416,32386.0,1.661,0.0414,9.0,,24963867.25,13524672.75,12286471.0,10290265.0,3237.0,14791.0,127.34,68.9875,62.675,52.49,754.0,731.75,0.004,27.0075,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,14998.5,14.53,5.34,769.4228
50%,,,,2022-04-20 12:00:00,3528626.0,0.0,1646.714,57231.0,0.0,17.857,180464.39,0.0,84.218,2926.963,0.0,0.913,1.0,481.5,24.561500000000002,,,181.0,9.233,951.0,48.511,13518162.0,47437.5,693.4815,2.4335,51992.0,2.667,0.0734,13.6,,46205612.0,17554522.0,16923704.0,18696585.0,49726.0,32776.5,235.7,89.545,86.33000000000001,95.37,1672.0,5765.5,0.029,58.13,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,38984.297,17.09,11.04,1999.8938
75%,,,,2023-06-12 18:00:00,5287594.0,0.0,4036.143,61817.0,0.0,45.714,270423.22,0.0,206.42,3161.505,0.0,2.338,1.14,1049.25,53.52275,,,423.5,21.6035,2145.5,109.4435,25320497.75,66865.0,1298.941,3.43025,60182.0,3.087,0.1114,24.2,,61108834.25,18033700.0,17629628.0,27151035.0,150169.25,108093.5,311.71999999999997,91.99,89.92750000000001,138.5,5514.0,31072.75,0.15825,80.09,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,60745.492,17.99,22.2,3094.5881
max,,,,2024-08-04 00:00:00,5401126.0,247900.0,35414.286,64482.0,11858.0,1694.0,276229.6,12678.341,1811.192,3297.8,606.453,86.636,2.97,3406.0,173.742,,,1701.0,86.769,4486.0,228.834,39773213.0,141234.0,2040.365,7.245,125359.0,6.431,0.3626,119.9,,66864900.0,18088517.0,17700117.0,27474929.0,430495.0,298755.0,341.08,92.27,90.29,140.15,15240.0,185093.0,0.944,90.28,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,65999.4,19.46,62.76,3362.2407
