,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,650.0,650.0,650.0,650.0,657,679.0,46.0,61.0,42.0,662.0,786.0,679.0,46.0,61.0,42.0,786.0,609.0,609.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CHN,Asia,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,35716637.21923537,59362.735364396656,59539.50236189336,47358.83870967742,73.11775254034669,73.32923920863308,25061.149117084828,41.652813022700116,41.77682983822648,33.23006033452808,0.051303048416019126,0.05144784172661871,1.0477509293680298,,,,,,,,,3154666666.6666665,,2212.413666666667,,13961240.8,9.79086153846154,2.4923076923076926e-05,332643.94646153843,,2522480202.7982326,1258064782.6086957,1198733639.3442624,663345904.7619047,5147424.471299093,4440022.269720102,176.9058762886598,88.23,84.0695081967213,46.521428571428565,3113.8486005089057,1159003.6403940886,0.08116584564860427,73.58175824175824,147.674,38.699999999999996,10.641000000000002,5.929,15308.712,0.7,261.89899999999994,9.739999999999998,1.8999999999999997,48.399999999999984,,4.340000000000001,76.90999999999998,0.7609999999999999,1425887360.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.15,,,,,,,,,90000000.0,,63.118,,1627907.0,1.142,0.0,637.8,,1500000.0,622000000.0,777046000.0,37973000.0,47000.0,33143.0,0.11,43.62,54.5,2.66,23.0,2571.0,0.0,2.78,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
25%,,,,2021-02-26 06:00:00,101700.0,0.0,60.0,4842.0,0.0,0.286,71.359,0.0,0.042,3.397,0.0,0.0,0.8175,,,,,,,,,125000000.0,,87.664,,14769984.0,10.358,0.0,141678.225,,2011731500.0,1268460500.0,1193466000.0,662217500.0,680500.0,621178.5,141.08499999999998,88.96,83.7,46.442499999999995,435.25,95800.0,0.007,73.61,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
50%,,,,2022-04-20 12:00:00,974858.0,0.0,190.143,14634.0,0.0,1.571,684.025,0.0,0.133,10.268,0.0,0.001,1.02,,,,,,,,,160000000.0,,112.21,,14769984.0,10.358,0.0,332447.3,,3042376000.0,1284790500.0,1240777000.0,773029500.0,2948000.0,1808464.5,213.37,90.1,87.02,54.215,1268.0,179327.0,0.013,79.17,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
75%,,,,2023-06-12 18:00:00,99278446.0,0.0,1943.143,121390.0,0.0,25.286,69660.305,0.0,1.363,85.175,0.0,0.018,1.22,,,,,,,,,4687000000.0,,3287.0615,,14769984.0,10.358,0.0,461048.65,,3423869500.0,1297527250.0,1260501000.0,804822250.0,7913250.0,6636500.0,240.125,90.995,88.4,56.4475,4654.5,1370572.0,0.096,79.17,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
max,,,,2024-08-04 00:00:00,99373219.0,40475477.0,5782211.0,122304.0,47687.0,6812.429,69726.805,28400.266,4057.181,85.817,33.46,4.78,3.68,,,,,,,,,9214000000.0,,6461.913,,14769984.0,10.358,0.0016,1023631.9,,3491077000.0,1310292000.0,1276760000.0,826913000.0,24741000.0,22424286.0,244.84,91.89,89.54,57.99,15727.0,5850649.0,0.41,81.94,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
