,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,66.0,66.0,66.0,65.0,73,34.0,30.0,29.0,0.0,0.0,529.0,34.0,30.0,29.0,0.0,529.0,529.0,529.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,COM,Africa,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5833.940860215053,5.441457586618877,5.457772917914919,120.85603345280765,0.0955794504181601,0.09587357699221088,6993.523053763441,6.523028673835125,6.5426177351707615,144.87772998805258,0.1145794504181601,0.11492330736968245,0.6809292502639915,,,,,,,,,53258.0,,64.8205,,1306.0,1.5899999999999999,0.0006075757575757576,3611.250769230769,,373026.64705882355,226787.26666666666,183489.3448275862,,,1558.4499054820417,44.57794117647058,27.102999999999998,21.927931034482757,,1862.4328922495274,810.6729678638941,0.09688846880907373,,437.3519999999999,20.400000000000002,2.9630000000000005,1.7259999999999993,1413.8899999999996,18.099999999999998,261.5160000000001,11.879999999999997,4.3999999999999995,23.6,15.574000000000002,2.1999999999999997,64.31999999999996,0.5540000000000003,836783.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,,,,,,,,,6227.0,,7.579,,1306.0,1.59,0.0,397.4,,13440.0,13440.0,588.0,,,0.0,1.61,1.61,0.07,,0.0,0.0,0.0,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
25%,,,,2021-02-26 06:00:00,3420.0,0.0,0.0,143.0,0.0,0.0,4099.776,0.0,0.0,171.423,0.0,0.0,0.43,,,,,,,,,29742.5,,36.19975,,1306.0,1.59,0.0002,1142.6,,135082.5,127698.25,41358.0,,,67.0,16.14,15.26,4.94,,80.0,3.0,0.0,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
50%,,,,2022-04-20 12:00:00,8103.0,0.0,0.857,160.0,0.0,0.0,9713.591,0.0,1.028,191.802,0.0,0.0,0.75,,,,,,,,,53258.0,,64.8205,,1306.0,1.59,0.0004,2287.2,,356655.0,229418.5,162098.0,,,609.0,42.620000000000005,27.415,19.37,,728.0,247.0,0.03,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
75%,,,,2023-06-12 18:00:00,9109.0,0.0,3.143,160.0,0.0,0.0,10919.549,0.0,3.768,191.802,0.0,0.0,0.89,,,,,,,,,76773.5,,93.44125,,1306.0,1.59,0.000875,4566.4,,593886.75,341102.0,296859.0,,,2592.0,70.97,40.76,35.48,,3098.0,972.0,0.116,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
max,,,,2024-08-04 00:00:00,9109.0,1232.0,176.0,160.0,29.0,4.143,10919.549,1476.878,210.983,191.802,34.764,4.966,1.11,,,,,,,,,100289.0,,122.062,,1306.0,1.59,0.0025,9132.9,,835021.0,438825.0,397080.0,,,7718.0,99.79,52.44,47.45,,9223.0,5170.0,0.618,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
