,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,591.0,660.0,591.0,794.0,794.0,793.0,793.0,801,233.0,178.0,38.0,16.0,171.0,720.0,233.0,178.0,38.0,16.0,720.0,720.0,720.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CIV,Africa,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,61612.718040621265,52.82795698924731,52.98624625524266,564.2162485065711,0.498805256869773,0.5003091671659676,2027.0673207885307,1.738048984468339,1.7432768124625526,18.562936081242533,0.016421744324970133,0.01649131216297184,1.0310781404549951,,,,,,,,,559640.0045454545,2048.0456852791876,20.366645454545452,0.07453130287648055,1929.2821158690176,0.07020906801007556,0.053377931904161416,54.87730138713745,,2629470.163090129,1726667.168539326,4615584.921052632,1198480.125,13325.78947368421,34964.40416666667,9.337467811158799,6.131516853932584,16.39078947368421,4.2543750000000005,1241.5819444444444,18827.734722222223,0.0668,24.967518315018314,76.399,18.699999999999992,2.9330000000000003,1.5820000000000005,3601.0060000000008,28.199999999999992,303.73999999999995,2.4200000000000004,,,19.351,,57.77999999999998,0.5380000000000001,28160548.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,,,,,,,,,3658.0,68.0,0.133,0.002,296.0,0.011,0.0019,3.4,,0.0,0.0,273400.0,47547.0,89.0,0.0,0.0,0.0,0.97,0.17,0.0,0.0,0.0,0.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
25%,,,,2021-02-26 06:00:00,31914.0,0.0,0.286,185.0,0.0,0.0,1049.975,0.0,0.009,6.087,0.0,0.0,0.84,,,,,,,,,160369.0,958.0,5.836,0.035,993.25,0.036,0.0175,14.8,,295309.0,142461.75,1084858.5,87290.0,3874.0,11985.75,1.05,0.5075000000000001,3.85,0.31,425.75,4538.0,0.016,15.74,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
50%,,,,2022-04-20 12:00:00,81857.0,0.0,14.143,797.0,0.0,0.0,2693.107,0.0,0.465,26.221,0.0,0.0,1.01,,,,,,,,,468485.0,1827.0,17.049,0.066,1864.0,0.068,0.031,32.2,,891966.0,708914.0,3876528.5,1243021.0,8326.0,29706.5,3.17,2.5149999999999997,13.765,4.41,1054.5,14644.0,0.052,17.59,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
75%,,,,2023-06-12 18:00:00,88332.0,0.0,49.714,835.0,0.0,0.571,2906.136,0.0,1.636,27.472,0.0,0.019,1.19,,,,,,,,,928418.0,2838.0,33.78725,0.103,2603.75,0.095,0.0675,57.1,,1836904.0,1090664.0,7979251.75,2031641.0,16928.5,55437.0,6.52,3.8725,28.335,7.21,1968.25,26247.25,0.09325,26.85,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
max,,,,2024-08-04 00:00:00,88434.0,7968.0,1138.286,835.0,55.0,7.857,2909.492,262.148,37.45,27.472,1.81,0.259,2.25,,,,,,,,,1540831.0,8463.0,56.075,0.308,7116.0,0.259,0.2951,523.4,,25263932.0,13568372.0,12164304.0,3138712.0,156394.0,121105.0,89.71,48.18,43.2,11.15,4301.0,86551.0,0.307,80.56,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
std,,,,,31996.043823261287,326.09655595926716,113.25952066364182,328.721088349844,3.1604339675790127,1.1028732972893787,1052.674461834366,10.728608872853583,3.7262422826794563,10.815051725570004,0.10400486864008217,0.0363111811005575,0.27542680619575166,,,,,,,,,452085.75944074185,1373.1093922168268,16.452499736597968,0.04994130743143048,1115.6864719376238,0.04060537013898524,0.057615330799990434,64.98445512862949,,4844819.275952225,3026773.2127628922,3858596.840803447,1027380.4668009396,17479.097267782294,29043.960991282263,17.2041848865939,10.747713116480995,13.702844522526513,3.6479710685073514,1031.3869263690267,18514.576750066946,0.06576500923362898,18.6041049789173,0.0,7.107550599052128e-15,4.44221912440758e-16,4.44221912440758e-16,9.097664766786724e-13,7.107550599052128e-15,5.686040479241703e-14,4.44221912440758e-16,,,0.0,,2.1322651797156384e-14,1.110554781101895e-16,0.0,,,,
