,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,469.0,470.0,469.0,463.0,463.0,463.0,463.0,470,724.0,725.0,716.0,524.0,644.0,1047.0,724.0,725.0,716.0,524.0,1047.0,1066.0,1066.0,1092.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CUB,North America,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,713322.7001194743,665.2700119474313,667.2630299580588,5550.968936678614,5.09557945041816,5.110872378669861,64496.76791338112,60.15196893667862,60.33219472738166,501.90396415770607,0.4607252090800477,0.46213421210305583,1.018841584158416,,,,,,,,,1525564.7468085107,11292.631130063966,135.52898085106384,1.0032068230277187,11198.45140388769,0.9948617710583153,0.024931101511879047,124.80583153347732,,33912901.78038674,9413532.648275862,8500910.847765364,7598991.488549618,59634.13354037267,42493.95988538682,302.4642955801105,83.95809655172413,75.8184497206704,67.77416030534351,3789.986628462273,10340.191369606004,0.0921313320825516,48.188424908424906,110.40799999999999,43.100000000000016,14.738,9.718999999999998,,,190.968,8.269999999999998,17.099999999999998,53.29999999999999,85.198,5.200000000000002,78.79999999999997,0.7830000000000001,11212198.0,26820.61122972222,10.784444444444444,16.373055555555556,2389.216427638889
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,,,,,,,,,518.0,107.0,0.046,0.01,213.0,0.019,0.0008,11.4,,2037745.0,70000.0,147135.0,891494.0,10.0,1126.0,18.17,0.62,1.31,7.95,100.0,45.0,0.0,0.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,-1132.6001,-1.22,-7.39,-100.22393
25%,,,,2021-02-26 06:00:00,43484.0,0.0,0.0,291.0,0.0,0.0,3931.709,0.0,0.0,26.311,0.0,0.0,0.7525,,,,,,,,,224384.25,3106.0,19.934,0.276,3108.0,0.276,0.0067,21.8,,28638938.25,10136225.0,9266829.75,7168258.25,7635.75,4595.5,255.425,90.4,82.64500000000001,63.9325,410.0,154.0,0.001,13.89,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,680.6249875,1.4875,-1.5374999999999999,60.22859
50%,,,,2022-04-20 12:00:00,1099444.0,0.0,21.286,8520.0,0.0,0.0,99408.84,0.0,1.925,770.356,0.0,0.0,1.01,,,,,,,,,948144.5,8721.0,84.2315,0.775,8612.0,0.765,0.0129,77.5,,38283771.0,10674577.0,9969910.5,8593892.5,25696.5,12831.0,341.445,95.21,88.92,76.65,1144.0,247.0,0.002,59.26,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,12870.550000000001,7.35,5.41,1143.40115
75%,,,,2023-06-12 18:00:00,1113594.0,0.0,297.429,8530.0,0.0,1.0,100688.25,0.0,26.893,771.26,0.0,0.09,1.19,,,,,,,,,2572304.5,18690.0,228.52,1.66,18649.0,1.657,0.0458,149.85,,43032027.75,10720570.0,10004928.5,8710662.5,84320.0,57936.0,383.7975,95.62,89.23,77.69,5167.5,1874.25,0.01675,78.24,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,55414.75,19.424999999999997,14.4125,4942.36275
max,,,,2024-08-04 00:00:00,1113662.0,64719.0,9245.571,8530.0,602.0,86.0,100694.4,5851.722,835.96,771.26,54.431,7.776,2.55,,,,,,,,,5296762.0,38826.0,470.557,3.449,35601.0,3.163,0.0879,1177.4,,45995747.0,10805570.0,10053658.0,8792717.0,437983.0,321878.0,410.23,96.37,89.67,78.42,28708.0,199370.0,1.778,100.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,56679.4,25.52,194.86,5055.155
