,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,285.0,285.0,82.0,82.0,292,447.0,446.0,446.0,239.0,346.0,774.0,447.0,446.0,446.0,239.0,774.0,597.0,597.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CUW,North America,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,27834.87992831541,27.40919952210275,27.491310964649486,188.82258064516128,0.1821983273596177,0.18277591372079086,150173.88642054956,147.87727001194745,148.32026962252849,1018.7298596176821,0.9829904420549581,0.9859388855602158,,,,,,,,,,12647.333333333334,2455.5555555555557,66.44677777777778,12.901222222222222,69.02456140350877,0.3623824561403509,0.4826085365853659,5.048780487804878,,206925.17225950782,98026.33856502242,85965.18609865471,42521.81171548117,553.621387283237,314.5297157622739,108.23988814317673,51.27594170403587,44.96739910313901,22.242677824267783,1645.3720930232557,158.20770519262982,0.0828140703517588,,362.64400000000006,41.699999999999996,16.366999999999997,10.067999999999996,,,,11.620000000000003,,,,,78.88,,191173.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1342.0,1342.0,7.051,7.051,13.0,0.068,0.0205,1.0,,19609.0,15406.0,4203.0,15601.0,1.0,3.0,10.26,8.06,2.2,8.16,16.0,1.0,0.001,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
25%,,,,2021-02-26 06:00:00,4666.0,0.0,0.0,22.0,0.0,0.0,25173.86,0.0,0.0,118.694,0.0,0.0,,,,,,,,,,8336.0,2119.0,43.796,11.133,13.0,0.068,0.148925,1.3,,175872.0,92897.5,82945.0,39676.5,38.0,24.0,92.0,48.5925,43.385,20.755,126.0,4.0,0.002,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
50%,,,,2022-04-20 12:00:00,41306.0,0.0,2.0,271.0,0.0,0.0,222852.86,0.0,10.79,1462.091,0.0,0.0,,,,,,,,,,13347.0,2303.0,70.123,12.1,13.0,0.068,0.5064,2.0,,235230.0,105518.0,97221.5,45428.0,159.5,81.5,123.05,55.195,50.855000000000004,23.76,426.5,41.0,0.021,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
75%,,,,2023-06-12 18:00:00,45817.0,0.0,20.143,302.0,0.0,0.143,247190.47,0.0,108.674,1629.341,0.0,0.771,,,,,,,,,,17678.0,2598.0,92.877,13.649,13.0,0.068,0.7912,6.75,,253271.0,108159.0,99407.75,46976.5,558.75,226.75,132.485,56.5775,52.0,24.575,1185.75,99.0,0.052,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
max,,,,2024-08-04 00:00:00,45883.0,5941.0,848.714,305.0,22.0,3.143,247546.55,32052.7,4578.957,1645.527,118.694,16.956,,,,,,,,,,22100.0,3694.0,116.109,19.408,619.0,3.252,1.0,48.7,,260324.0,108601.0,100885.0,49213.0,4693.0,3452.0,136.17,56.81,52.77,25.74,18057.0,3039.0,1.59,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
