,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,96.0,96.0,96.0,57.0,103,75.0,70.0,59.0,0.0,1.0,777.0,75.0,70.0,59.0,0.0,777.0,777.0,777.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,COD,Africa,Democratic Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,64266.22998805257,60.33990442054958,60.52067884961055,1068.2550776583034,0.8805256869772998,0.8831869382863989,627.6184516129032,0.5892747909199522,0.5910533253445176,10.432422939068102,0.008603942652329749,0.008610545236668665,0.8678330019880716,,,,,,,,,1008171.0,,10.5135,,798.5625,0.008302083333333333,0.06468854166666667,19.50701754385965,,2470676.053333333,2457434.5285714287,1894931.406779661,,42303.0,24017.779922779922,2.4954666666666667,2.4812857142857148,1.9140677966101693,,242.57271557271557,21808.2277992278,0.02203346203346204,37.56908424908424,35.879000000000005,17.0,3.0200000000000005,1.7450000000000006,808.133,77.10000000000001,318.9490000000001,6.1,,,4.472000000000001,,60.679999999999986,0.48000000000000015,99010216.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,,,,,,,,,962825.0,,10.041,,236.0,0.002,0.0,2.7,,0.0,0.0,2513.0,,42303.0,19.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
25%,,,,2021-02-26 06:00:00,25144.0,0.0,6.143,700.0,0.0,0.0,245.554,0.0,0.06,6.836,0.0,0.0,0.5825,,,,,,,,,983260.0,,10.25375,,657.0,0.007,0.0,5.9,,104480.0,88846.25,38757.0,,42303.0,1158.0,0.10500000000000001,0.0925,0.04,,12.0,1092.0,0.001,25.88,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
50%,,,,2022-04-20 12:00:00,87023.0,0.0,19.0,1337.0,0.0,0.143,849.859,0.0,0.186,13.057,0.0,0.001,0.98,,,,,,,,,1016426.5,,10.599499999999999,,750.0,0.008,0.028650000000000002,10.4,,219768.0,209780.0,117844.0,,42303.0,15084.0,0.22,0.21000000000000002,0.12,,152.0,15854.0,0.016,34.26,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
75%,,,,2023-06-12 18:00:00,97409.0,0.0,58.857,1468.0,0.0,0.857,951.288,0.0,0.575,14.336,0.0,0.008,1.08,,,,,,,,,1029745.75,,10.7385,,903.25,0.00925,0.10869999999999999,25.8,,3233302.5,3332609.75,2366894.0,,42303.0,40168.0,3.2649999999999997,3.3625,2.395,,406.0,38151.0,0.039,43.52,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
max,,,,2024-08-04 00:00:00,101009.0,6900.0,985.714,1474.0,213.0,30.429,986.445,67.385,9.626,14.395,2.08,0.297,1.24,,,,,,,,,1045120.0,,10.899,,1324.0,0.014,0.3693,165.9,,18808671.0,17045721.0,14399520.0,,42303.0,99124.0,19.0,17.22,14.54,,1001.0,101350.0,0.102,80.56,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
