,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,23.0,2.0,99.0,99.0,99.0,80.0,106,62.0,63.0,62.0,0.0,1.0,904.0,62.0,63.0,62.0,0.0,904.0,904.0,904.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DJI,Africa,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,11846.092592592593,9.372759856630825,9.400844817255843,143.53345280764637,0.11290322580645161,0.11325404433792689,10417.810870967744,8.242685782556752,8.267377471539843,126.22745639187576,0.09928793309438469,0.09959796285200719,0.7121821821821822,,,,,,,,,292099.1304347826,616.5,264.2099565217391,0.5575,295.5858585858586,0.2673737373737374,0.005965656565656566,322.04625,,222306.75806451612,202404.04761904763,182068.03225806452,,12179.0,477.625,19.833709677419357,18.05825396825397,16.243548387096773,,426.06637168141594,454.6670353982301,0.04063053097345133,39.98652014652014,41.28499999999998,25.4,4.213,2.3799999999999994,2705.4059999999995,22.5,258.0369999999999,6.049999999999998,1.6999999999999995,24.5,,1.4,67.11000000000001,0.5239999999999999,1120851.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,278820.0,321.0,252.199,0.29,96.0,0.087,0.0,19.9,,10246.0,10246.0,495.0,,12179.0,13.0,0.91,0.91,0.04,,12.0,0.0,0.0,0.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
25%,,,,2021-02-26 06:00:00,6022.0,0.0,0.0,63.0,0.0,0.0,5295.928,0.0,0.0,55.404,0.0,0.0,0.2,,,,,,,,,284303.5,468.75,257.1585,0.42374999999999996,189.0,0.17099999999999999,0.0017,179.2,,156382.25,136617.5,101140.0,,12179.0,286.0,13.9475,12.190000000000001,9.024999999999999,,255.0,286.0,0.026,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
50%,,,,2022-04-20 12:00:00,15598.0,0.0,0.0,189.0,0.0,0.0,13717.352,0.0,0.0,166.212,0.0,0.0,0.7,,,,,,,,,289377.0,616.5,261.748,0.5575,320.0,0.289,0.0027,327.25,,224532.5,201787.0,168721.0,,12179.0,432.0,20.03,18.0,15.055,,385.0,325.0,0.029,43.52,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
75%,,,,2023-06-12 18:00:00,15690.0,0.0,4.429,189.0,0.0,0.0,13798.259,0.0,3.895,166.212,0.0,0.0,1.05,,,,,,,,,300041.0,764.25,271.3935,0.6912499999999999,401.0,0.363,0.0051,421.35,,308455.25,285486.5,267464.25,,12179.0,608.0,27.52,25.47,23.86,,542.0,653.0,0.058,49.07,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
max,,,,2024-08-04 00:00:00,15690.0,1260.0,180.0,189.0,21.0,3.0,13798.259,1108.082,158.297,166.212,18.468,2.638,2.06,,,,,,,,,309732.0,912.0,280.159,0.825,472.0,0.427,0.0503,906.8,,442199.0,421573.0,401208.0,,12179.0,2149.0,39.45,37.61,35.79,,1917.0,1954.0,0.174,94.44,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
