,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,422.0,521.0,422.0,817.0,817.0,817.0,817.0,824,621.0,621.0,601.0,532.0,535.0,1046.0,621.0,621.0,601.0,532.0,1046.0,1046.0,1046.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,46.0,46.0,46.0,46.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DOM,North America,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,440516.160692951,394.9241338112306,396.10725943678847,3489.300477897252,2.6188769414575868,2.6267237866986224,39224.16464814815,35.164588410991634,35.26993409227082,310.6919277180406,0.23318876941457586,0.2338981426003595,0.9787217305801377,,,,,,,,,1159906.9942418425,3612.1611374407585,104.32812092130519,0.3248744075829384,4197.108935128519,0.3775079559363525,0.1660784577723378,10.57233782129743,,12893633.91626409,6234693.589371981,5133683.702163061,1852164.3834586467,26223.62429906542,15710.64053537285,114.8262962962963,55.52404186795492,45.71898502495841,16.494492481203007,1399.1491395793498,7046.817399617591,0.06275908221797323,45.20664835164835,222.873,27.600000000000005,6.980999999999999,4.418999999999999,14600.861000000003,1.6,266.65300000000013,8.200000000000001,8.5,19.099999999999998,55.182,1.6,74.08000000000001,0.7560000000000002,11228821.0,5689.891981739131,6.086086956521739,4.196739130434783,507.08763567391304
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,,,,,,,,,88.0,134.0,0.008,0.012,194.0,0.017,0.0144,1.3,,0.0,0.0,54395.0,5149.0,344.0,262.0,0.0,0.0,0.48,0.05,23.0,64.0,0.001,0.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,-604.0,-3.22,-11.26,-54.910748
25%,,,,2021-02-26 06:00:00,234502.0,0.0,0.0,3028.0,0.0,0.0,20880.38,0.0,0.0,269.617,0.0,0.0,0.85,,,,,,,,,246953.0,2189.0,22.212,0.197,3077.0,0.277,0.0976,4.9,,11382125.0,5888643.0,4860422.0,1281144.75,2587.5,924.5,101.37,52.44,43.29,11.4075,82.25,178.0,0.002,5.56,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,2656.57535,5.13,-3.395,240.7163525
50%,,,,2022-04-20 12:00:00,578745.0,0.0,193.286,4375.0,0.0,0.0,51532.246,0.0,17.21,389.556,0.0,0.0,1.0,,,,,,,,,766071.0,3501.0,68.904,0.3145,3845.0,0.346,0.1483,6.7,,15155432.0,7068158.0,5857078.0,2319691.0,7389.0,2559.5,134.97,62.95,52.16,20.655,228.0,471.5,0.004,58.86,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,7504.30135,6.255,0.6000000000000001,668.42075
75%,,,,2023-06-12 18:00:00,661103.0,0.0,584.0,4384.0,0.0,3.143,58865.52,0.0,52.0,390.357,0.0,0.28,1.13,,,,,,,,,1770735.0,4641.75,159.269,0.41774999999999995,5214.0,0.469,0.2057,10.2,,15926857.0,7263303.0,6027660.0,2449393.75,32304.0,20184.75,141.84,64.68,53.68,21.8125,1797.5,5002.0,0.04475,67.59,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,8143.4011,7.9975000000000005,7.155,724.74
max,,,,2024-08-04 00:00:00,661103.0,43410.0,6201.429,4384.0,167.0,23.857,58865.52,3865.286,552.184,390.357,14.87,2.124,2.03,,,,,,,,,3444251.0,16036.0,309.794,1.442,8158.0,0.734,0.7947,69.6,,16430339.0,7367193.0,6130377.0,2574938.0,244052.0,184208.0,146.32,65.61,54.6,22.93,16405.0,112637.0,1.003,100.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,9542.301,10.14,41.2,849.8043
