,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,2688,2688,2688,2688,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,37.0,9.0,300.0,300.0,299.0,293.0,307,94.0,94.0,91.0,51.0,1.0,952.0,94.0,94.0,91.0,51.0,952.0,952.0,952.0,688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,2688.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,TLS,Asia,East Timor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,2688,2688,2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-05-18 09:57:51.428571392,15177.277180406212,14.014336917562725,14.05634391851408,86.75029868578255,0.08243727598566308,0.08270820850808869,11083.97590979689,10.234680406212664,10.265346914319952,63.35360991636798,0.06020250896057348,0.060370281605751946,0.8868405797101451,,,,,,,,,200291.97297297296,1017.1111111111111,151.6281081081081,0.77,396.25333333333333,0.2997966666666667,0.07022207357859532,149.76109215017064,,1305921.6382978724,653720.1276595745,546257.4615384615,226145.9019607843,7881.0,2132.6502100840335,97.36234042553191,48.73829787234043,40.72593406593407,16.860196078431372,1590.0,933.4033613445379,0.06955042016806723,37.64390988372093,87.17600000000002,18.0,3.556,1.8969999999999998,6570.102,30.300000000000008,335.346,6.86,6.299999999999998,78.10000000000002,28.178000000000004,5.899999999999999,69.5,0.606,1341298.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,,,,,,,,,143086.0,308.0,108.321,0.233,143.0,0.108,0.0,1.5,,2629.0,2629.0,1.0,18122.0,7881.0,21.0,0.2,0.2,0.0,1.35,16.0,3.0,0.0,9.47,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
25%,,,,2021-06-25 18:00:00,103.0,0.0,0.0,0.0,0.0,0.0,75.221,0.0,0.0,0.0,0.0,0.0,0.64,,,,,,,,,164615.0,504.0,124.619,0.382,245.0,0.185,0.0052,9.1,,773955.75,475209.75,344702.0,160488.0,7881.0,97.0,57.697500000000005,35.432500000000005,25.700000000000003,11.965,72.25,18.0,0.001,9.61,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
50%,,,,2022-05-27 12:00:00,22853.0,0.0,0.286,130.0,0.0,0.0,16689.562,0.0,0.209,94.939,0.0,0.0,0.84,,,,,,,,,187370.0,938.0,141.846,0.71,245.0,0.185,0.0173,55.0,,1434208.0,777828.5,629125.0,233886.0,7881.0,1365.0,106.925,57.989999999999995,46.9,17.44,1017.5,246.5,0.018,40.81,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
75%,,,,2023-04-28 06:00:00,23456.0,0.0,2.0,138.0,0.0,0.0,17129.934,0.0,1.461,100.781,0.0,0.0,1.06,,,,,,,,,245941.0,1289.0,186.186,0.976,476.0,0.36,0.10775000000000001,177.0,,1864526.0,860616.0,764154.5,332271.0,7881.0,3583.25,139.0125,64.1625,56.97,24.775,2671.5,1368.0,0.102,57.49,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
max,,,,2024-08-04 00:00:00,23460.0,2186.0,312.286,138.0,18.0,2.571,17132.854,1596.437,228.062,100.781,13.145,1.878,1.83,,,,,,,,,264839.0,2491.0,200.493,1.886,1357.0,1.027,0.677,1713.3,,2028798.0,886838.0,801759.0,340201.0,7881.0,11248.0,151.26,66.12,59.77,25.36,8386.0,8905.0,0.664,87.04,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
