,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1682,1682,1682,1682,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,155.0,155.0,1164.0,1164.0,185.0,185.0,185.0,185.0,852.0,848.0,852.0,848.0,861.0,861.0,841.0,841.0,868,1267.0,1267.0,1267.0,1258.0,1224.0,1324.0,1267.0,1267.0,1267.0,1258.0,1324.0,1324.0,1324.0,1092.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,0.0,1682.0,1682.0,1682.0,1682.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,EST,Europe,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1682,1682,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-24 12:00:00,355589.31242532854,364.6780167264038,365.7705134811264,1816.973715651135,1.7909199522102748,1.7963325344517673,263381.54284946236,270.11345459976104,270.92268603954466,1345.814697729988,1.3265191158900838,1.3305368484122226,1.0594921875,14.470967741935484,10.912729032258065,204.12113402061857,153.93006958762888,8.908108108108108,6.688837837837838,146.98918918918918,110.81156216216216,1374486.61971831,4038.990566037736,1034.458926056338,3.0398231132075475,3974.3681765389083,2.9911475029036008,0.1108770511296076,61.41307966706303,,1727312.864246251,755940.7000789266,727442.4222573007,423332.546899841,1773.5416666666667,1640.9871601208458,130.25868981846884,57.00642462509866,54.857387529597474,31.923990461049282,1237.4969788519638,658.0611782477341,0.04960876132930514,32.13558608058608,31.03300000000001,42.699999999999996,19.452,13.490999999999998,29481.251999999997,0.5,255.569,4.019999999999998,24.5,39.300000000000004,,4.6899999999999995,78.74,0.8919999999999999,1326064.0,2302.3286225454544,4.598181818181818,7.4272248803827745,1737.834468923445
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,1.0,0.754,0.0,0.0,0.0,0.0,1.0,1.0,0.001,0.001,0.0,0.0,0.0009,1.6,,191.0,191.0,6.0,1.0,1.0,2.0,0.01,0.01,0.0,0.0,2.0,0.0,0.0,0.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,-332.4,-15.35,-21.29,-250.0284
25%,,,,2021-02-28 06:00:00,63689.0,0.0,10.571,610.0,0.0,0.0,47173.82,0.0,7.83,451.821,0.0,0.0,0.88,2.0,1.508,63.0,47.509,1.0,0.751,29.0,21.775,230205.25,1640.25,173.25575,1.23475,1494.0,1.124,0.0159,7.5,,1549435.5,811257.0,781065.5,161458.75,40.0,31.0,116.845,61.18,58.9,12.18,23.0,1.0,0.0,21.83,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,153.29999,0.96,-0.07,115.37557
50%,,,,2022-04-24 12:00:00,552602.0,0.0,56.0,2402.0,0.0,0.714,409306.9,0.0,41.479,1779.138,0.0,0.529,1.08,6.0,4.525,151.0,113.871,3.0,2.253,115.0,86.35,1263614.0,3679.0,951.0145,2.769,3985.0,2.999,0.0809,12.4,,2045357.0,866780.0,859189.0,538515.0,358.0,382.0,154.24,65.36,64.79,40.61,288.0,23.0,0.002,34.325,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,2952.4995,7.15,6.5,2224.8745
75%,,,,2023-06-18 18:00:00,601474.0,0.0,318.429,2897.0,0.0,2.286,445505.94,0.0,235.857,2145.78,0.0,1.693,1.21,20.0,15.082,285.25,215.1105,13.0,9.761,200.0,150.924,2294563.75,5810.5,1726.92275,4.373,5536.0,4.166,0.1334,63.1,,2112769.0,869375.0,861869.0,601242.0,2188.25,2478.0,159.33,65.56,64.99,45.34,1868.75,597.75,0.04475,43.52,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,4213.8994,9.02,13.99,3184.9895
max,,,,2024-08-12 00:00:00,610471.0,48031.0,6861.571,2998.0,86.0,12.286,452169.94,35576.094,5082.299,2220.589,63.699,9.1,1.63,70.0,52.788,733.0,552.764,57.0,42.799,606.0,457.277,3425068.0,14931.0,2577.757,11.237,12805.0,9.637,0.616,1054.2,,2171623.0,870213.0,862748.0,659459.0,17557.0,10161.0,163.76,65.62,65.06,49.73,7663.0,6125.0,0.462,77.78,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,4601.9,9.6,45.81,3479.003
