,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,570.0,630.0,570.0,825.0,825.0,825.0,823.0,832,282.0,263.0,15.0,12.0,243.0,780.0,282.0,263.0,15.0,12.0,780.0,780.0,780.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ETH,Africa,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,344604.26284348866,299.3984468339307,300.29539904134214,5317.3530465949825,4.524492234169654,4.538071899340922,2748.384811827957,2.387851254480287,2.3950149790293587,42.40829749103942,0.036087216248506575,0.03619113241461953,1.0316986855409507,,,,,,,,,1985332.9682539683,6289.7,16.5055,0.05229473684210526,6071.76,0.05049212121212122,0.08267854545454544,44.38772782503038,,7489198.737588652,6459856.330798479,26891583.4,1740369.6666666667,94846.15226337449,85136.61025641026,6.070177304964539,5.2358555133079845,21.79666666666667,1.410833333333333,690.1089743589744,65325.01666666667,0.05287948717948719,45.202344322344324,104.957,19.800000000000008,3.526,2.0629999999999997,1729.927,26.699999999999992,182.634,7.469999999999999,0.4,8.5,7.959999999999998,0.2999999999999999,66.60000000000001,0.48500000000000004,123379928.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,,,,,,,,,1.0,61.0,0.0,0.001,39.0,0.0,0.0,2.2,,430000.0,430000.0,18060829.0,343954.0,3.0,56.0,0.35,0.35,14.64,0.28,0.0,0.0,0.0,0.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
25%,,,,2021-02-26 06:00:00,151857.0,0.0,1.0,2271.0,0.0,0.0,1211.133,0.0,0.008,18.112,0.0,0.0,0.78,,,,,,,,,836161.5,4566.25,6.952,0.038,4680.0,0.039,0.0237,9.0,,2053755.0,2032262.5,20931792.5,346411.0,6173.0,4910.5,1.6624999999999999,1.65,16.965,0.28,40.0,3397.0,0.003,40.74,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
50%,,,,2022-04-20 12:00:00,470259.0,0.0,29.571,7509.0,0.0,0.0,3750.542,0.0,0.236,59.888,0.0,0.0,0.98,,,,,,,,,1965660.0,5705.5,16.342,0.047,5492.0,0.046,0.0692,14.4,,3682469.5,2958714.0,21291403.0,1199603.0,18436.0,5741.0,2.9850000000000003,2.4,17.26,0.975,47.0,4212.0,0.003,43.52,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
75%,,,,2023-06-12 18:00:00,500916.0,0.0,431.571,7574.0,0.0,6.857,3995.046,0.0,3.442,60.406,0.0,0.055,1.18,,,,,,,,,2908994.75,7235.25,24.18475,0.06,7177.0,0.06,0.1108,42.05,,10486999.0,9164833.5,37022262.0,2715083.75,44923.5,30141.0,8.5025,7.43,30.005000000000003,2.2,244.25,29155.25,0.024,51.85,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
max,,,,2024-08-04 00:00:00,501193.0,28590.0,4084.286,7574.0,306.0,43.714,3997.255,228.019,32.574,60.406,2.44,0.349,2.91,,,,,,,,,5024643.0,25158.0,41.774,0.209,21880.0,0.182,0.4553,724.0,,68856793.0,52489512.0,43653006.0,5978070.0,1866822.0,2808915.0,55.81,42.54,35.38,4.85,22766.0,1101109.0,0.892,80.56,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
