,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1684,0,1684,1684,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1352.0,1352.0,1327.0,1322.0,1346.0,1346.0,1352.0,1352.0,1327.0,1322.0,1346.0,1346.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_EUR,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1684,,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-25 12:00:00.000000256,141431710.9623656,151085.34528076462,151517.9139772319,1410457.609916368,1255.900238948626,1259.5781995206712,189004.99327180407,201.90581421744326,202.4839412822049,1884.8922407407408,1.6783506571087214,1.6832702216896347,,,,,,,,,,,,,,,,,,,1092374910.3698225,439514992.7189349,411421814.7874906,249758588.88350984,1035464.9249628528,1036300.5534918277,146.66542159763316,59.010717455621304,55.23774679728711,33.533456883509835,1391.3632986627042,386572.49777117383,0.051956909361069836,,,,,,,,,,,,,,,,744807803.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.143,3.0,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,744807803.0,,,,
25%,,,,2021-02-28 18:00:00,32904880.0,0.0,14261.571,837087.0,0.0,144.429,43973.07,0.0,19.059,1118.657,0.0,0.193,,,,,,,,,,,,,,,,,,,877534706.5,449258714.0,422109655.5,67581060.75,18665.25,18660.25,117.8175,60.32,56.67,9.07,25.0,4653.0,0.001,,,,,,,,,,,,,,,,744807803.0,,,,
50%,,,,2022-04-25 12:00:00,187659206.0,0.0,52192.714,1839089.0,0.0,573.286,250782.0,0.0,69.749,2457.702,0.0,0.766,,,,,,,,,,,,,,,,,,,1336219618.5,516282943.0,489940918.0,339722400.0,252459.5,296671.0,179.40499999999997,69.32,65.78,45.61,398.0,27574.5,0.004,,,,,,,,,,,,,,,,744807803.0,,,,
75%,,,,2023-06-20 06:00:00,248877044.0,0.0,187625.0,2072281.0,0.0,1906.857,332591.62,0.0,250.736,2769.333,0.0,2.548,,,,,,,,,,,,,,,,,,,1389374813.0,520259835.0,493152584.5,358780146.75,1391261.0,1578920.5,186.54,69.85,66.21,48.17,2120.0,515283.5,0.069,,,,,,,,,,,,,,,,744807803.0,,,,
max,,,,2024-08-14 00:00:00,252916868.0,11040888.0,1577269.714,2102483.0,40342.0,5763.143,337990.34,14754.703,2107.815,2809.694,53.912,7.702,,,,,,,,,,,,,,,,,,,1399334208.0,523814328.0,493751304.0,365099941.0,7118093.0,5945288.0,187.88,70.33,66.29,49.02,7982.0,2716846.0,0.365,,,,,,,,,,,,,,,,744807803.0,,,,
std,,,,,105042030.27672663,749153.7641571331,246408.9882077729,752597.0550041372,5021.596726957356,1500.5974807501932,140374.94184473206,1001.1460691846265,329.293406389437,1005.7476021034141,6.71071345911916,2.005322042038182,,,,,,,,,,,,,,,,,,,455026509.17103964,154359370.38562438,153589696.09105486,148991963.3931728,1588906.8738030652,1514275.1879875935,61.09329512857105,20.724831725252216,20.620925371321867,20.00420351552945,2033.1120839695152,688442.4557810985,0.09240166681555127,,,,,,,,,,,,,,,,0.0,,,,
