,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,2.0,0.0,0.0,66.0,6.0,6.0,2.0,0.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FLK,South America,Falkland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,945.2831541218638,1.1487455197132617,1.1521983223487118,0.0,0.0,0.0,268928.3563261648,326.8123775388292,327.7914284002396,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2360.5,1778.5,1746.0,,,74.74242424242425,62.10333333333333,46.79,45.935,,19663.863636363636,48.21212121212121,1.2682272727272728,,,,,,,,,,,,,,81.44000000000001,,3801.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1717.0,,,12.0,0.0,0.0,45.17,,3157.0,4.0,0.105,,,,,,,,,,,,,,81.44,,3801.0,,,,
25%,,,,2021-02-26 06:00:00,49.0,0.0,0.0,0.0,0.0,0.0,13940.256,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1569.25,1569.25,1731.5,,,14.0,41.2875,41.2875,45.5525,,3683.0,14.0,0.368,,,,,,,,,,,,,,81.44,,3801.0,,,,
50%,,,,2022-04-20 12:00:00,131.0,0.0,0.0,0.0,0.0,0.0,37268.848,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1959.5,1959.5,1746.0,,,30.0,51.555,51.555,45.935,,7893.0,19.5,0.513,,,,,,,,,,,,,,81.44,,3801.0,,,,
75%,,,,2023-06-12 18:00:00,1923.0,0.0,0.0,0.0,0.0,0.0,547083.94,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3788.25,2500.5,1760.5,,,151.5,99.66749999999999,65.7825,46.3175,,39858.25,35.0,0.921,,,,,,,,,,,,,,81.44,,3801.0,,,,
max,,,,2024-08-04 00:00:00,1923.0,734.0,104.857,0.0,0.0,0.0,547083.94,208819.34,29831.334,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4407.0,2632.0,1775.0,,,189.0,115.94,69.24,46.7,,49724.0,189.0,4.972,,,,,,,,,,,,,,81.44,,3801.0,,,,
std,,,,,926.1591841042367,22.93534093787133,8.615856167880745,0.0,0.0,0.0,263487.6823863338,6524.990252421951,2451.1726315902324,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1717.4160532614105,981.1313367740324,41.012193308819754,,,71.00775918730196,45.18273947722367,25.810889174919954,1.0818733752154186,,18681.517815033836,60.42249075698046,1.5896367828528006,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
