,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GUF,South America,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,60049.9091995221,58.56690561529271,58.74237687237867,274.831541218638,0.24671445639187575,0.2474619532654284,201294.28285244922,196.32308124253285,196.91122049131215,921.2673022700118,0.8270071684587814,0.8294937088076693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.300000000000008,,2.8969999999999994,,,,,,,,,79.95000000000003,,304568.0,127.5961759186603,1.0294258373205747,8.402488038277513,411.53545927751196
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,-104.6,-23.96,-70.59,-359.47736
25%,,,,2021-02-26 06:00:00,16529.0,0.0,0.0,83.0,0.0,0.0,55407.133,0.0,0.0,278.226,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,-59.39999,-7.0,-15.73,-202.37877
50%,,,,2022-04-20 12:00:00,80035.0,0.0,14.714,394.0,0.0,0.0,268286.62,0.0,49.324,1320.734,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,223.79999,7.22,5.0,750.5713
75%,,,,2023-06-12 18:00:00,98041.0,0.0,75.0,413.0,0.0,0.286,328644.84,0.0,251.409,1384.424,0.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,262.2,8.76,26.17,852.765
max,,,,2024-08-04 00:00:00,98041.0,11295.0,1613.571,413.0,21.0,3.0,328644.84,37862.152,5408.879,1384.424,70.394,10.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,316.59998,11.84,115.69,1014.22015
std,,,,,39649.642955786345,401.8185060188017,142.03388352313348,164.8923800790784,1.3892910656083455,0.4732506996515092,132910.21649936735,1346.942342739128,476.1141190527458,552.7384644020937,4.657042452844886,1.5865277659179944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.107550599052128e-15,,4.44221912440758e-16,,,,,,,,,2.8430202396208514e-14,,0.0,156.91652357726278,10.385980919910853,33.02479796029593,513.8431567060662
