,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,9.0,73.0,9.0,336.0,336.0,336.0,320.0,343,63.0,62.0,60.0,16.0,1.0,685.0,63.0,62.0,60.0,16.0,685.0,685.0,685.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GAB,Africa,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,33799.647550776586,29.301672640382318,29.38945596165368,214.2688172043011,0.18339307048984468,0.1839754343918514,13905.016973118281,12.054568100358422,12.09070281605752,88.14907467144565,0.0754426523297491,0.0756956261234272,0.8080808080808081,,,,,,,,,1325475.2602739725,10442.888888888889,566.157109589041,4.4607777777777775,2016.1607142857142,0.8612083333333335,0.034261904761904764,145.57125000000002,,235256.17460317462,129139.0,112501.21666666666,2140.5625,1486.0,836.1708029197081,9.848095238095238,5.40483870967742,4.709,0.090625,350.014598540146,454.4978102189781,0.019027737226277375,47.636538461538464,7.858999999999998,23.1,4.450000000000001,2.975999999999999,16562.413,3.399999999999999,259.96700000000004,7.200000000000002,,,,6.299999999999998,66.47000000000001,0.7030000000000001,2388997.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,,,,,,,,873543.0,2256.0,373.121,0.964,48.0,0.021,0.0,1.5,,0.0,0.0,67.0,841.0,1486.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
25%,,,,2021-02-26 06:00:00,13553.0,0.0,0.0,75.0,0.0,0.0,5575.64,0.0,0.0,30.855,0.0,0.0,0.26,,,,,,,,,1087337.0,5976.0,464.44,2.553,332.25,0.14225,0.0042,24.0,,32848.0,22414.0,21172.25,2097.5,1486.0,31.0,1.375,0.9400000000000001,0.8875000000000001,0.0875,13.0,12.0,0.001,11.11,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
50%,,,,2022-04-20 12:00:00,47594.0,0.0,2.0,303.0,0.0,0.0,19579.95,0.0,0.823,124.653,0.0,0.0,0.98,,,,,,,,,1360717.0,6277.0,581.21,2.681,1730.0,0.739,0.01415,59.45,,177392.0,100573.5,83401.0,2336.0,1486.0,200.0,7.43,4.21,3.49,0.1,84.0,180.0,0.008,60.65,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
75%,,,,2023-06-12 18:00:00,48992.0,0.0,29.286,307.0,0.0,0.143,20155.08,0.0,12.048,126.298,0.0,0.059,1.1575,,,,,,,,,1562803.0,7998.0,667.528,3.416,2897.5,1.2377500000000001,0.0417,209.925,,522444.5,263155.75,250873.0,2548.0,1486.0,1346.0,21.869999999999997,11.014999999999999,10.5025,0.11,563.0,588.0,0.025,68.52,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
max,,,,2024-08-04 00:00:00,49051.0,2928.0,418.286,307.0,15.0,2.143,20179.352,1204.566,172.081,126.298,6.171,0.882,1.46,,,,,,,,,1599902.0,40115.0,683.374,17.135,9923.0,4.238,0.6613,1026.6,,572672.0,311244.0,257471.0,2592.0,1486.0,7131.0,23.97,13.03,10.78,0.11,2985.0,3682.0,0.154,84.26,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
std,,,,,18605.067046896627,168.7916739718566,57.80252145463204,117.23982662455794,1.1353943540140967,0.3945450982182691,7654.037649537696,69.44010985856515,23.779670325698774,48.231859886946246,0.46709461584586465,0.16230026163534333,0.44854438605812513,,,,,,,,,239287.56685773542,11686.763072429896,102.20812096425303,4.991885910599765,1934.0296184750102,0.8260557702553377,0.0651216380203278,177.94255735012058,,217735.562220333,116394.7768019978,100347.06897480172,554.1489533509921,,1245.0414346519096,9.114211139778408,4.8715422346573956,4.200387270281037,0.022351360883251233,521.1387467400812,660.786443599523,0.02766176433508317,27.873192600303696,1.776887649763032e-15,0.0,8.88443824881516e-16,8.88443824881516e-16,0.0,8.88443824881516e-16,5.686040479241703e-14,1.776887649763032e-15,,,,1.776887649763032e-15,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
