,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0,0.0,317.0,317.0,317.0,307.0,324,43.0,41.0,35.0,9.0,1.0,740.0,43.0,41.0,35.0,9.0,740.0,740.0,740.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GMB,Africa,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8899.345280764635,7.543010752688172,7.565620131815459,265.7455197132617,0.2222222222222222,0.22291791491911328,3375.4737646356034,2.8610244922341694,2.869563810665069,100.7960477897252,0.08428673835125448,0.08453684841222289,0.5553683035714285,,,,,,,,,113294.03896103895,,42.91571428571429,,292.4668769716088,0.11089589905362777,0.07069905362776026,143.13420195439738,,341871.32558139536,197340.58536585365,240520.48571428572,25581.444444444445,429.0,1953.195945945946,12.63418604651163,7.292439024390244,8.88857142857143,0.9444444444444444,721.7540540540541,908.4986486486487,0.03348243243243244,33.00410256410256,207.56599999999997,17.5,2.3389999999999995,1.417,1561.7670000000003,10.099999999999996,331.4299999999999,1.91,0.7,31.199999999999992,7.876000000000001,1.0999999999999999,62.04999999999999,0.49600000000000016,2705995.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,58464.0,,22.146,,68.0,0.026,0.0,1.5,,0.0,0.0,10389.0,3573.0,429.0,0.0,0.0,0.0,0.38,0.13,0.0,0.0,0.0,0.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
25%,,,,2021-02-26 06:00:00,4554.0,0.0,0.0,144.0,0.0,0.0,1727.308,0.0,0.0,54.618,0.0,0.0,0.16,,,,,,,,,101390.0,,38.407,,219.0,0.083,0.0048,10.95,,42026.0,30688.0,162688.5,9007.0,429.0,62.0,1.5550000000000002,1.13,6.015,0.33,23.0,277.0,0.01,13.89,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
50%,,,,2022-04-20 12:00:00,11994.0,0.0,0.286,365.0,0.0,0.0,4549.26,0.0,0.108,138.443,0.0,0.0,0.57,,,,,,,,,111367.0,,42.186,,268.0,0.102,0.016,60.5,,208379.0,183739.0,222118.0,31118.0,429.0,552.5,7.7,6.79,8.21,1.15,204.0,582.0,0.0215,24.07,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
75%,,,,2023-06-12 18:00:00,12626.0,0.0,4.429,372.0,0.0,0.0,4788.974,0.0,1.68,141.098,0.0,0.0,0.86,,,,,,,,,125061.0,,47.373,,307.0,0.116,0.0818,190.2,,285487.0,242172.0,327634.5,31719.0,429.0,3615.0,10.55,8.95,12.105,1.17,1336.0,1057.0,0.039,45.37,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
max,,,,2024-08-04 00:00:00,12627.0,963.0,137.571,372.0,115.0,16.429,4789.353,365.261,52.18,141.098,43.619,6.231,1.37,,,,,,,,,155686.0,,58.974,,1164.0,0.441,0.6593,1566.4,,1444492.0,674314.0,539186.0,53741.0,429.0,8164.0,53.38,24.92,19.93,1.99,3017.0,10103.0,0.373,83.33,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
