,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,443.0,443.0,443.0,489.0,489.0,488.0,488.0,496,288.0,287.0,268.0,1.0,196.0,578.0,288.0,287.0,268.0,1.0,578.0,578.0,578.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GEO,Asia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1104007.545400239,1113.2706093189963,1116.605725584182,10970.781362007168,10.244922341696535,10.27565608148592,290927.7151517324,293.36871684587817,294.24756680647096,2891.0167562724014,2.6997514934289124,2.7078675853804675,0.8107936507936507,,,,,,,,,5650205.013544018,30818.29571106095,1503.5218442437924,8.20072460496614,27762.779141104296,7.387689161554192,0.1100606557377049,19.4155737704918,,1660760.4097222222,935043.9581881533,771401.4477611941,80818.0,7427.658163265306,5071.176470588235,44.353437500000005,24.971881533101048,20.601380597014927,2.16,1354.3737024221452,2863.2560553633216,0.07651038062283738,43.676428571428566,65.03200000000001,38.699999999999996,14.864000000000003,10.244,9745.079,4.200000000000001,496.2179999999999,7.11,5.299999999999998,55.5,,2.600000000000001,73.76999999999998,0.812,3744385.0,15622.462589416667,13.885,14.913541666666665,4176.883218235417
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,14396.0,2795.0,3.831,0.744,841.0,0.224,0.0125,1.1,,0.0,0.0,2887.0,80818.0,150.0,171.0,0.0,0.0,0.08,2.16,46.0,159.0,0.004,0.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,-84.000015,-0.51,-10.93,-22.305359
25%,,,,2021-02-26 06:00:00,268355.0,0.0,15.857,3435.0,0.0,0.0,70716.82,0.0,4.179,905.19,0.0,0.0,0.48,,,,,,,,,1835134.0,18309.5,488.33000000000004,4.872,18597.0,4.949,0.039525,9.475,,265033.75,161772.5,169316.5,80818.0,1786.5,381.75,7.08,4.325,4.52,2.16,102.25,301.0,0.008,13.89,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,5577.7253,10.485,1.06,1483.517875
50%,,,,2022-04-20 12:00:00,1653044.0,0.0,163.857,16742.0,0.0,0.714,435609.62,0.0,43.18,4411.846,0.0,0.188,0.91,,,,,,,,,4847794.0,29487.0,1290.0,7.847,27869.0,7.416,0.07815,12.8,,2037074.0,1070966.0,983626.5,80818.0,4537.5,2479.5,54.4,28.6,26.27,2.16,662.0,1334.5,0.036,47.22,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,21101.750500000002,16.115000000000002,5.800000000000001,5625.664049999999
75%,,,,2023-06-12 18:00:00,1844610.0,0.0,1199.0,17092.0,0.0,15.0,486091.03,0.0,315.96,4504.078,0.0,3.953,1.14,,,,,,,,,9098003.0,41784.5,2420.9825,11.119,38322.0,10.197,0.10575,25.3,,2792215.75,1553755.0,1243651.25,80818.0,10396.5,7027.75,74.57249999999999,41.495000000000005,33.212500000000006,2.16,1877.0,4121.5,0.10975,64.81,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,25896.774749999997,20.0925,21.3875,6946.041875
max,,,,2024-08-04 00:00:00,1863615.0,151830.0,21690.0,17150.0,555.0,79.286,491099.22,40010.19,5715.741,4519.362,146.253,20.893,1.95,,,,,,,,,13652505.0,84658.0,3632.937,22.528,57425.0,15.281,0.9374,79.7,,2930677.0,1654504.0,1276173.0,80818.0,58479.0,29680.0,78.27,44.19,34.08,2.16,7927.0,18253.0,0.487,100.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,26689.6,24.07,75.51,7158.6934
