,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1674.0,1282.0,1277.0,1037.0,1194.0,1194.0,0.0,0.0,691.0,691.0,1214.0,1214.0,118.0,0.0,118.0,0.0,813.0,813.0,118.0,118.0,820,832.0,832.0,813.0,696.0,831.0,831.0,832.0,832.0,813.0,696.0,831.0,831.0,831.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DEU,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,19942428.044802867,29982.648985959437,30100.04330383712,113734.65770609319,136.48907956318251,137.02182380579484,237166.40341099162,356.5702691107644,357.96638684416604,1352.5955113500597,1.623202028081123,1.629527799530149,1.0975409836065575,1771.2361809045226,21.24554606365159,,,979.9667149059335,11.754457308248915,5549.383855024712,66.56344810543658,56176681.18644068,,673.512279661017,,160801.47109471096,1.9278646986469863,0.13883050847457626,31.79237288135593,,131752305.63100961,52083905.34735577,49090304.05289053,39759532.58908046,231284.04452466907,231400.12033694345,158.03355769230768,62.47323317307692,58.88257072570727,47.69066091954023,2775.5848375451264,78164.16365824308,0.09374488567990373,44.20344322344323,237.01600000000005,46.600000000000016,21.453,15.956999999999997,45229.245,,156.13900000000007,8.310000000000002,28.199999999999992,33.10000000000001,,8.0,81.33000000000003,0.9469999999999997,83369840.0,90223.98068772726,2.8315789473684214,6.479904306220097,1082.7068957644499
min,,,,2020-01-05 00:00:00,1.0,0.0,0.0,3.0,0.0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,0.52,100.0,1.199,,,59.0,0.708,24.0,0.288,129291.0,,1.55,,46828.0,0.561,0.006,1.8,,24427.0,24427.0,977.0,1.0,366.0,1762.0,0.03,0.03,0.0,0.0,21.0,38.0,0.0,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,-17779.2,-7.82,-18.03,-213.36151
25%,,,,2021-02-26 06:00:00,2389042.0,0.0,1638.286,76243.0,0.0,15.857,28411.81,0.0,19.483,906.724,0.0,0.189,0.88,672.0,8.06,,,589.0,7.065,1715.75,20.580000000000002,18302830.0,,219.43575,,96889.0,1.162,0.02675,5.875,,90923235.5,51598379.0,45785792.0,2387191.0,25560.0,36155.5,109.06,61.8925,54.92,2.86,433.5,728.0,0.001,14.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,30676.105,2.45,-0.87,367.78125
50%,,,,2022-04-20 12:00:00,23624784.0,0.0,11167.429,139920.0,0.0,79.0,280959.03,0.0,132.809,1664.006,0.0,0.94,1.06,1253.0,15.029,,,919.0,11.023,5330.0,63.932,56214473.0,,673.9655,,157839.0,1.892,0.0805,12.4,,172520289.5,64286288.5,62646972.0,54496669.0,103462.0,119633.0,206.935,77.11,75.14,65.37,1435.0,12412.0,0.015,43.12,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,85670.516,4.11,4.76,1027.5961
75%,,,,2023-06-12 18:00:00,38433115.0,0.0,32963.714,174926.0,0.0,184.0,457067.9,0.0,392.023,2080.317,0.0,2.188,1.23,2545.25,30.53,,,1359.0,16.301000000000002,8500.25,101.958,83556039.25,,1001.768,,198500.0,2.38,0.169,37.5,,185052373.5,64800849.75,63484997.0,60811879.0,279382.0,334657.0,221.965,77.73,76.15,72.9425,4014.0,84652.0,0.1015,69.44,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,189982.75,5.76,12.22,2280.8523
max,,,,2024-08-04 00:00:00,38437756.0,1588891.0,226984.429,174979.0,6460.0,922.857,457123.1,18895.973,2699.425,2080.947,76.826,10.975,3.0,5761.0,69.102,,,2445.0,29.327,19213.0,230.455,131286804.0,,1574.021,,374242.0,4.487,0.556,166.7,,192221468.0,64876299.0,63563414.0,64791434.0,1562042.0,1148328.0,230.56,77.82,76.24,77.72,13774.0,602767.0,0.723,85.19,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,241226.95,6.74,48.12,2896.0684
