,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,25.0,5.0,67.0,67.0,67.0,67.0,74,105.0,105.0,97.0,46.0,5.0,764.0,105.0,105.0,97.0,46.0,764.0,764.0,764.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GRD,North America,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,10867.02449223417,11.764038231780168,11.799311563810665,143.38291517323776,0.14217443249701314,0.1426171360095866,92937.74286379926,100.60924910394266,100.910687237867,1226.249697729988,1.2159133811230585,1.2195853804673455,0.55721399730821,,,,,,,,,156649.84,637.4,1257.12092,5.1152,356.6119402985075,2.861835820895522,0.14443731343283583,11.62089552238806,,61341.58095238095,32297.152380952382,28021.927835051545,6582.782608695652,231.8,118.72513089005236,48.893523809523806,25.743238095238095,22.335670103092784,5.246739130434783,946.3664921465969,57.94371727748691,0.04618717277486911,,317.13200000000006,29.399999999999995,7.304,5.020999999999999,13593.877000000006,,243.96399999999994,10.710000000000004,,,,3.7000000000000006,72.39999999999999,0.7790000000000001,125459.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,144147.0,392.0,1156.785,3.146,185.0,1.485,0.0091,3.7,,0.0,0.0,2.0,5238.0,55.0,1.0,0.0,0.0,0.0,4.18,8.0,0.0,0.0,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
25%,,,,2021-02-26 06:00:00,148.0,0.0,0.0,1.0,0.0,0.0,1265.736,0.0,0.0,8.552,0.0,0.0,0.045,,,,,,,,,149943.0,527.0,1203.298,4.229,231.0,1.854,0.10275000000000001,5.1,,34331.0,20023.0,17013.0,6121.0,67.0,9.0,27.36,15.96,13.56,4.88,72.0,3.0,0.002,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
50%,,,,2022-04-20 12:00:00,14165.0,0.0,0.0,219.0,0.0,0.0,121142.92,0.0,0.0,1872.948,0.0,0.0,0.41,,,,,,,,,155938.0,714.0,1251.408,5.73,299.0,2.399,0.1386,7.2,,78476.0,41287.0,36778.0,6772.5,161.0,51.0,62.55,32.91,29.31,5.395,407.0,15.0,0.012,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
75%,,,,2023-06-12 18:00:00,19693.0,0.0,1.857,238.0,0.0,0.0,168419.88,0.0,15.883,2035.441,0.0,0.0,0.95,,,,,,,,,164138.0,723.0,1317.214,5.802,463.5,3.72,0.197,9.75,,88803.0,43670.0,38492.0,7036.25,182.0,177.5,70.78,34.81,30.68,5.6075,1415.0,72.0,0.057,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
max,,,,2024-08-04 00:00:00,19693.0,1866.0,266.571,238.0,57.0,8.143,168419.88,15958.539,2279.791,2035.441,487.479,69.64,2.24,,,,,,,,,169195.0,831.0,1357.796,6.669,670.0,5.377,0.2687,109.7,,90686.0,44241.0,39034.0,7411.0,694.0,579.0,72.28,35.26,31.11,5.91,4615.0,451.0,0.359,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
std,,,,,9044.888113132025,104.03520771437464,37.833285251303074,111.44295539895633,2.078576356138953,0.7756572885150793,77354.33781472537,889.737338718631,323.56067266333986,953.090567684941,17.776538000224484,6.633467305975841,0.5360096815093323,,,,,,,,,8013.770766000236,175.41750197742527,64.31092241597325,1.4077523574833748,149.18149970847293,1.1971944172258806,0.06255041805402747,18.273598585021364,,31793.61259531814,14099.071110142839,13682.311583792703,606.8213690313185,264.35714478712316,145.37301538077924,25.342193153109772,11.237892587070531,10.905617140875966,0.48285288464765375,1158.6918819526668,90.24257814004231,0.07189806598868813,,5.686040479241703e-14,3.553775299526064e-15,0.0,8.88443824881516e-16,5.458598860072034e-12,,5.686040479241703e-14,3.553775299526064e-15,,,,4.44221912440758e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
