,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GLP,North America,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,112298.96176821983,121.4068100358423,121.77053624925107,659.3333333333334,0.6108786610878661,0.6127476019184652,291910.7903482676,315.5858172043011,316.5312468544039,1713.8761577060932,1.5879175134488943,1.5926678657074342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.399999999999984,,,,,,,,,,,82.13999999999999,,395762.0,858.0804482887082,9.44311004784689,10.500574162679426,2167.734533817225
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,-35.0,-8.58,-27.78,-88.46225
25%,,,,2021-02-26 06:00:00,9455.0,0.0,0.0,160.0,0.0,0.0,24577.4,0.0,0.0,415.905,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,185.00002,4.18,-7.51,467.10452
50%,,,,2022-04-20 12:00:00,145228.0,0.0,17.857,941.0,0.0,0.0,377506.8,0.0,46.418,2446.043,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,1169.0,11.46,3.59,2951.5955
75%,,,,2023-06-12 18:00:00,202836.0,0.0,82.857,1017.0,0.0,0.429,527253.5,0.0,215.38,2643.598,0.0,1.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,1436.4,14.86,16.81,3628.7024
max,,,,2024-08-04 00:00:00,203235.0,17089.0,2441.286,1021.0,114.0,16.286,528290.6,44421.28,6345.897,2653.995,296.332,42.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,1553.8002,18.81,343.02,3925.2842
std,,,,,89145.96782670902,839.2748271469753,296.9915032452341,420.53949212309,5.181495531023765,1.8774297061631704,231726.71556296764,2181.617552598997,772.0020567908559,1093.1535568216896,13.468808904701769,4.88023939751762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4215101198104257e-14,,,,,,,,,,,1.4215101198104257e-14,,0.0,632.2418529779936,6.322397563755176,40.60809831434137,1597.3049513000701
