,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0,829.0,829.0,829.0,822.0,822.0,820.0,820.0,829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GUM,Oceania,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,29587.35065710872,31.234767025089607,31.32835110844817,265.94086021505376,0.25029868578255676,0.2511066506890353,179107.77802688172,189.0804522102748,189.64689394847215,1609.8797275985662,1.515198924731183,1.5197717195925702,,,,,,,,,,126128.80458383595,390.24849215922796,739.6108998793727,2.2883860072376354,390.9586374695864,2.2925437956204378,0.10994878048780488,35.849634146341465,,,,,,,,,,,,,,,0.0,304.12800000000004,31.399999999999995,9.551,5.492999999999999,,,310.4960000000001,21.520000000000007,,,,,80.06999999999996,,171783.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,4.0,0.023,0.023,24.0,0.141,0.002,1.7,,,,,,,,,,,,,,,0.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
25%,,,,2021-02-26 06:00:00,7511.0,0.0,0.714,130.0,0.0,0.0,45468.027,0.0,4.324,786.958,0.0,0.0,,,,,,,,,,49731.0,105.0,291.619,0.616,122.0,0.715,0.028,6.7,,,,,,,,,,,,,,,0.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
50%,,,,2022-04-20 12:00:00,40053.0,0.0,5.857,352.0,0.0,0.0,242461.84,0.0,35.456,2130.841,0.0,0.0,,,,,,,,,,111418.0,186.0,653.348,1.091,232.0,1.36,0.0625,16.0,,,,,,,,,,,,,,,0.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
75%,,,,2023-06-12 18:00:00,51517.0,0.0,27.857,413.0,0.0,0.286,311859.47,0.0,168.634,2500.106,0.0,1.73,,,,,,,,,,191205.0,365.0,1121.213,2.14,410.75,2.4085,0.15,35.7,,,,,,,,,,,,,,,0.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
max,,,,2024-08-04 00:00:00,52287.0,5903.0,843.286,419.0,17.0,2.429,316520.7,35733.96,5104.851,2536.427,102.91,14.701,,,,,,,,,,323516.0,15431.0,1897.076,90.486,2553.0,14.971,0.583,500.0,,,,,,,,,,,,,,,0.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
std,,,,,21883.40491019023,239.2780043821148,85.79908808262884,160.30252918720365,1.3533348265723355,0.45647994288807375,132471.74773676056,1448.4754554332962,519.3866640090315,970.3953476312498,8.192454714717353,2.7631409498771484,,,,,,,,,,94092.24072421077,1005.5816993755905,551.7506330116154,5.896659180699741,442.8534710549586,2.596860610029207,0.11873636596125713,61.530456338735576,,,,,,,,,,,,,,,0.0,5.686040479241703e-14,3.553775299526064e-15,0.0,8.88443824881516e-16,,,1.1372080958483405e-13,7.107550599052128e-15,,,,,2.8430202396208514e-14,,0.0,,,,
