,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.0,11.0,12.0,5.0,30.0,694.0,115.0,11.0,12.0,5.0,694.0,694.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GGY,Europe,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,18075.432497013142,21.102747909199522,21.165974236069502,39.643966547192356,0.04002389486260454,0.04015877771120431,283545.05855854234,331.03388231780167,332.02558538046736,621.8855185185184,0.6278482676224612,0.629735769922109,,,,,,,,,,,,,,,,,,,97269.59130434782,33140.09090909091,26025.916666666668,62601.0,531.0333333333333,249.78242074927954,153.59399999999997,52.33,41.095000000000006,98.848,3944.1887608069164,71.12391930835734,0.11219020172910663,,,,,,,,,,,,,,,,63329.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6673.0,6151.0,522.0,39278.0,213.0,9.0,10.54,9.71,0.82,62.02,142.0,0.0,0.0,,,,,,,,,,,,,,,,63329.0,,,,
25%,,,,2021-02-26 06:00:00,812.0,0.0,0.0,17.0,0.0,0.0,12737.654,0.0,0.0,266.675,0.0,0.0,,,,,,,,,,,,,,,,,,,76224.5,17725.0,7245.75,67289.0,346.25,59.0,120.36,27.990000000000002,11.442499999999999,106.25,932.0,0.0,0.0,,,,,,,,,,,,,,,,63329.0,,,,
50%,,,,2022-04-20 12:00:00,23684.0,0.0,0.143,39.0,0.0,0.0,371525.38,0.0,2.241,611.784,0.0,0.0,,,,,,,,,,,,,,,,,,,95738.0,31538.0,12543.5,68283.0,486.0,129.0,151.18,49.8,19.805,107.82,2037.0,80.0,0.126,,,,,,,,,,,,,,,,63329.0,,,,
75%,,,,2023-06-12 18:00:00,35326.0,0.0,18.857,67.0,0.0,0.0,554150.6,0.0,295.808,1051.013,0.0,0.0,,,,,,,,,,,,,,,,,,,103973.0,54184.0,52686.5,68816.0,657.25,349.75,164.18,85.56,83.1925,108.66,5523.0,80.0,0.126,,,,,,,,,,,,,,,,63329.0,,,,
max,,,,2024-08-04 00:00:00,35326.0,2936.0,419.429,67.0,5.0,0.714,554150.6,46056.348,6579.478,1051.013,78.434,11.205,,,,,,,,,,,,,,,,,,,178525.0,54223.0,52710.0,69339.0,1603.0,1747.0,281.9,85.62,83.23,109.49,27586.0,421.0,0.665,,,,,,,,,,,,,,,,63329.0,,,,
std,,,,,16002.502328846613,139.32318753242703,48.95800831933279,23.79663043125487,0.3283008830952592,0.11857850844150701,251027.48414261665,2185.5303284316005,767.9926336189062,373.29210881062465,5.149983927891167,1.8601293121281788,,,,,,,,,,,,,,,,,,,37343.415278296285,18620.155984601985,23553.38576880705,13059.973832286189,275.5890848313135,313.4556179946832,58.96723584464423,29.40242643048359,37.192381795689876,20.622290609920128,4949.619476136114,102.04495898884632,0.16113836065539058,,,,,,,,,,,,,,,,0.0,,,,
