,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,3026,0,3026,3026,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1352.0,1352.0,1341.0,1322.0,1346.0,1346.0,1352.0,1352.0,1341.0,1322.0,1346.0,1346.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_HIC,,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,3026,,3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-07-05 21:38:39.894250240,235103223.94623655,256298.71684587814,257049.95299640505,1973653.174432497,1792.767622461171,1797.733484122229,192594.1559199522,209.95728554360815,210.57266147393648,1616.7964910394264,1.4686170848267623,1.4726932294787298,,,,,,,,,,,,,,,,,,,2184974657.5658283,845140500.6849113,773743538.7472036,557520858.5794251,2105584.2994056465,2106673.8543833583,174.72611686390533,67.58233727810651,61.874183445190155,44.58312405446293,1684.6456166419018,727312.2043090638,0.058104011887072815,,,,,,,,,,,,,,,,1250514600.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.143,3.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,9669.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1250514600.0,,,,
25%,,,,2021-07-02 00:00:00,58647000.0,0.0,26478.571,1282060.0,0.0,356.143,48043.023,0.0,21.691,1050.25,0.0,0.292,,,,,,,,,,,,,,,,,,,1745191202.0,886469900.25,815381403.0,132005660.25,49558.5,52231.25,139.555,70.88749999999999,65.2,10.5575,42.0,3426.0,0.0,,,,,,,,,,,,,,,,1250514600.0,,,,
50%,,,,2022-07-15 00:00:00,287251144.0,0.0,106929.143,2453465.0,0.0,1155.143,235313.2,0.0,87.595,2009.853,0.0,0.946,,,,,,,,,,,,,,,,,,,2653865745.5,987000396.0,922268459.0,750865094.5,937137.5,1013587.0,212.225,78.93,73.75,60.045,810.5,75211.0,0.006,,,,,,,,,,,,,,,,1250514600.0,,,,
75%,,,,2023-07-28 00:00:00,422186816.0,0.0,341065.714,2899081.0,0.0,2691.429,345851.12,0.0,279.398,2374.898,0.0,2.205,,,,,,,,,,,,,,,,,,,2824657812.0,995967072.75,929242202.0,831282198.25,3516202.75,4169982.5,225.88,79.64,74.31,66.4775,3334.25,833921.75,0.067,,,,,,,,,,,,,,,,1250514600.0,,,,
max,,,,2024-08-14 00:00:00,429044049.0,16140087.0,2305726.714,2997359.0,59997.0,8571.0,351468.5,13221.794,1888.828,2455.406,49.149,7.021,,,,,,,,,,,,,,,,,,,2840880020.0,998723024.0,929255961.0,839231470.0,10147757.0,8545044.0,227.18,79.86,74.31,67.11,6833.0,4638078.0,0.371,,,,,,,,,,,,,,,,1250514600.0,,,,
std,,,,,176009612.25739768,1176930.1156515398,376533.3254928555,1023948.6402187635,6698.414989231767,1912.0684194951773,144185.27354291844,964.1291097937606,308.45226252006654,838.8082319634962,5.48727799933004,1.566308982256623,,,,,,,,,,,,,,,,,,,908986112.7765816,288799425.02649415,288100806.2346538,342728209.2931575,2699143.517018947,2574676.8935279776,72.68909547600869,23.093923172585015,23.038661837805826,27.407254815119195,2058.88457258803,1254029.4927946166,0.10031510739662738,,,,,,,,,,,,,,,,0.0,,,,
