,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1654,1654,1654,1654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,838.0,838.0,30.0,30.0,845,976.0,976.0,973.0,917.0,893.0,1265.0,976.0,976.0,973.0,917.0,1265.0,1265.0,1265.0,1066.0,1654.0,1654.0,1654.0,1654.0,1654.0,0.0,0.0,1654.0,0.0,0.0,0.0,0.0,1654.0,1654.0,1654.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,HKG,Asia,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1654,1654,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-05-06 12:00:00,,,,,,,,,,,,,,,,,,,,,,15606338.290322581,,2082.350451612903,,58714.807875894985,7.834343675417662,0.011180000000000002,7258.503333333333,,14384150.786885247,5474586.314549181,5180916.790339157,3985497.653217012,23336.69764837626,16615.320158102768,192.07389344262293,73.10301229508198,69.18171634121275,53.218887677208286,2218.6640316205535,5473.722529644268,0.07304347826086958,59.16669793621011,7039.714,44.8,16.302999999999997,10.158,56054.920000000006,,,8.33,,,,,84.86000000000001,0.949,7488863.0,8856.604060652084,6.316041666666666,10.355,1182.3128249125002
min,,,,2020-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,3610.0,,0.482,,884.0,0.118,0.0,4.3,,47.0,47.0,1.0,1.0,39.0,99.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,11.11,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,-84.000015,-0.39,-8.84,-11.198576
25%,,,,2021-03-19 06:00:00,,,,,,,,,,,,,,,,,,,,,,2309867.0,,308.205,,16279.75,2.1725000000000003,0.0001,280.2,,9006448.25,4600039.0,4417783.0,243179.0,5426.0,572.0,120.2625,61.427499999999995,58.99,3.25,76.0,11.0,0.0,49.07,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,1511.0,2.38,0.735,201.61236250000002
50%,,,,2022-05-06 12:00:00,,,,,,,,,,,,,,,,,,,,,,9148459.0,,1220.677,,54904.0,7.326,0.0005499999999999999,1880.6,,17686715.5,6742489.5,6454932.0,4763379.0,16651.0,9187.0,236.175,90.035,86.19,63.61,1227.0,367.0,0.005,59.26,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,3190.4,3.915,5.035,425.85600999999997
75%,,,,2023-06-23 18:00:00,,,,,,,,,,,,,,,,,,,,,,26390834.0,,3521.3235000000004,,79948.0,10.667,0.0036,9423.075,,20703834.0,6914030.75,6796692.0,7012607.0,36480.0,27602.0,276.4575,92.32,90.76,93.64,3686.0,4804.0,0.064,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,17088.7495,11.157499999999999,8.690000000000001,2281.6606
max,,,,2024-08-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,49426686.0,,6594.993,,241445.0,32.216,0.2308,50000.0,,21014839.0,6920120.0,6803327.0,7291392.0,102013.0,86320.0,280.61,92.41,90.85,97.36,11526.0,37691.0,0.503,75.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,21706.0,12.12,167.93,2897.3777
std,,,,,,,,,,,,,,,,,,,,,,,,,,15942149.804828478,,2127.1578715178434,,51083.99908109354,6.816157994974221,0.042198009431725574,11512.517143840869,,6977503.653032677,2083010.888217131,2165965.033394048,2968703.554103386,22089.301434182682,20759.926086528958,93.17167968755267,27.814809638472525,28.92254218661871,39.64189523362061,2772.095383182187,9521.268472095919,0.12717660839191042,10.663544230930437,0.0,0.0,3.5537881423601646e-15,0.0,7.278158115553617e-12,,,0.0,,,,,1.4215152569440658e-14,0.0,0.0,8473.007652672375,4.692746208453037,25.509911465521075,1131.1310978760027
