,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1017.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,687.0,687.0,687.0,687.0,790.0,790.0,790.0,788.0,797,163.0,384.0,384.0,199.0,127.0,706.0,163.0,384.0,384.0,199.0,706.0,708.0,708.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,HUN,Europe,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1358355.6983273595,1332.616487455197,1336.535288196525,32950.12305854241,29.302867383512545,29.390689035350512,140263.6076810036,137.60577956989246,138.01044937088076,3402.4248291517324,3.0258046594982075,3.03492570401438,1.0798131760078664,,,,,8.5,0.8734642857142857,70.85714285714286,7.114142857142857,3774509.573508006,15929.723435225618,388.73251673944685,1.640593886462882,13836.022784810126,1.4249468354430381,0.11526556962025315,53.21840101522842,,5473546.18404908,4751045.260416667,4181550.359375,2918890.773869347,65168.535433070865,23677.53682719547,54.915092024539874,47.666328125,41.95260416666667,29.284371859296478,2375.3909348441925,8895.290960451977,0.08923305084745763,36.67674908424909,108.043,43.399999999999984,18.577,11.976,26777.560999999994,0.5,278.2959999999999,7.549999999999998,26.800000000000008,34.800000000000004,,7.019999999999998,76.88,0.8539999999999998,9967304.0,24643.991175598087,6.728373205741627,7.822727272727271,2467.2374700497608
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,,,,,1.0,0.103,23.0,2.271,39.0,39.0,0.004,0.004,84.0,0.009,0.0,2.4,,1094.0,129689.0,1643.0,322000.0,1925.0,821.0,0.01,1.3,0.02,3.23,82.0,16.0,0.0,0.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,-3419.7998,-10.85,-17.24,-350.72815
25%,,,,2021-02-26 06:00:00,403023.0,0.0,26.143,14299.0,0.0,0.571,41616.094,0.0,2.7,1476.513,0.0,0.059,0.83,,,,,6.0,0.619,43.75,4.41225,402524.5,4122.0,41.4555,0.4245,6277.5,0.64625,0.017025,4.875,,867594.5,3846221.75,1810466.25,1453000.0,21981.0,821.0,8.705,38.589999999999996,18.1675,14.58,82.0,81.0,0.001,11.11,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,10786.301,7.16,-3.08,1110.8693
50%,,,,2022-04-20 12:00:00,1879480.0,0.0,149.571,45865.0,0.0,3.286,194074.83,0.0,15.445,4736.013,0.0,0.339,1.08,,,,,7.0,0.722,59.0,5.883,2906836.0,11719.0,299.372,1.207,12069.0,1.2429999999999999,0.0842,11.850000000000001,,3932413.0,5832589.0,5538530.5,3457497.0,59533.0,17185.5,39.45,58.515,55.57,34.69,1724.0,2183.5,0.022,29.97,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,36072.1,9.38,3.26,3627.1694
75%,,,,2023-06-12 18:00:00,2202990.0,0.0,1627.429,48795.0,0.0,20.857,227480.42,0.0,168.048,5038.564,0.0,2.154,1.28,,,,,11.0,1.135,105.25,10.552999999999999,6086147.5,21175.5,626.8054999999999,2.1805,19655.5,2.024,0.2057,57.125,,8067548.5,6346181.0,6084428.25,4118050.0,101377.5,24880.0,80.94,63.6725,61.045,41.315,2496.0,6422.25,0.06425,55.56,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,39182.703,11.39,8.7,3886.7239
max,,,,2024-08-04 00:00:00,2230800.0,108488.0,15498.286,49053.0,1767.0,252.429,230352.08,11202.455,1600.351,5065.206,182.46,26.066,2.11,,,,,19.0,1.858,153.0,15.378,10943720.0,134625.0,1127.081,13.865,42124.0,4.338,0.4236,1042.3,,16701238.0,6420813.0,6207249.0,4316982.0,187488.0,125911.0,167.56,64.42,62.28,43.31,12632.0,77448.0,0.777,79.63,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,42271.105,13.76,74.98,4209.283
