,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,99.0,99.0,194.0,194.0,196.0,196.0,196.0,196.0,828.0,827.0,828.0,827.0,821.0,821.0,828.0,767.0,828,1059.0,1059.0,1059.0,929.0,1034.0,1086.0,1059.0,1059.0,1059.0,929.0,1086.0,1086.0,1086.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IRL,Europe,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1005060.1433691756,1042.4659498207886,1045.1981491911326,6191.240740740741,5.82078853046595,5.833590772917915,196684.45779390677,204.00455854241335,204.5392546434991,1211.5899874551972,1.1390925925925928,1.1415913720790891,1.0550195312500001,18.02020202020202,3.587373737373737,389.1958762886598,77.48106701030929,15.341836734693878,3.0380867346938776,346.2857142857143,68.93901020408164,5308394.460144928,14922.437726723096,1064.54763647343,2.9925429262394196,15006.736906211936,3.0094616321559076,0.10445652173913045,26.308604954367667,,10081940.35694051,3956943.8829084043,3835143.8715769593,2870952.1313240044,8296.788201160542,8015.30847145488,200.7113220018886,78.77474032105759,76.35030217186025,57.15493003229279,1595.6906077348067,2179.826887661142,0.04336187845303868,42.69878205128205,69.87400000000002,38.699999999999996,13.928,8.677999999999999,67335.29300000003,0.2,126.45900000000005,3.2800000000000007,23.0,25.699999999999992,,2.9600000000000004,82.29999999999997,0.955,5023108.0,4540.153680189474,6.14133971291866,8.470478468899522,902.5082724690908
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,0.199,0.0,0.0,0.0,0.0,3.0,0.593,6457.0,946.0,1.295,0.19,1554.0,0.312,0.0,2.0,,2555024.0,1826815.0,745405.0,1188.0,1.0,2.0,50.87,36.37,14.84,0.02,0.0,0.0,0.0,0.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,-232.40001,-5.0,-16.16,-46.986298
25%,,,,2021-02-26 06:00:00,214478.0,0.0,75.0,4417.0,0.0,1.429,41972.105,0.0,14.677,864.381,0.0,0.28,0.89,5.0,0.995,178.0,35.436,3.0,0.593,152.25,30.286749999999998,1325687.5,7652.5,265.854,1.5350000000000001,7537.0,1.511,0.02,6.7,,10548986.5,4063496.5,3957188.5,3041710.0,61.25,57.0,210.01,80.89500000000001,78.78,60.55,11.0,6.0,0.0,11.11,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,1470.0999,5.61,0.67,297.22266
50%,,,,2022-04-20 12:00:00,1514616.0,0.0,254.286,7225.0,0.0,2.857,296401.6,0.0,49.762,1413.891,0.0,0.559,1.025,9.0,1.792,298.0,59.326,7.0,1.383,288.0,57.312,4589313.0,14244.0,920.343,2.856,15120.0,3.032,0.05,16.7,,11088617.0,4106524.0,4061085.0,3182299.0,385.0,396.0,220.75,81.75,80.85,63.35,78.5,31.5,0.001,42.15,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,4248.2983,6.55,7.95,845.7908
75%,,,,2023-06-12 18:00:00,1713205.0,0.0,841.571,9061.0,0.0,6.857,335264.3,0.0,164.691,1773.185,0.0,1.342,1.21,20.0,3.982,486.0,96.753,19.25,3.8045,433.0,86.16625,8936784.25,19918.0,1792.1865,3.9939999999999998,19581.0,3.927,0.14,50.0,,11130539.0,4110786.0,4065037.5,3196227.0,6513.0,6763.25,221.59,81.84,80.93,63.63,1346.75,734.25,0.01475,72.22,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,7694.498,7.81,14.61,1521.5747
max,,,,2024-08-04 00:00:00,1745088.0,147583.0,21083.286,9744.0,452.0,64.571,341503.62,28881.14,4125.877,1906.844,88.454,12.636,2.72,92.0,18.315,1941.0,386.414,143.0,28.458,1626.0,323.715,12347313.0,49212.0,2476.135,9.869,44816.0,8.987,0.51,100.0,,11148281.0,4112237.0,4065584.0,3211763.0,135639.0,91840.0,221.94,81.87,80.94,63.94,18284.0,30945.0,0.616,90.74,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,10638.3,9.68,55.37,2103.7068
