,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,266.0,255.0,257.0,65.0,182.0,518.0,266.0,255.0,257.0,65.0,518.0,514.0,514.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IMN,Europe,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,21301.224611708483,22.70489844683393,22.772937687237864,77.34946236559139,0.06929510155316607,0.06952606351108448,253152.0306505376,269.833839307049,270.64224565608146,919.2510406212665,0.8235256869772998,0.8260293588975435,,,,,,,,,,,,,,,,,,,109917.53383458647,54853.23529411765,42950.21011673152,49812.153846153844,512.7692307692307,360.77799227799227,130.0274060150376,64.88913725490197,50.80809338521401,58.92538461538461,4267.80694980695,130.15175097276264,0.15393968871595332,,147.87200000000004,,,,,,,,,,,,81.39999999999999,,84534.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3558.0,3897.0,312.0,41069.0,1.0,0.0,4.21,4.61,0.37,48.58,0.0,0.0,0.0,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
25%,,,,2021-02-26 06:00:00,449.0,0.0,0.0,35.0,0.0,0.0,5336.09,0.0,0.0,415.954,0.0,0.0,,,,,,,,,,,,,,,,,,,65859.75,49899.5,15484.0,48784.0,87.75,23.0,77.9075,59.025,18.32,57.71,272.0,3.0,0.004,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
50%,,,,2022-04-20 12:00:00,30169.0,0.0,0.0,87.0,0.0,0.0,358540.12,0.0,0.0,1033.942,0.0,0.0,,,,,,,,,,,,,,,,,,,123337.0,64756.0,58383.0,50707.0,425.5,114.0,145.9,76.6,69.06,59.98,1349.0,13.0,0.015,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
75%,,,,2023-06-12 18:00:00,38008.0,0.0,12.571,116.0,0.0,0.0,451701.84,0.0,149.404,1378.589,0.0,0.0,,,,,,,,,,,,,,,,,,,133611.25,68596.5,65223.0,52148.0,777.25,510.25,158.055,81.15,77.16,61.69,6036.0,118.0,0.14,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
max,,,,2024-08-04 00:00:00,38008.0,2642.0,377.429,116.0,14.0,2.0,451701.84,31398.555,4485.508,1378.589,166.381,23.769,,,,,,,,,,,,,,,,,,,189994.0,69560.0,67106.0,53328.0,2140.0,6039.0,224.75,82.29,79.38,63.08,71439.0,1143.0,1.352,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
std,,,,,17191.92996418183,161.23603600478032,57.27124261748256,40.42608217295155,0.5795693560787858,0.20971849082383653,204315.57607071265,1916.1917456584567,680.6332892126961,480.439254466614,6.887818154604539,2.4924630820865525,,,,,,,,,,,,,,,,,,,57536.15426246305,20315.26560006321,25017.521785572924,3278.2581323336235,455.86834333098705,716.7792749192703,68.06265349232031,24.032216566746566,29.59447509445378,3.8781600328486463,8479.204311358588,244.2438710483569,0.2889265780532416,,2.8430202396208514e-14,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
