,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,979.0,979.0,1162.0,1162.0,1154.0,1154.0,1156.0,1156.0,854.0,854.0,854.0,854.0,847.0,847.0,854.0,848.0,854,846.0,846.0,846.0,652.0,825.0,866.0,846.0,846.0,846.0,652.0,866.0,866.0,866.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ISR,Asia,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2801819.615890084,2892.20908004779,2900.8736069502697,8387.845280764635,7.590800477897252,7.613550629119234,307785.9227078854,317.7154026284349,318.6672324745357,921.4228333333334,0.8338685782556752,0.8363594967046137,1.0573268292682927,118.07456588355464,12.495990806945864,830.9397590361446,87.93943803786574,42.46447140381282,4.494056325823223,655.1678200692041,69.33725086505191,18668403.030444965,60632.33489461358,2009.2996592505854,6.525908665105387,61028.66587957497,6.568584415584416,0.059037470725995314,93.78195754716982,,15053987.95390071,6037223.6560283685,5433793.59929078,4649069.34202454,22557.48606060606,21610.502309468822,159.3183096926714,63.89262411347518,57.50664302600473,49.20144171779141,2287.065819861432,7839.2170900692845,0.0829526558891455,43.44195054945055,402.60599999999994,30.600000000000005,11.733,7.358999999999998,33132.32000000001,0.5,93.31999999999996,6.739999999999999,15.400000000000004,35.39999999999999,,2.990000000000001,82.97000000000001,0.9190000000000003,9449000.0,7397.731199344498,6.423827751196172,8.025502392344498,815.8043158478469
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,13.0,1.376,10.0,1.058,0.0,0.0,17.0,1.799,28.0,13.0,0.003,0.001,75.0,0.008,0.0,3.0,,75.0,71.0,4.0,122.0,1.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,-446.2,-4.38,-12.29,-50.95069
25%,,,,2021-02-26 06:00:00,748394.0,0.0,41.857,5566.0,0.0,0.571,82212.695,0.0,4.598,611.437,0.0,0.063,0.74,35.5,3.757,405.25,42.8885,10.0,1.058,230.75,24.4205,3065238.25,20631.25,329.9145,2.22025,22309.0,2.4015,0.012,12.7,,11056880.0,5783342.75,5271918.0,4136143.5,666.0,792.5,117.02000000000001,61.2075,55.79,43.7775,84.0,20.25,0.0,17.59,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,2791.5002,6.41,1.16,313.64972
50%,,,,2022-04-20 12:00:00,4031447.0,0.0,519.429,10700.0,0.0,2.714,442863.16,0.0,57.06,1175.418,0.0,0.298,0.99,81.0,8.572,644.0,68.155,24.0,2.54,421.5,44.608000000000004,14953050.5,44539.0,1609.4125,4.7935,47227.0,5.083,0.043,23.3,,18025360.0,6706446.0,6127199.5,5308677.0,4523.0,4168.0,190.765,70.975,64.845,56.185,441.0,124.0,0.001,47.474999999999994,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,7290.2993,7.84,5.44,808.1858
75%,,,,2023-06-12 18:00:00,4827536.0,0.0,2113.857,12558.0,0.0,9.714,530315.25,0.0,232.212,1379.524,0.0,1.067,1.27,179.5,18.997,1109.0,117.367,60.0,6.35,894.5,94.666,30092062.0,80657.75,3238.84,8.681,78792.5,8.4805,0.078,78.5,,18234190.5,6720733.25,6156410.0,5512791.5,19886.0,20258.25,192.9775,71.13,65.15,58.34,2144.0,5312.0,0.056,62.96,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,12185.701,8.41,11.38,1335.3397
max,,,,2024-08-04 00:00:00,4841558.0,494733.0,70676.143,12707.0,439.0,62.714,531855.56,54347.49,7763.927,1395.891,48.225,6.889,2.86,420.0,44.449,3714.0,393.057,223.0,23.6,3714.0,393.057,51780014.0,447589.0,5573.137,48.174,395772.0,42.597,0.333,1000.0,,18649248.0,6723119.0,6159825.0,5766304.0,234494.0,185557.0,197.37,71.15,65.19,61.03,19638.0,130473.0,1.381,94.44,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,14712.304,9.43,135.68,1603.6047
