,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1046.0,203.0,203.0,204.0,204.0,0.0,0.0,0.0,0.0,866.0,866.0,866.0,866.0,862.0,862.0,862.0,862.0,869,793.0,793.0,779.0,523.0,783.0,809.0,793.0,793.0,779.0,523.0,809.0,809.0,809.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,JPN,Asia,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,14678708.892473118,20193.292712066905,20253.787891551827,36053.485663082436,44.62007168458781,44.753730377471534,117431.93939187573,161.54946356033454,162.03341222288793,288.4335543608124,0.3569617682198328,0.3580443379269023,1.077189292543021,706.8374384236453,5.702512315270935,12171.039215686274,98.19179411764706,,,,,15507505.869515011,61783.99653579677,124.44578406466512,0.49582448036951504,61711.51972157773,0.4952447795823666,0.09971879350348027,45.182830626450105,,231577797.60277426,84800358.44892812,82185557.1784339,100137591.21797323,489532.5006385696,474343.6860321384,186.82905422446407,68.41412358133668,66.30454428754814,80.78749521988527,3826.840543881335,129431.85908529049,0.10439307787391842,40.50601648351648,347.77800000000013,48.2,27.048999999999996,18.492999999999995,39002.223,,79.37,5.719999999999999,11.2,33.699999999999996,,13.050000000000002,84.63,0.9190000000000003,123951696.0,37250.791520833336,-0.2091666666666665,3.5499999999999994,303.05211047916663
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,35.0,0.282,362.0,2.92,,,,,4.0,4.0,0.0,0.0,9.0,0.0,0.002,2.0,,125.0,125.0,35.0,4940.0,341.0,486.0,0.0,0.0,0.0,0.0,4.0,80.0,0.0,0.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,-37726.098,-5.57,-5.57,-302.74722
25%,,,,2021-02-26 06:00:00,425597.0,0.0,0.0,7417.0,0.0,0.0,3404.842,0.0,0.0,59.337,0.0,0.0,0.82,195.0,1.573,5094.0,41.0965,,,,,1521932.25,14928.25,12.21325,0.1195,17407.25,0.14,0.027950000000000003,7.925000000000001,,159335780.0,87360357.0,78763150.0,60429261.0,92629.0,108755.0,128.55,70.48,63.54,48.75,877.0,3183.0,0.003,35.19,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,-27643.9235,-2.0925,-0.51,-221.5554325
50%,,,,2022-04-20 12:00:00,7374251.0,0.0,1031.286,29023.0,0.0,11.571,58995.15,0.0,8.25,232.188,0.0,0.093,1.04,430.0,3.469,9239.0,74.537,,,,,10176152.0,47824.5,81.6625,0.3835,48823.5,0.392,0.05735,17.45,,261767641.0,102850717.0,101084755.0,104157939.0,351618.0,316081.0,211.19,82.98,81.55,84.03,2550.0,10383.0,0.008,43.08,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,-10482.5985,-0.46,3.03,-83.9632
75%,,,,2023-06-12 18:00:00,33803572.0,0.0,15135.429,74694.0,0.0,50.286,270433.8,0.0,121.086,597.564,0.0,0.402,1.25,1107.5,8.934999999999999,16854.25,135.97425,,,,,26152124.75,84939.25,209.86724999999998,0.6817500000000001,86794.5,0.6964999999999999,0.12595,35.724999999999994,,329646128.0,104284502.0,102939952.0,165071667.5,773635.5,770535.0,265.95,84.13,83.05,133.175,6216.0,62647.0,0.051,47.22,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,112146.08124999999,2.575,6.445,906.1418050000001
max,,,,2024-08-04 00:00:00,33803572.0,1496968.0,213852.571,74694.0,10981.0,1568.714,270433.8,11975.976,1710.854,597.564,87.85,12.55,4.08,3034.0,24.477,44458.0,358.672,,,,,53504941.0,1329376.0,429.37,10.668,305193.0,2.449,0.4913,510.0,,383747738.0,104705133.0,103380343.0,175662262.0,1757272.0,1692319.0,309.59,84.47,83.4,141.72,13653.0,1018659.0,0.822,55.09,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,209870.61,3.62,18.75,1702.1893
