,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,132.0,132.0,132.0,86.0,0.0,686.0,132.0,132.0,132.0,86.0,686.0,686.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,JEY,Europe,Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,35777.13142174432,39.66009557945042,39.77889874176154,103.79988052568697,0.0961768219832736,0.0964985020970641,345696.13894563913,383.2152485065711,384.3632810065908,1002.9653578255674,0.9292956989247311,0.9320527261833433,,,,,,,,,,,,,,,,,,,186637.47727272726,76733.40909090909,70168.10606060606,55393.83720930233,,326.43731778425655,168.45136363636365,69.2565909090909,63.330530303030294,49.996162790697674,2946.2886297376094,66.31778425655976,0.05992565597667639,,,,,,,,,,,,,,,,110796.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,45758.0,40137.0,5621.0,2002.0,,2.0,41.3,36.23,5.07,1.81,18.0,0.0,0.0,,,,,,,,,,,,,,,,110796.0,,,,
25%,,,,2021-02-26 06:00:00,3199.0,0.0,0.0,68.0,0.0,0.0,30910.303,0.0,0.0,657.049,0.0,0.0,,,,,,,,,,,,,,,,,,,145466.75,75161.5,70305.25,40702.75,,71.5,131.29000000000002,67.84,63.457499999999996,36.7375,645.5,5.0,0.005,,,,,,,,,,,,,,,,110796.0,,,,
50%,,,,2022-04-20 12:00:00,48922.0,0.0,1.286,122.0,0.0,0.0,472708.3,0.0,12.423,1178.824,0.0,0.0,,,,,,,,,,,,,,,,,,,195569.5,80525.5,76046.5,66194.5,,243.0,176.51,72.68,68.63499999999999,59.74,2193.0,15.0,0.014,,,,,,,,,,,,,,,,110796.0,,,,
75%,,,,2023-06-12 18:00:00,66391.0,0.0,40.0,161.0,0.0,0.143,641502.3,0.0,386.5,1555.661,0.0,1.38,,,,,,,,,,,,,,,,,,,235312.75,83530.0,80644.0,73085.25,,551.0,212.385,75.38749999999999,72.78999999999999,65.965,4973.0,61.0,0.055,,,,,,,,,,,,,,,,110796.0,,,,
max,,,,2024-08-04 00:00:00,66391.0,3535.0,505.0,161.0,13.0,1.857,641502.3,34156.9,4879.557,1555.661,125.612,17.945,,,,,,,,,,,,,,,,,,,266953.0,84365.0,81882.0,73662.0,,1233.0,240.94,76.14,73.9,66.48,11129.0,547.0,0.494,,,,,,,,,,,,,,,,110796.0,,,,
std,,,,,29417.184491776978,233.0616817841787,80.1569561532281,54.96025820585142,0.6163325635132367,0.2155083962463435,284243.220371615,2251.9560311007876,774.515880139004,531.0529417958593,5.955272243943126,2.08234608762164,,,,,,,,,,,,,,,,,,,57540.55775180488,10134.879164484171,16406.098154197232,22162.571391934627,,282.05890259369096,51.93361574094209,9.147162562558453,14.807569774186288,20.00287227425717,2545.777805469172,112.99868045888093,0.1019500321894882,,,,,,,,,,,,,,,,0.0,,,,
