,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,271.0,335.0,271.0,743.0,743.0,742.0,740.0,750,213.0,212.0,208.0,16.0,146.0,586.0,213.0,212.0,208.0,16.0,586.0,586.0,586.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,JOR,Asia,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1124499.854241338,1043.6063321385902,1046.7327825044938,9951.639187574672,8.436081242532856,8.461368484122229,99899.88670191159,92.71334946236561,92.99109946075494,884.0976254480286,0.7494569892473119,0.7516842420611144,0.8180905511811023,,,,,,,,,7032024.671641791,27924.69741697417,630.7722537313433,2.504852398523985,22461.024226110363,2.0147752355316286,0.085011051212938,194.61499999999998,,6213946.896713615,3361443.7311320757,2849938.019230769,657155.625,29293.253424657534,17171.252559726963,55.059483568075116,29.784528301886795,25.25254807692308,5.823125,1521.5443686006827,8240.105802047781,0.07301877133105802,41.41135531135531,109.28500000000001,23.199999999999992,3.8100000000000005,2.3610000000000007,8337.490000000002,0.1,208.25700000000003,11.75,,,,1.4,74.52999999999999,0.729,11285875.0,9665.56865638889,18.137222222222224,18.860833333333336,861.5472455555557
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,78885.0,8857.0,7.076,0.794,2188.0,0.196,0.0,1.7,,0.0,0.0,30000.0,604845.0,638.0,0.0,0.0,0.0,0.27,5.36,0.0,205.0,0.002,0.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,300.09995,1.6,-9.08,27.459745
25%,,,,2021-02-26 06:00:00,359811.0,0.0,0.0,4543.0,0.0,0.0,31965.39,0.0,0.0,403.597,0.0,0.0,0.5,,,,,,,,,3605270.0,20193.0,323.3925,1.811,9385.0,0.842,0.023675,7.4,,4668898.0,2751321.5,2104155.25,651108.0,14299.5,2501.0,41.37,24.380000000000003,18.6425,5.7675,221.5,1117.25,0.01,17.59,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,1166.6499925,10.6675,-0.7925,106.750805
50%,,,,2022-04-20 12:00:00,1695432.0,0.0,8.286,14059.0,0.0,0.0,150621.14,0.0,0.736,1248.993,0.0,0.0,0.9,,,,,,,,,6348440.0,25108.0,569.455,2.252,20690.0,1.856,0.05505,18.0,,6920178.0,3682895.0,3258691.5,657492.0,19120.0,13556.5,61.32,32.635000000000005,28.875,5.83,1201.0,5829.5,0.0515,34.26,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,12168.3,21.869999999999997,7.5600000000000005,1091.49495
75%,,,,2023-06-12 18:00:00,1746997.0,0.0,882.857,14122.0,0.0,10.857,155202.16,0.0,78.432,1254.59,0.0,0.965,1.14,,,,,,,,,9924633.0,33156.0,890.239,2.9745,31821.0,2.854,0.134975,39.9,,7804321.0,4102239.75,3706708.0,669131.75,37078.5,23493.0,69.15,36.3475,32.845,5.93,2082.0,10430.0,0.09275,70.37,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,16653.423000000003,26.0475,22.6675,1475.598825
max,,,,2024-08-04 00:00:00,1746997.0,136567.0,19509.571,14122.0,684.0,97.714,155202.16,12132.529,1733.218,1254.59,60.766,8.681,1.69,,,,,,,,,16803235.0,72951.0,1507.249,6.544,109611.0,9.832,0.5815,4379.4,,10057975.0,4821579.0,4558313.0,682211.0,185322.0,87729.0,89.12,42.72,40.39,6.04,7773.0,47311.0,0.419,100.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,17127.898,28.37,121.93,1517.6403
