,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,441.0,447.0,441.0,446.0,446.0,446.0,446.0,453,298.0,449.0,451.0,18.0,273.0,819.0,298.0,449.0,451.0,18.0,819.0,716.0,716.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KAZ,Asia,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,975122.329749104,898.6678614097968,901.3600916716597,13055.39127837515,11.393070489844684,11.427204313960456,48671.88478255675,44.85576105137395,44.99013241461953,651.6419647550775,0.5686696535244922,0.570346914319952,0.9531521739130434,,,,,,,,,4408522.109619686,26740.19501133787,229.65282774049217,1.3929727891156463,26552.396860986548,1.3831928251121075,0.03788183856502242,43.5390134529148,,12160350.788590604,7623428.643652561,6963335.0,2384794.9444444445,68336.92307692308,46685.893772893774,62.688456375838925,39.3002004454343,35.8969844789357,12.293888888888889,2406.7155067155068,15169.393854748603,0.07820810055865922,51.428992673992674,6.680999999999998,30.600000000000005,6.9910000000000005,4.625,24055.587999999996,0.1,466.79200000000014,7.11,7.0,43.100000000000016,98.999,6.700000000000002,73.60000000000001,0.8249999999999998,19397998.0,55590.168541666666,18.24125,15.136250000000002,2864.7018041145834
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,126.0,207.0,0.007,0.011,568.0,0.03,0.0049,4.4,,0.0,0.0,2137.0,2107660.0,892.0,638.0,0.0,0.0,0.01,10.87,33.0,145.0,0.001,0.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,-9354.0,-20.78,-60.07,-492.85403
25%,,,,2021-02-26 06:00:00,256388.0,0.0,5.429,3246.0,0.0,0.0,12797.253,0.0,0.271,162.02,0.0,0.0,0.8,,,,,,,,,1573001.0,16069.0,81.94200000000001,0.837,15403.25,0.802,0.016925,22.924999999999997,,6855511.0,6276224.0,5004154.0,2262726.0,25697.0,41185.5,35.34,32.36,25.795,11.6625,2123.0,650.5,0.003,11.11,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,30272.7,16.67,-3.4675000000000002,1585.854925
50%,,,,2022-04-20 12:00:00,1394224.0,0.0,101.714,19013.0,0.0,0.143,69590.766,0.0,5.077,949.008,0.0,0.007,0.95,,,,,,,,,3466616.0,23640.0,180.586,1.231,26418.0,1.3765,0.02665,37.5,,13877449.5,8846068.0,8339523.0,2453379.0,50684.0,41222.0,71.53999999999999,45.6,42.99,12.645,2125.0,3477.5,0.018,65.74,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,77646.1075,20.305,5.09,3963.75455
75%,,,,2023-06-12 18:00:00,1502857.0,0.0,977.0,19072.0,0.0,9.857,75013.03,0.0,48.766,951.953,0.0,0.492,1.15,,,,,,,,,7094745.5,38138.0,369.586,1.987,35549.75,1.85175,0.043625000000000004,59.075,,17087819.25,9479366.0,9233280.0,2514071.0,81414.0,41222.0,88.09,48.87,47.6,12.96,2125.0,21113.75,0.109,71.76,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,81281.141,24.4275,27.0375,4190.1819
max,,,,2024-08-04 00:00:00,1504370.0,97258.0,13894.0,19072.0,2291.0,327.286,75088.555,4854.499,693.5,951.953,114.352,16.336,2.18,,,,,,,,,11965068.0,148586.0,623.295,7.74,58251.0,3.034,0.2281,203.0,,38355605.0,10858101.0,10629063.0,2514071.0,2118887.0,351158.0,197.73,55.98,54.79,12.96,18103.0,177343.0,0.914,92.13,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,84790.01,30.47,142.05,4371.07
