,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,26.0,24.0,11.0,0.0,629.0,26.0,26.0,24.0,11.0,629.0,629.0,629.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KIR,Oceania,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2380.6248506571087,3.0376344086021505,3.0467363690832836,10.271804062126643,0.014336917562724014,0.01438166566806471,18244.99210215054,23.280282556750297,23.35002456560815,78.72257048984467,0.10987813620071685,0.11020910724985021,0.25252199413489734,,,,,,,,,,,,,,,,,,113137.57692307692,64790.653846153844,44392.75,17417.636363636364,,349.5548489666137,86.20846153846153,49.36884615384615,33.82541666666666,13.273636363636363,2663.6232114467407,160.98887122416534,0.12269952305246422,25.285934065934065,143.701,23.199999999999992,3.895000000000001,2.2100000000000004,1981.1320000000003,,434.6570000000001,22.660000000000004,35.89999999999999,58.899999999999984,,1.8999999999999997,68.37,0.6299999999999999,131237.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,0.0,0.0,6903.0,2805.0,,88.0,0.0,0.0,5.26,2.14,671.0,0.0,0.0,0.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,54890.75,45789.5,14205.75,9775.0,,172.0,41.8275,34.8925,10.82,7.45,1311.0,35.0,0.027,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
50%,,,,2022-04-20 12:00:00,3069.0,0.0,0.0,13.0,0.0,0.0,23520.666,0.0,0.0,99.631,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,123756.5,75535.0,52880.5,14233.0,,251.0,94.3,57.555,40.295,10.85,1913.0,68.0,0.052,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
75%,,,,2023-06-12 18:00:00,5037.0,0.0,0.0,24.0,0.0,0.0,38603.32,0.0,0.0,183.935,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,159115.25,82467.5,64773.0,21096.5,,436.0,121.245,62.8375,49.355,16.075,3322.0,202.0,0.154,34.26,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
max,,,,2024-08-04 00:00:00,5085.0,1491.0,213.0,24.0,8.0,1.143,38971.19,11426.951,1632.422,183.935,61.312,8.759,2.47,,,,,,,,,,,,,,,,,,219980.0,100900.0,81474.0,37606.0,,1494.0,167.62,76.88,62.08,28.66,11384.0,1494.0,1.138,81.48,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
std,,,,,2277.996255718536,53.88385280365616,20.2004763652666,10.293055857967426,0.2868464415661243,0.10776371334104641,17458.451529417678,412.9632074011982,154.8154963152608,78.88551783893787,2.198391128162777,0.8258761600068184,0.43362775810949944,,,,,,,,,,,,,,,,,,65646.98429154113,29352.575231406605,26741.6024872661,11358.285145854785,,255.4467466587119,50.02275839593876,22.367572300439416,20.37622697914894,8.654140364851118,1946.4287834591341,226.21603071204385,0.1723598766701793,18.06252051711026,0.0,7.107550599052128e-15,8.88443824881516e-16,4.44221912440758e-16,2.274416191696681e-13,,1.1372080958483405e-13,3.553775299526064e-15,7.107550599052128e-15,1.4215101198104257e-14,,2.22110956220379e-16,0.0,1.110554781101895e-16,0.0,,,,
