,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,268.0,268.0,268.0,382.0,382.0,338.0,338.0,389,113.0,127.0,119.0,0.0,54.0,512.0,113.0,127.0,119.0,0.0,512.0,512.0,512.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LAO,Asia,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,121881.19952210275,130.86021505376345,131.25226902336732,381.31959378733575,0.4008363201911589,0.40204074295985626,16123.969666069293,17.311826164874553,17.36368244457759,50.44560095579451,0.05302807646356033,0.05318573996405033,1.0274313408723748,,,,,,,,,456798.3582089552,3844.167910447761,61.521208955223884,0.5177313432835822,2679.520942408377,0.3608560209424084,0.1787923076923077,26.86242603550296,,5032040.805309734,2765826.1181102362,2283610.100840336,,36696.166666666664,21629.234375,66.83132743362832,36.73314960629921,30.3290756302521,,2872.60546875,11429.03125,0.151830078125,46.310228937728944,29.714999999999993,24.4,4.028999999999998,2.3219999999999996,6397.36,22.699999999999992,368.11099999999993,4.0,7.299999999999998,51.2,49.83899999999999,1.5,67.91999999999999,0.6129999999999999,7529477.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,,,,,,,,,2340.0,438.0,0.315,0.059,97.0,0.013,0.0032,1.1,,40732.0,40732.0,30281.0,,709.0,1139.0,0.54,0.54,0.4,,151.0,419.0,0.006,0.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
25%,,,,2021-02-26 06:00:00,45.0,0.0,0.0,0.0,0.0,0.0,5.953,0.0,0.0,0.0,0.0,0.0,0.79,,,,,,,,,116133.0,1985.5,15.64025,0.2675,926.5,0.1245,0.072925,4.1,,1054356.0,713763.5,390300.0,,11757.0,6671.75,14.0,9.48,5.1850000000000005,,886.5,2316.0,0.031,29.63,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
50%,,,,2022-04-20 12:00:00,200190.0,0.0,1.286,671.0,0.0,0.0,26483.637,0.0,0.17,88.768,0.0,0.0,1.0,,,,,,,,,389925.0,3396.0,52.515,0.457,1797.0,0.242,0.13879999999999998,7.2,,3937503.0,2278765.0,1794698.0,,20630.0,18536.0,52.29,30.26,23.84,,2462.0,7644.5,0.1015,42.04,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
75%,,,,2023-06-12 18:00:00,218319.0,0.0,38.143,671.0,0.0,0.0,28881.969,0.0,5.046,88.768,0.0,0.0,1.225,,,,,,,,,807183.75,5489.75,108.71074999999999,0.73975,4764.75,0.6415,0.24482500000000001,13.7,,9950722.0,5251875.0,4400576.5,,34535.25,31913.0,132.16,69.75,58.445,,4238.5,18953.0,0.252,69.44,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
max,,,,2024-08-04 00:00:00,219060.0,15567.0,2223.857,671.0,58.0,8.286,28979.996,2059.398,294.2,88.768,7.673,1.096,2.19,,,,,,,,,1030237.0,11248.0,138.751,1.515,7189.0,0.968,0.9293,309.6,,11111066.0,5888649.0,5222417.0,,662440.0,146235.0,147.57,78.21,69.36,,19422.0,63954.0,0.849,96.3,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
