,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,26.0,14.0,41.0,41.0,0.0,0.0,48,428.0,404.0,405.0,144.0,387.0,677.0,428.0,404.0,405.0,144.0,677.0,652.0,652.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LBN,Asia,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,793294.733572282,740.6833930704898,742.9023582983823,7619.060334528076,6.539426523297491,6.559033553025764,138096.53818160095,128.93797072879332,129.32425763930496,1326.3240669056156,1.1383847072879332,1.1418094667465548,1.0380254154447701,,,,,,,,,4333816.0,16963.714285714286,774.9155,3.033285714285715,13818.170731707318,2.470731707317073,,,,2894881.7242990653,1579721.2202970297,1287584.7283950618,495743.55555555556,13268.684754521964,8592.150664697194,52.732406542056076,28.775767326732673,23.45451851851852,9.030277777777776,1565.1447562776957,4093.6380368098157,0.07453680981595091,52.053113553113555,594.5609999999999,31.100000000000005,8.513999999999996,5.43,13367.565000000002,,266.59099999999995,12.710000000000004,26.899999999999995,40.699999999999996,,2.899999999999999,78.93000000000004,0.7439999999999998,5489744.0,5482.849799416667,15.92,25.617500000000003,979.3822549583334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,,,,,,,,,4069394.0,11872.0,727.635,2.123,10779.0,1.927,,,,0.0,75341.0,11875.0,264971.0,3.0,48.0,0.0,1.37,0.22,4.83,9.0,48.0,0.001,0.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,107.800026,0.81,-11.13,19.036106
25%,,,,2021-02-26 06:00:00,353371.0,0.0,0.0,4297.0,0.0,0.0,61514.73,0.0,0.0,748.021,0.0,0.0,0.88,,,,,,,,,4189478.5,14352.0,749.1067499999999,2.5662499999999997,12853.0,2.298,,,,1060705.5,927824.5,451741.0,422675.5,2629.5,1119.0,19.325,16.905,8.23,7.7025,204.0,307.25,0.006,26.85,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,408.5250375,4.8825,3.715,72.1402975
50%,,,,2022-04-20 12:00:00,1095518.0,0.0,101.857,10359.0,0.0,1.286,190707.48,0.0,17.731,1803.292,0.0,0.224,1.04,,,,,,,,,4321025.0,16182.5,772.6285,2.8935,14113.0,2.523,,,,2959092.0,1693757.5,1411667.0,533833.0,9371.0,6667.0,53.905,30.854999999999997,25.71,9.719999999999999,1214.0,2409.0,0.044,52.78,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,4364.9,16.655,20.995,776.5555400000001
75%,,,,2023-06-12 18:00:00,1238364.0,0.0,990.143,10930.0,0.0,6.429,215574.08,0.0,172.364,1902.692,0.0,1.119,1.19,,,,,,,,,4475192.0,17430.75,800.19425,3.1167499999999997,14688.0,2.626,,,,4841656.5,2441767.75,2019153.0,565390.5,17498.5,13625.0,88.1925,44.48,36.78,10.3,2482.0,7140.5,0.13,75.93,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,10230.89925,25.97,44.6525,1829.3551499999999
max,,,,2024-08-04 00:00:00,1239904.0,57803.0,8257.571,10947.0,531.0,75.857,215842.16,10062.331,1437.476,1905.651,92.436,13.205,1.71,,,,,,,,,4731376.0,28229.0,846.002,5.048,16904.0,3.023,,,,5814699.0,2740227.0,2414223.0,660249.0,292132.0,56153.0,105.92,49.92,43.98,12.03,10229.0,22027.0,0.401,92.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,13168.599,29.04,75.4,2354.636
std,,,,,490994.35202579305,3980.6589208610826,1340.4735664504399,4275.466989304505,37.99551596730743,13.036082855838758,85472.16750414192,692.9520679329726,233.34931043653114,744.2721704204588,6.614248377169438,2.269316764751723,0.2339092003973483,,,,,,,,,176466.7620270741,4104.408032433336,31.55336966506113,0.7339427171707014,1340.7369783525594,0.23981065701822385,,,,1899327.4546880662,844199.4648644024,782057.7456245016,107525.58877707685,22945.09941794384,9124.856485426684,34.59778445280517,15.377819922329524,14.245600608983501,1.9588457941800432,1662.1610219946474,4551.744496448289,0.08292489260447074,26.620899586381256,1.1372080958483405e-13,3.553775299526064e-15,3.553775299526064e-15,0.0,1.819532953357345e-12,,5.686040479241703e-14,3.553775299526064e-15,3.553775299526064e-15,7.107550599052128e-15,,8.88443824881516e-16,2.8430202396208514e-14,2.22110956220379e-16,0.0,4997.191709522666,10.639891712427053,26.555990276493503,894.2334017789105
