,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,37.0,37.0,33.0,14.0,2.0,578.0,37.0,37.0,33.0,14.0,578.0,578.0,578.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LBR,Africa,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5459.489247311828,4.835624626419605,4.850127098321343,217.13799283154123,0.17562724014336917,0.17617435590173755,1016.0411266427717,0.8999318589360429,0.9026516786570742,40.410550179211484,0.03268279569892473,0.032802276812462554,0.5358680203045686,,,,,,,,,139824.0,,26.923,,,,,,,1463800.5405405406,1353192.972972973,1355189.7272727273,1935.642857142857,5044.5,7631.034602076124,27.605675675675673,25.51864864864865,25.556060606060605,0.03928571428571429,1439.0363321799307,6671.022491349481,0.12585640138408305,45.49672161172161,49.126999999999995,19.199999999999992,3.057,1.756,752.7880000000001,38.600000000000016,272.509,2.4200000000000004,1.5,18.099999999999998,1.1880000000000002,0.8,64.10000000000001,0.48000000000000015,5302690.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,139824.0,,26.923,,,,,,,36404.0,36404.0,140.0,1742.0,1847.0,114.0,0.69,0.69,0.0,0.03,21.0,0.0,0.0,0.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
25%,,,,2021-02-26 06:00:00,2004.0,0.0,0.0,91.0,0.0,0.0,372.955,0.0,0.0,16.936,0.0,0.0,0.26,,,,,,,,,139824.0,,26.923,,,,,,,68821.0,68134.0,242632.0,1912.0,3445.75,1269.75,1.3,1.28,4.58,0.04,239.5,48.0,0.001,38.8,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
50%,,,,2022-04-20 12:00:00,7434.0,0.0,0.571,294.0,0.0,0.0,1383.508,0.0,0.106,54.715,0.0,0.0,0.45,,,,,,,,,139824.0,,26.923,,,,,,,589628.0,506647.0,755263.0,1929.0,5044.5,4046.0,11.12,9.55,14.24,0.04,763.0,1782.0,0.034,42.37,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
75%,,,,2023-06-12 18:00:00,7930.0,0.0,3.286,294.0,0.0,0.0,1475.817,0.0,0.611,54.715,0.0,0.0,0.69,,,,,,,,,139824.0,,26.923,,,,,,,2921554.0,2645947.0,2949694.0,1987.0,6643.25,9271.0,55.1,49.9,55.63,0.04,1748.0,11320.75,0.213,55.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
max,,,,2024-08-04 00:00:00,8090.0,1142.0,163.143,294.0,39.0,5.571,1505.594,212.532,30.362,54.715,7.258,1.037,1.74,,,,,,,,,139824.0,,26.923,,,,,,,4460668.0,3903802.0,3730967.0,1987.0,8242.0,89696.0,84.12,73.62,70.36,0.04,16915.0,101042.0,1.905,87.96,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
