,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1021.0,1131.0,1131.0,1110.0,1110.0,148.0,148.0,162.0,162.0,847.0,844.0,847.0,844.0,842.0,842.0,847.0,840.0,849,726.0,726.0,75.0,654.0,648.0,817.0,726.0,726.0,75.0,654.0,817.0,817.0,817.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LUX,Europe,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,209975.1541218638,235.09080047789726,235.69750988615937,661.7921146953405,0.5973715651135006,0.5991689634511684,321399.06790501793,359.84240382317796,360.7710671060516,1012.9740131421743,0.9143691756272402,0.9171216297183942,1.077737512242899,9.814323607427056,15.15480017683466,53.108108108108105,82.00745135135135,5.452702702702703,8.448486486486487,36.51851851851852,56.56387037037037,2312094.2195985834,5094.644549763033,3616.484085005903,7.968837677725119,5100.820665083135,7.9784952494061745,0.08723730814639906,87.65869047619049,,943032.2493112948,386213.8002754821,18687.97333333333,251242.7385321101,1985.9351851851852,1682.9424724602204,145.61936639118457,59.637782369146,2.8851999999999998,38.79581039755352,2598.7392900856794,590.4394124847001,0.09111750305997551,37.819880952380956,231.4470000000001,39.699999999999996,14.312000000000003,9.842,94277.965,0.2,128.27500000000003,4.420000000000001,20.900000000000002,26.0,,4.509999999999999,82.25,0.9160000000000003,647601.0,-121.4669719043062,-2.3469856459330143,-2.20688995215311,-186.94618452440187
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.549,2.0,1.0,0.003,0.002,2.0,0.003,0.0,2.5,,452.0,452.0,447.0,1.0,1.0,10.0,0.07,0.07,0.07,0.0,15.0,0.0,0.0,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-479.3999,-33.05,-34.78,-732.16425
25%,,,,2021-02-26 06:00:00,46901.0,0.0,21.857,378.0,0.0,0.0,71789.15,0.0,33.456,578.587,0.0,0.0,0.87,1.0,1.544,18.0,27.795,1.0,1.549,14.0,21.692,807391.5,1371.0,1262.8890000000001,2.1445,2416.5,3.7795,0.012,11.2,,685184.75,389728.75,4243.0,587.5,218.5,230.0,105.80499999999999,60.18,0.655,0.09,355.0,3.0,0.0,24.67,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-160.19997,-2.64,-12.45,-251.90315
50%,,,,2022-04-20 12:00:00,252432.0,0.0,90.571,829.0,0.0,0.143,386385.75,0.0,138.633,1268.911,0.0,0.219,1.07,4.0,6.177,31.0,47.869,3.0,4.648,24.0,37.186,2624086.0,4449.0,4104.489,6.959,4954.5,7.749499999999999,0.024,41.7,,1230253.0,476022.0,11999.0,366870.0,724.5,711.0,189.97,73.50999999999999,1.85,56.655,1098.0,125.0,0.019,41.67,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-100.19999,-0.96,-4.24,-157.91776
75%,,,,2023-06-12 18:00:00,382745.0,0.0,251.429,1000.0,0.0,0.857,585849.75,0.0,384.85,1530.653,0.0,1.312,1.23,15.0,23.162,70.0,108.091,7.25,11.23325,50.0,77.472,3659132.5,8104.25,5723.467000000001,12.675999999999998,7533.25,11.7835,0.089,83.3,,1341419.25,481603.0,19019.0,429595.75,3065.75,2442.0,207.1375,74.37,2.935,66.33749999999999,3771.0,570.0,0.088,48.15,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-13.599998,-0.17,4.17,-21.272266
max,,,,2024-08-04 00:00:00,393542.0,18413.0,2630.429,1000.0,33.0,4.714,602376.2,28183.91,4026.273,1530.653,50.512,7.216,2.37,50.0,77.208,247.0,381.408,28.0,43.384,181.0,278.898,4299901.0,16526.0,6725.731,25.849,11889.0,18.596,0.405,1000.0,,1374547.0,481957.0,462702.0,459119.0,9893.0,7216.0,212.25,74.42,71.45,70.9,11143.0,5094.0,0.787,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,133.7,2.88,67.5,209.12517
std,,,,,162231.84918362208,1198.2949542948681,397.59218645673747,356.934977825997,2.7841911793094796,0.8958776240299754,248320.6424501053,1834.1736001406955,608.5755573688713,546.3435956670243,4.26162173794529,1.3713440251946813,0.2806303717391124,11.845428077284655,18.291302932607746,53.66288441871331,82.86412647264633,5.7903678633266225,8.971870627178959,34.558838515359724,53.47307809747926,1504916.0855542049,3985.965911887538,2353.9287479539607,6.2346956420839765,3057.158263282157,4.781879160680409,0.11715426627005485,171.98274872795605,,468894.102712564,153119.56900895113,52843.92575463562,194441.55446855348,2513.5054166569444,2046.5331135060392,72.40470774090771,23.64411902762654,8.160295662370164,30.02502033005215,3160.180243034668,1011.8992355009946,0.15627427936738938,18.895292031060766,8.529060718862553e-14,7.107550599052128e-15,3.553775299526064e-15,0.0,0.0,0.0,2.8430202396208514e-14,8.88443824881516e-16,3.553775299526064e-15,0.0,,8.88443824881516e-16,0.0,2.22110956220379e-16,0.0,161.32278210939404,4.579122985058707,15.699016394725808,247.01868109401462
