,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,204.0,277.0,204.0,773.0,773.0,772.0,730.0,780,65.0,68.0,56.0,34.0,1.0,809.0,65.0,68.0,56.0,34.0,809.0,809.0,809.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MDG,Africa,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,47302.12485065711,40.95997610513739,41.08270641102456,976.0274790919952,0.8530465949820788,0.8556315158777711,1554.0860274790919,1.3457198327359616,1.3497375674056324,32.06687574671445,0.028031660692951012,0.028109047333732776,0.6974899598393574,,,,,,,,,145929.26353790614,615.0784313725491,5.046729241877256,0.02125980392156863,577.993531694696,0.019966364812419146,0.11329391191709844,55.01342465753425,,1600777.6769230769,1369727.1911764706,1592007.2142857143,109735.20588235294,13544.0,3820.584672435105,5.405846153846154,4.626176470588236,5.376250000000001,0.37147058823529416,129.06922126081582,3348.911001236094,0.011355995055624228,37.70947802197802,43.95100000000001,19.599999999999998,2.929,1.686,1416.44,77.60000000000001,405.994,3.9399999999999995,,,50.53999999999999,0.2,67.03999999999999,0.5280000000000001,29611718.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,,,,,,,,,3065.0,7.0,0.106,0.0,106.0,0.004,0.0,1.8,,609.0,609.0,184632.0,26792.0,13544.0,0.0,0.0,0.0,0.62,0.09,0.0,0.0,0.0,0.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
25%,,,,2021-02-26 06:00:00,19831.0,0.0,0.571,297.0,0.0,0.0,651.537,0.0,0.019,9.758,0.0,0.0,0.51,,,,,,,,,64676.0,328.5,2.237,0.011,375.0,0.013,0.022125,5.525,,606819.0,517937.0,1051578.0,71692.0,13544.0,2206.0,2.05,1.75,3.55,0.2425,74.0,1504.0,0.005,8.33,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
50%,,,,2022-04-20 12:00:00,64121.0,0.0,4.571,1391.0,0.0,0.143,2106.661,0.0,0.15,45.701,0.0,0.005,0.7,,,,,,,,,154334.0,508.5,5.337,0.018,477.0,0.016,0.0853,10.9,,1776296.0,1417311.0,1606260.5,118256.5,13544.0,3291.0,6.0,4.79,5.42,0.4,111.0,2750.0,0.009,37.04,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
75%,,,,2023-06-12 18:00:00,68289.0,0.0,33.286,1425.0,0.0,0.571,2243.599,0.0,1.094,46.818,0.0,0.019,0.82,,,,,,,,,213591.0,763.0,7.387,0.026,618.0,0.021,0.173825,37.5,,2575889.0,2120751.0,2241032.5,144762.75,13544.0,5349.0,8.7,7.16,7.5675,0.4875,181.0,4999.0,0.017,58.33,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
max,,,,2024-08-04 00:00:00,68567.0,4142.0,591.714,1428.0,67.0,9.571,2252.732,136.083,19.44,46.916,2.201,0.314,1.55,,,,,,,,,451753.0,3284.0,15.623,0.114,1957.0,0.068,0.5468,858.1,,3092063.0,2710365.0,2628849.0,169187.0,13544.0,12101.0,10.44,9.15,8.88,0.57,409.0,14553.0,0.049,95.37,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
