,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1684,1684,1684,1684,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1029.0,1597.0,1597.0,1597.0,1597.0,0.0,0.0,1591.0,1591.0,878.0,878.0,878.0,878.0,871.0,871.0,871.0,866.0,878,1257.0,1236.0,1257.0,1068.0,1249.0,1267.0,1257.0,1236.0,1257.0,1068.0,1267.0,1267.0,1267.0,1092.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,0.0,1684.0,1684.0,1684.0,1684.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MYS,Asia,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1684,1684,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-25 12:00:00.000000256,3000352.8004778973,3171.6905615292712,3180.6351282204914,23137.62962962963,22.31242532855436,22.379297783103656,86476.72798028674,91.41505615292712,91.6728645895746,666.8770794504183,0.6430943847072879,0.6450233672857999,1.0442079689018462,203.8703819661866,6.007078897933624,2026.485911083281,59.71102692548529,,,2735.051539912005,80.58912947831553,19369939.835990887,69074.66514806378,576.9349123006833,2.0573838268792715,69521.41791044777,2.0706946039035596,0.04821102181400689,102.96893764434179,,59936149.50039777,24212696.787216827,23239628.280031823,14826329.823970037,58170.72858286629,57354.085240726126,176.60378679395387,71.34384304207119,68.47660302307081,43.68620786516854,1689.9636937647988,22216.967640094714,0.06541673243883188,49.376474358974356,96.25399999999999,29.899999999999995,6.293000000000001,3.4069999999999996,26808.163999999993,0.1,260.942,16.740000000000002,1.0,42.39999999999999,,1.8999999999999997,76.15999999999998,0.8100000000000004,33938216.0,19199.0006625,2.3993750000000005,5.772291666666668,561.3443292166667
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,6.0,0.177,,,22.0,0.648,2.0,2.0,0.0,0.0,37.0,0.001,0.0,6.4,,69.0,66.0,3.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,-14491.601,-7.55,-12.53,-431.63327
25%,,,,2021-02-28 18:00:00,283569.0,0.0,136.857,1051.0,0.0,0.143,8173.078,0.0,3.945,30.292,0.0,0.004,0.88,7.0,0.206,133.0,3.919,,,241.0,7.101,1315772.25,11350.75,39.19025,0.33825000000000005,10968.0,0.327,0.01805,15.7,,58450417.0,26031997.0,25676379.0,16200924.25,93.0,98.5,172.23,76.7075,75.66,47.7375,3.0,9.0,0.0,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,-5925.325,-4.8,-3.555,-178.4737125
50%,,,,2022-04-25 12:00:00,4389025.0,0.0,970.857,35421.0,0.0,2.857,126501.3,0.0,27.982,1020.911,0.0,0.082,1.01,43.0,1.267,716.0,21.097,,,1192.0,35.123,10607352.0,58501.0,315.9405,1.7425000000000002,57399.0,1.71,0.0392,25.35,,72241634.0,28114886.0,27529872.0,17113707.0,2439.0,2524.0,212.86,82.84,81.12,50.425,74.0,146.0,0.0,54.62,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,26573.299,6.1899999999999995,1.87,787.191865
75%,,,,2023-06-20 06:00:00,5108408.0,0.0,3292.143,37126.0,0.0,8.857,147235.48,0.0,94.887,1070.052,0.0,0.255,1.16,201.0,5.923,2578.0,75.962,,,3407.5,100.40299999999999,35895077.0,108640.5,1069.13725,3.2355,118476.0,3.5285,0.0635,51.699999999999996,,72639700.0,28137040.0,27550101.0,17174207.75,48945.0,47970.0,214.04,82.91,81.18,50.6,1413.5,8051.5,0.0235,73.15,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,43457.577750000004,7.2725,8.195,1266.669875
max,,,,2024-08-14 00:00:00,5309410.0,202971.0,28995.857,37351.0,2732.0,390.286,153028.81,5850.068,835.724,1076.538,78.742,11.249,2.54,1593.0,46.938,14753.0,434.702,,,16562.0,488.004,60647556.0,297765.0,1806.391,8.869,260982.0,7.773,0.1575,1602.5,,72657288.0,28138569.0,27551144.0,17185825.0,583126.0,550642.0,214.09,82.91,81.18,50.64,16225.0,347102.0,1.023,91.67,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,45829.504,8.13,73.96,1335.805
