,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,702.0,702.0,702.0,758.0,758.0,735.0,719.0,765,366.0,366.0,307.0,112.0,279.0,842.0,366.0,366.0,307.0,112.0,842.0,842.0,842.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MDV,Asia,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,116447.52807646355,111.59294680215183,111.927448441247,213.7431302270012,0.18876941457586618,0.18939844218094667,222178.92187216246,212.91650627615064,213.55474100719425,407.81641397849467,0.3601702508960573,0.36130736968244453,0.9672154471544716,,,,,,,,,813427.1424501424,3149.733618233618,1559.9092336182334,6.040252136752137,2916.4076517150397,5.592778364116095,0.0676556462585034,32.59179415855355,,585666.5928961749,322514.3989071038,281009.8403908795,89675.73214285714,2769.0752688172042,1133.482185273159,111.81144808743171,61.57213114754098,53.64843648208469,17.120446428571427,2164.0308788598577,477.33610451306413,0.09109857482185273,,1454.4330000000002,30.600000000000005,4.119999999999999,2.875,15183.616000000002,,164.90499999999997,9.189999999999998,2.1000000000000005,55.0,95.80299999999998,,78.91999999999997,0.7400000000000001,523798.0,212.8999834166667,14.470833333333333,27.469583333333333,409.1436509166667
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,,,,,,,,,33.0,22.0,0.063,0.042,9.0,0.017,0.0,2.7,,880.0,880.0,1721.0,5390.0,134.0,1.0,0.17,0.17,0.33,1.03,2.0,0.0,0.0,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,4.200001,1.03,-6.56,8.164044
25%,,,,2021-02-26 06:00:00,18769.0,0.0,0.0,60.0,0.0,0.0,35810.773,0.0,0.0,114.478,0.0,0.0,0.83,,,,,,,,,151557.0,1386.25,290.64050000000003,2.6585,1128.25,2.1632499999999997,0.0228,12.9,,432653.0,300989.25,186674.0,24869.75,880.0,5.0,82.595,57.465,35.64,4.745,10.0,1.0,0.0,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,45.525,10.2025,4.484999999999999,88.4923965
50%,,,,2022-04-20 12:00:00,178918.0,0.0,14.429,298.0,0.0,0.0,341371.0,0.0,27.529,568.576,0.0,0.0,0.97,,,,,,,,,633170.5,3287.5,1214.231,6.3045,3258.0,6.2475000000000005,0.0356,27.5,,652288.0,355537.5,330306.0,96531.0,1823.0,253.5,124.535,67.875,63.06,18.43,484.0,8.0,0.002,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,158.79998,13.620000000000001,24.855,306.195645
75%,,,,2023-06-12 18:00:00,186683.0,0.0,110.143,316.0,0.0,0.143,356186.4,0.0,210.15,602.92,0.0,0.273,1.11,,,,,,,,,1476343.5,4505.25,2831.1842500000002,8.639750000000001,4376.5,8.393,0.07655,42.150000000000006,,783111.25,396279.5,368100.0,157471.25,4221.0,1585.25,149.5075,75.6575,70.28,30.0625,3026.5,157.25,0.03,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,389.175,22.725,36.105000000000004,746.3051350000001
max,,,,2024-08-04 00:00:00,186694.0,18665.0,2666.429,316.0,32.0,4.571,356207.4,35612.344,5087.478,602.92,61.055,8.722,1.78,,,,,,,,,2211113.0,8553.0,4240.251,16.402,7429.0,14.247,0.3653,622.4,,951764.0,399308.0,385167.0,167289.0,11474.0,7843.0,181.7,76.23,73.53,31.94,14973.0,7843.0,1.497,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,578.3999,26.18,108.68,1109.1741
std,,,,,78529.59551499334,875.0129595064805,314.57344081726416,125.28068079903215,1.4682022921613107,0.5273524320144248,149832.47118179713,1669.5024680943754,600.1980813274126,239.0323061198089,2.801294377883048,1.006154842922928,0.26717003460502015,,,,,,,,,713268.5180267764,1877.2851581934697,1367.835036698492,3.6000603498610473,1924.5238272720705,3.6906607379504335,0.0758581022784751,36.98487347170483,,264758.0395669975,99148.2623521532,107065.83911779388,62019.747509441004,2401.86306690368,1693.6608121961906,50.545649551491856,18.928546415886498,20.440179453945955,11.840948296300546,3233.3566632477014,1253.5081140592563,0.23931695513649334,,2.274416191696681e-13,3.553775299526064e-15,8.88443824881516e-16,0.0,1.819532953357345e-12,,2.8430202396208514e-14,1.776887649763032e-15,4.44221912440758e-16,0.0,1.4215101198104257e-14,,2.8430202396208514e-14,1.110554781101895e-16,0.0,190.51577872691422,7.723641243479077,30.60936010284758,364.89988260351964
