,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MYT,Africa,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,27330.357825567502,25.643753735803944,25.720635491606718,144.88709677419354,0.11170848267622462,0.11207549430796886,89526.13204360813,84.00131440526002,84.25312050359713,474.60682437276,0.365926523297491,0.3670365488316357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.099999999999998,,2.4110000000000005,,,,,,,,,79.46000000000001,,326113.0,343.7292033351196,21.33507177033493,18.27358851674641,1054.527024160287
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.411,,,,,,,,,79.46,,326113.0,-8.6,-10.94,-55.06,-28.14219
25%,,,,2021-02-26 06:00:00,15792.0,0.0,0.0,92.0,0.0,0.0,51729.9,0.0,0.0,301.365,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.411,,,,,,,,,79.46,,326113.0,142.40001,17.78,-10.71,465.98233
50%,,,,2022-04-20 12:00:00,37038.0,0.0,3.429,187.0,0.0,0.0,121325.48,0.0,11.231,612.556,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.411,,,,,,,,,79.46,,326113.0,423.60007,21.75,10.47,1298.9365
75%,,,,2023-06-12 18:00:00,42027.0,0.0,16.857,187.0,0.0,0.0,137667.97,0.0,55.219,612.556,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.411,,,,,,,,,79.46,,326113.0,493.00003,25.57,37.5,1474.352
max,,,,2024-08-04 00:00:00,42027.0,9086.0,1298.0,187.0,23.0,3.286,137667.97,29763.035,4251.862,612.556,75.341,10.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.411,,,,,,,,,79.46,,326113.0,538.4,31.69,219.44,1602.3239
std,,,,,16164.314703032927,268.6964297084242,98.87991569427173,67.71512910478292,1.0390206760098948,0.3793831422687626,52949.49305263215,880.1696311636445,323.901206100137,221.8145041157961,3.403522635084538,1.2426713100713371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.553775299526064e-15,,4.44221912440758e-16,,,,,,,,,1.4215101198104257e-14,,0.0,171.02525820486503,6.430478517277731,43.2118172388048,507.77247111763495
