,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1678,1678,1678,1678,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,893.0,893.0,894.0,843.0,900,414.0,405.0,381.0,23.0,339.0,652.0,414.0,405.0,381.0,23.0,652.0,652.0,652.0,1096.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,1678.0,207.0,207.0,207.0,207.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MEX,North America,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1678,1678,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-18 12:00:00,4718604.345878136,4551.647550776583,4565.108796285201,251657.1714456392,199.85125448028674,200.44994487717196,36688.36137992831,35.39023178016726,35.494898741761524,1956.6992234169654,1.5538954599761052,1.558550629119233,1.0249901960784313,,,,,,,,,6365760.998888889,17299.404444444444,50.24073666666667,0.13652999999999998,17396.986562150058,0.13728331466965285,0.30675727069351233,5.139976275207592,,80508597.37922706,45817172.58765432,36552406.1496063,52594355.73913044,444550.7168141593,339316.7239263804,63.14188405797102,35.93402469135802,28.667480314960628,41.25086956521739,2661.1886503067485,149016.0490797546,0.11689110429447853,43.99120437956205,66.44399999999999,29.300000000000004,6.857000000000001,4.320999999999998,17336.469000000005,2.5,152.78299999999993,13.06,6.900000000000001,21.4,87.84700000000001,1.3799999999999997,75.04999999999998,0.7790000000000001,127504120.0,498036.6973613527,31.518454106280192,21.124492753623187,3905.6001786770535
min,,,,2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,,,,,,,,,25.0,25.0,0.0,0.0,115.0,0.001,0.0,1.4,,2924.0,2924.0,1958.0,43248573.0,175.0,0.0,0.0,0.0,0.0,33.92,0.0,124.0,0.0,0.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,-6101.9995,-2.8,-12.19,-48.429222
25%,,,,2021-02-23 06:00:00,2094677.0,0.0,37.857,206535.0,0.0,1.571,16286.652,0.0,0.294,1605.863,0.0,0.012,0.9,,,,,,,,,1175520.0,5595.75,9.2775,0.044,8275.0,0.065,0.175,2.3,,13560826.25,11807897.0,8418291.0,50599060.0,145275.5,55166.5,10.6375,9.26,6.6,39.685,432.5,24424.75,0.019,25.67,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,316005.5,24.39,-4.285,2500.8347000000003
50%,,,,2022-04-18 12:00:00,5768715.0,0.0,2310.714,325843.0,0.0,24.286,44853.242,0.0,17.966,2533.513,0.0,0.189,1.0,,,,,,,,,5759946.0,14098.0,45.4595,0.111,13695.0,0.108,0.3205,2.9,,70314308.5,51404453.0,29239686.0,53110007.0,355954.0,319658.0,55.144999999999996,40.32,22.93,41.65,2507.0,95492.5,0.075,39.099999999999994,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,646184.06,34.26,4.07,5071.0063
75%,,,,2023-06-11 18:00:00,7608416.0,0.0,5553.286,334126.0,0.0,348.857,59157.39,0.0,43.178,2597.916,0.0,2.712,1.12,,,,,,,,,11137911.0,22552.0,87.904,0.178,22293.0,0.176,0.427,5.3,,137084420.0,81770394.0,66459570.0,56849390.5,591139.0,523069.75,107.5125,64.13,52.12,44.59,4102.25,222746.25,0.1745,70.83,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,686472.97,42.015,40.795,5351.5753
max,,,,2024-08-04 00:00:00,7619458.0,406815.0,58116.429,334551.0,9877.0,1411.0,59243.242,3163.091,451.87,2601.22,76.796,10.971,1.87,,,,,,,,,15569464.0,118363.0,122.879,0.934,93685.0,0.739,0.69,333.3,,223158993.0,97179493.0,81849962.0,57026630.0,7246123.0,1648223.0,175.02,76.22,64.19,44.73,12927.0,762995.0,0.598,82.41,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,700288.1,51.44,169.42,5492.2783
std,,,,,2904367.3187191337,23312.06544555307,7745.085290749641,114787.70975108555,919.8786907607436,294.5620235902668,22582.202334252026,181.25729113445317,60.2200133276487,892.503987851734,7.152282356129159,2.290281285407989,0.2352337903358302,,,,,,,,,5377296.262151564,17465.109814064523,42.43945789114292,0.13783793820283624,15060.634108527447,0.11886360896081268,0.15852978753566654,15.63708450689965,,68677343.32274497,32935552.618657652,29991921.934587017,5012105.557679229,616502.0546896391,290182.49049209367,53.86246246043059,25.830783804021163,23.522420457104232,3.931661588419049,2275.8641166408047,155685.41405723497,0.12208000995296105,24.206778465179962,1.4215091070852882e-14,3.5537727677132205e-15,8.884431919283051e-16,1.7768863838566102e-15,3.639063314138338e-12,0.0,5.686036428341153e-14,0.0,8.884431919283051e-16,0.0,1.4215091070852882e-14,2.221107979820763e-16,1.4215091070852882e-14,1.1105539899103814e-16,0.0,243797.45512330835,13.676982276823841,36.088508197097006,1903.5677913374986
