,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,303.0,359.0,303.0,541.0,541.0,534.0,534.0,548,305.0,319.0,274.0,86.0,225.0,450.0,305.0,319.0,274.0,86.0,450.0,440.0,440.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MNG,Asia,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,600404.0854241338,604.2347670250896,606.0449556620731,1350.373357228196,1.2759856630824373,1.279821449970042,177318.79089784945,178.45011827956986,178.9847321749551,398.8090119474314,0.3768381123058543,0.377958058717795,0.8896774193548385,,,,,,,,,3090052.6044568247,18119.44884488449,923.0148802228413,5.412356435643565,13510.839186691312,4.035776340110906,0.18180655430711612,194.25992509363297,,3865411.1639344264,1877196.012539185,1880549.0,991639.8023255814,19623.4,12212.91111111111,113.7429180327869,55.238181818181815,55.33686131386862,29.18,3593.76,5169.922727272728,0.15211590909090905,43.11943223443223,1.9800000000000002,28.600000000000005,4.030999999999999,2.4209999999999994,11840.846000000001,0.5,460.0429999999999,4.82,5.5,46.5,71.18000000000004,7.0,69.87,0.7369999999999999,3398373.0,-301.096063425,-2.99875,0.07208333333333261,-91.98821417083332
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,95082.0,644.0,28.401,0.192,487.0,0.145,0.0002,1.0,,0.0,3112.0,21606.0,824063.0,93.0,143.0,0.0,0.09,0.64,24.25,42.0,0.0,0.0,0.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,-2233.5002,-9.92,-23.69,-667.1582
25%,,,,2021-02-26 06:00:00,2693.0,0.0,0.857,2.0,0.0,0.0,795.33,0.0,0.253,0.591,0.0,0.0,0.62,,,,,,,,,1219277.5,7834.5,364.2045,2.34,6932.0,2.071,0.01055,4.3,,3508471.0,1863386.0,1828334.75,958103.75,940.0,515.5,103.24,54.83,53.8025,28.197499999999998,152.0,106.25,0.003,11.11,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,-972.8751,-8.0825,-8.02,-295.31715
50%,,,,2022-04-20 12:00:00,920206.0,0.0,8.143,2108.0,0.0,0.0,271766.66,0.0,2.405,622.561,0.0,0.0,0.95,,,,,,,,,2827220.0,10395.0,844.505,3.105,8813.0,2.632,0.10305,9.7,,4364524.0,2245323.0,2131126.0,1013277.0,4664.0,2566.5,128.43,66.07,62.71,29.82,755.0,227.0,0.007,46.3,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,-17.8002965,-0.039999999999999994,-3.385,-5.24384585
75%,,,,2023-06-12 18:00:00,1010403.0,0.0,341.143,2136.0,0.0,0.143,298404.75,0.0,100.751,630.83,0.0,0.042,1.17,,,,,,,,,4213551.5,14217.0,1258.6100000000001,4.2465,12685.0,3.789,0.2348,94.65,,5346343.0,2265649.5,2166060.0,1029969.5,18294.0,11188.75,157.32,66.67,63.7375,30.307499999999997,3292.25,3559.75,0.105,63.89,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,539.4997,1.2425,4.0525,158.752355
max,,,,2024-08-04 00:00:00,1011489.0,53797.0,7685.286,2136.0,122.0,17.429,298725.5,15887.998,2269.714,630.83,36.031,5.147,1.5,,,,,,,,,7408778.0,1777881.0,2213.041,531.062,260700.0,77.872,0.9912,4727.2,,5492919.0,2272965.0,2175617.0,1044337.0,827202.0,125462.0,161.63,66.88,64.02,30.73,36918.0,92781.0,2.73,96.3,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,723.7997,2.06,54.44,216.20276
std,,,,,454391.5276376218,4135.2291629325755,1461.1745559777512,967.879367280104,9.00695403200449,3.1966433184312324,134196.54897332093,1221.2672282817805,431.5322396216015,285.84612165055825,2.6600503767131523,0.9440856078399468,0.3347303018849653,,,,,,,,,2163199.28428824,101769.01733869026,646.1589335036332,30.398918023154916,28935.3824016168,8.643131551822282,0.21848808111480733,487.94152523588866,,1623063.1913378101,680078.9806920458,506601.0119188848,51030.04045826566,61062.18463458554,24172.467703075406,47.75983984805999,20.01187980080349,14.907235932689094,1.5018404395548661,7112.947615575091,13146.222435958589,0.38683142216842753,27.93153824994671,2.22110956220379e-16,3.553775299526064e-15,8.88443824881516e-16,4.44221912440758e-16,1.819532953357345e-12,0.0,1.1372080958483405e-13,0.0,0.0,0.0,2.8430202396208514e-14,0.0,0.0,1.110554781101895e-16,0.0,942.9749303509716,4.651787862655491,14.9863924034273,281.31328228585414
