,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,485.0,485.0,472.0,214.0,430.0,552.0,485.0,485.0,472.0,214.0,552.0,552.0,552.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,204.0,204.0,204.0,204.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MNE,Europe,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,158175.53823178017,150.10752688172042,150.55722049131217,1814.1965352449224,1.5854241338112305,1.5901953265428401,257342.45251135007,244.21626583034646,244.94788795686037,2951.5926792114697,2.579397849462365,2.587106051527861,0.9637239324726912,,,,,,,,,,,,,,,,,,463948.79793814436,219716.85773195876,207740.4788135593,95322.35981308411,1415.3069767441862,1231.2536231884058,73.98546391752576,35.037793814432995,33.12819915254237,15.20140186915888,1963.4601449275362,531.5,0.08475362318840579,,46.279999999999994,39.100000000000016,14.762,9.394999999999998,16409.288,1.0,387.30500000000006,10.079999999999998,44.0,47.899999999999984,,3.860999999999999,76.88,0.8290000000000001,627082.0,2051.5716454460785,11.165784313725489,11.08970588235294,3271.9186351519606
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,,,,,,,,,,0.0,0.0,332.0,68983.0,1.0,29.0,0.0,0.0,0.05,11.0,46.0,7.0,0.001,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,-279.59998,-44.23,-53.69,-444.4741
25%,,,,2021-02-26 06:00:00,70720.0,0.0,0.0,839.0,0.0,0.0,115057.35,0.0,0.0,1365.004,0.0,0.0,0.77,,,,,,,,,,,,,,,,,,303963.0,159478.0,148856.0,94000.25,138.0,127.75,48.47,25.43,23.7375,14.9875,203.75,32.0,0.005,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,543.5500549999999,8.2425,-8.115,864.069875
50%,,,,2022-04-20 12:00:00,205962.0,0.0,41.286,2543.0,0.0,0.143,335088.25,0.0,67.169,4137.314,0.0,0.232,0.94,,,,,,,,,,,,,,,,,,522754.0,270606.0,255347.0,98336.0,735.0,760.5,83.36,43.15,40.72,15.68,1212.5,220.5,0.035,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,2919.1503000000002,14.795,3.9800000000000004,4654.4838
75%,,,,2023-06-12 18:00:00,251280.0,0.0,182.0,2654.0,0.0,2.286,408818.03,0.0,296.103,4317.904,0.0,3.719,1.09,,,,,,,,,,,,,,,,,,669348.0,289976.0,282033.25,99743.75,1848.0,1669.0,106.74,46.24,44.9725,15.91,2661.5,740.75,0.11825,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,3284.950375,19.119999999999997,27.1875,5243.454
max,,,,2024-08-04 00:00:00,251280.0,17071.0,2438.714,2654.0,70.0,10.0,408818.03,27773.53,3967.647,4317.904,113.886,16.269,2.38,,,,,,,,,,,,,,,,,,679171.0,292783.0,284869.0,101519.0,69811.0,11277.0,108.31,46.69,45.43,16.19,17983.0,6875.0,1.096,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,3504.8,23.79,86.05,5589.062
