,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.0,52.0,50.0,18.0,0.0,676.0,52.0,52.0,50.0,18.0,676.0,676.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MSR,North America,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,675.0418160095579,0.8381123058542413,0.8406417016177353,4.328554360812426,0.0047789725209080045,0.0047938885560215696,150813.6284976105,187.24582915173238,187.8067705212702,967.0586893667862,1.0676887694145758,1.0708867585380466,,,,,,,,,,,,,,,,,,,3292.653846153846,1637.1346153846155,1472.36,512.9444444444445,,6.989644970414201,74.61250000000001,37.09865384615385,33.3644,11.626666666666667,1583.9467455621302,3.2662721893491122,0.0740473372781065,,,,,,,,,,,,,,74.15999999999998,,4413.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,40.0,510.0,,0.0,0.0,0.0,0.91,11.56,0.0,0.0,0.0,,,,,,,,,,,,,,74.16,,4413.0,,,,
25%,,,,2021-02-26 06:00:00,20.0,0.0,0.0,1.0,0.0,0.0,4468.276,0.0,0.0,223.414,0.0,0.0,,,,,,,,,,,,,,,,,,,2684.0,1430.75,1279.0,510.0,,1.0,60.82,32.4225,28.98,11.56,227.0,0.0,0.0,,,,,,,,,,,,,,74.16,,4413.0,,,,
50%,,,,2022-04-20 12:00:00,176.0,0.0,0.0,2.0,0.0,0.0,39320.82,0.0,0.0,446.828,0.0,0.0,,,,,,,,,,,,,,,,,,,3269.5,1681.5,1502.5,510.0,,2.0,74.09,38.105000000000004,34.05,11.56,453.0,1.0,0.023,,,,,,,,,,,,,,74.16,,4413.0,,,,
75%,,,,2023-06-12 18:00:00,1403.0,0.0,0.0,8.0,0.0,0.0,313449.5,0.0,0.0,1787.31,0.0,0.0,,,,,,,,,,,,,,,,,,,4241.5,1902.5,1829.0,510.0,,6.0,96.11250000000001,43.1125,41.45,11.56,1360.0,2.0,0.045,,,,,,,,,,,,,,74.16,,4413.0,,,,
max,,,,2024-08-04 00:00:00,1403.0,295.0,42.143,8.0,4.0,0.571,313449.5,65907.06,9415.294,1787.31,893.655,127.665,,,,,,,,,,,,,,,,,,,4619.0,2104.0,1952.0,563.0,,53.0,104.67,47.68,44.23,12.76,12010.0,43.0,0.974,,,,,,,,,,,,,,74.16,,4413.0,,,,
std,,,,,660.7230905867273,10.818094039988347,4.020261266798451,3.508787968444857,0.11457389605317514,0.04312986564261108,147614.62786635148,2416.9111332415987,898.1814249616577,783.9113652724523,25.597391569877175,9.638485040018741,,,,,,,,,,,,,,,,,,,1144.370173289364,412.37447425074055,473.56911268556775,12.492219800962339,,10.532132668193746,25.932313544771006,9.344794299784187,10.731016111045133,0.28284271247461884,2386.556388539412,7.795542031463991,0.17658721267914132,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
