,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,558.0,616.0,558.0,810.0,810.0,809.0,809.0,817,52.0,61.0,61.0,33.0,1.0,847.0,52.0,61.0,61.0,33.0,847.0,847.0,847.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MOZ,Africa,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,152985.8201911589,139.6911589008363,140.1096638705812,1527.9599761051375,1.3452807646356033,1.349351707609347,4684.734651135006,4.277623655913978,4.290421210305572,46.789248506571084,0.04119653524492234,0.04126602756141402,0.9401138716356108,,,,,,,,,433800.9756493507,1691.847670250896,13.523720779220781,0.05272759856630824,1652.762962962963,0.051520987654320984,0.1002829419035847,38.23658838071693,,10793665.51923077,8034625.606557377,7628866.180327869,686823.6060606061,295812.0,41291.11688311688,32.73846153846154,24.369836065573768,23.13918032786885,2.083030303030303,1252.216056670602,27028.136953955134,0.08193270365997637,43.99935897435897,37.728,17.699999999999996,3.1580000000000013,1.8700000000000006,1136.1029999999998,62.899999999999984,329.942,3.2999999999999994,5.1000000000000005,29.100000000000005,12.227000000000002,0.7,60.850000000000016,0.4560000000000002,32969520.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,205.0,4.0,0.006,0.0,20.0,0.001,0.0027,1.6,,0.0,0.0,59012.0,104397.0,295812.0,0.0,0.0,0.0,0.18,0.32,0.0,0.0,0.0,0.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
25%,,,,2021-02-26 06:00:00,54968.0,0.0,0.571,587.0,0.0,0.0,1683.231,0.0,0.017,17.975,0.0,0.0,0.6924999999999999,,,,,,,,,95964.25,839.5,2.9917499999999997,0.026,888.25,0.028,0.0249,7.7,,1218438.5,1643520.0,1773333.0,340293.0,295812.0,1300.0,3.6925,4.98,5.38,1.03,39.0,900.5,0.003,28.7,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
50%,,,,2022-04-20 12:00:00,225323.0,0.0,9.714,2200.0,0.0,0.0,6899.845,0.0,0.297,67.368,0.0,0.0,0.92,,,,,,,,,355010.0,1376.0,11.067499999999999,0.043,1305.0,0.041,0.0602,16.6,,8175342.0,6801754.0,5404760.0,594517.0,295812.0,1755.0,24.799999999999997,20.63,16.39,1.8,53.0,1541.0,0.005,48.15,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
75%,,,,2023-06-12 18:00:00,233417.0,0.0,78.143,2243.0,0.0,0.857,7147.7,0.0,2.393,68.685,0.0,0.026,1.18,,,,,,,,,652395.75,2066.0,20.33875,0.064,2047.5,0.064,0.1302,40.2,,17540371.75,13435258.0,12861896.0,786088.0,295812.0,42126.5,53.2025,40.75,39.01,2.38,1277.5,46254.5,0.1405,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
max,,,,2024-08-04 00:00:00,233843.0,26860.0,3837.143,2252.0,177.0,25.286,7160.744,822.507,117.501,68.961,5.42,0.774,2.62,,,,,,,,,1341769.0,7384.0,41.83,0.23,5848.0,0.182,0.6374,376.5,,34950858.0,22869646.0,21329745.0,2323562.0,295812.0,588728.0,106.01,69.37,64.7,7.05,17857.0,715871.0,2.171,80.56,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
