,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,720.0,769.0,720.0,871.0,871.0,769.0,737.0,878,295.0,298.0,272.0,142.0,195.0,1031.0,295.0,298.0,272.0,142.0,1031.0,1025.0,1025.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NPL,Asia,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,696585.9318996415,599.4324970131422,601.2282971839425,8528.060334528076,7.1869772998805255,7.208515278609946,23441.89047013142,20.17243309438471,20.232872977831036,286.9910268817204,0.24186021505376343,0.24258418214499702,1.0120721649484536,,,,,,,,,2729420.2977893366,8892.920833333334,90.87467880364109,0.2960875,7992.0264064293915,0.2660631458094145,0.11207282184655397,37.891587516960655,,25814298.105084747,13692757.953020135,12393370.011029411,4511653.147887324,80764.4564102564,60797.959262851604,84.50515254237287,44.82473154362416,40.570698529411764,14.769577464788734,1990.3326867119301,27136.799024390242,0.08881560975609755,51.373910256410255,204.43,25.0,5.8089999999999975,3.212000000000001,2442.8039999999996,15.0,260.797,7.260000000000001,9.5,37.800000000000004,47.782,0.2999999999999999,70.77999999999999,0.6020000000000002,30547586.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,,,,,,,,,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.2,,0.0,113175.0,362001.0,877490.0,1223.0,283.0,0.0,0.37,1.19,2.87,9.0,0.0,0.0,0.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
25%,,,,2021-02-26 06:00:00,273431.0,0.0,0.429,2994.0,0.0,0.0,9201.649,0.0,0.014,100.756,0.0,0.0,0.77,,,,,,,,,693472.0,4123.0,23.089,0.137,3503.5,0.1165,0.029,5.0,,6020610.5,4265308.0,3843954.0,2280786.5,26420.5,7346.0,19.71,13.965,12.5825,7.470000000000001,240.5,782.0,0.003,33.33,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
50%,,,,2022-04-20 12:00:00,978665.0,0.0,25.286,11951.0,0.0,0.0,32934.57,0.0,0.851,402.182,0.0,0.0,0.92,,,,,,,,,2215411.0,8994.0,73.761,0.2995,7335.0,0.244,0.072,12.8,,18317508.0,13407858.0,17454908.5,3744538.0,70026.0,27556.0,59.96,43.894999999999996,57.14,12.255,902.0,7235.0,0.024,36.349999999999994,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
75%,,,,2023-06-12 18:00:00,1003353.0,0.0,424.857,12031.0,0.0,4.143,33765.383,0.0,14.298,404.874,0.0,0.139,1.18,,,,,,,,,4703105.0,12619.25,156.588,0.42,11875.5,0.3955,0.19,31.2,,42405317.5,22344838.25,19767025.75,6270829.0,113027.0,97314.0,138.82,73.15,64.7075,20.5275,3185.5,38574.0,0.126,64.81,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
max,,,,2024-08-04 00:00:00,1003450.0,60353.0,8621.857,12031.0,1345.0,192.143,33768.65,2031.032,290.147,404.874,45.263,6.466,2.63,,,,,,,,,6969050.0,78160.0,232.031,2.602,25265.0,0.841,0.463,1000.0,,62627629.0,27883196.0,24471043.0,10273390.0,312874.0,567406.0,205.02,91.28,80.11,33.63,18574.0,447322.0,1.464,97.22,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
std,,,,,394419.0813433366,3986.89701857769,1402.6384234659924,4908.800408392652,60.40150813811456,21.86703479352396,13273.206648380921,134.16924032482967,47.2023698829094,165.193707035752,2.0326642493442093,0.7358686841259271,0.39770099765795885,,,,,,,,,2164933.9907162315,6151.12892410912,72.08040242853795,0.2047973573134842,5484.351870087666,0.18260727134551197,0.10924361109499121,88.96510176079094,,20120117.64331252,9633771.756407626,8589224.566898586,2733896.707852697,65604.61751964464,76127.38829105959,65.86486158588927,31.536692510579055,28.117581528701418,8.949304808631029,2492.053153777208,46392.22362392289,0.15187282068345068,24.641702042735893,0.0,0.0,2.665331474644548e-15,8.88443824881516e-16,4.548832383393362e-13,0.0,0.0,8.88443824881516e-16,0.0,7.107550599052128e-15,0.0,1.110554781101895e-16,1.4215101198104257e-14,2.22110956220379e-16,0.0,,,,
