,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1033.0,1007.0,1007.0,1007.0,1007.0,1001.0,1001.0,1001.0,1001.0,750.0,750.0,750.0,750.0,743.0,743.0,744.0,744.0,750,143.0,143.0,141.0,99.0,0.0,994.0,143.0,143.0,141.0,99.0,994.0,994.0,994.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NLD,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5059895.584229391,5161.295101553166,5176.5606399041335,17733.35304659498,13.731182795698924,13.772300778909525,282605.9168410992,288.2692927120669,289.1219083283403,990.4454402628435,0.7669145758661887,0.7691947273816656,1.0697192642787996,161.69910625620656,9.20628897715988,607.9473684210526,34.61322840119166,87.07292707292707,4.95747952047952,741.0789210789211,42.19301198801199,13969665.834666668,40916.46133333333,798.1892666666666,2.337884,41247.06460296097,2.3567469717362046,0.21066263440860217,17.074462365591398,,28521935.202797204,10752592.125874126,9786084.602836879,8517541.474747475,,39987.379275653926,162.38846153846154,61.21958041958042,55.716028368794326,48.49363636363636,2276.6509054325957,12641.26861167002,0.07188028169014084,43.05405677655678,508.544,43.2,18.778999999999996,11.881,48472.545,,109.36100000000005,5.289999999999999,24.4,27.300000000000008,,3.32,82.27999999999999,0.9439999999999996,17564020.0,25421.891801626793,7.076028708133971,8.456315789473683,1446.7895421339715
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,25.0,1.423,0.0,0.0,56.0,3.188,1551.0,94.0,0.089,0.005,1382.0,0.079,0.005,1.4,,34675.0,34675.0,1.0,65.0,,3.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,-2684.2,-7.74,-14.67,-153.95856
25%,,,,2021-02-26 06:00:00,1062078.0,0.0,71.714,15556.0,0.0,0.0,59319.312,0.0,4.005,868.836,0.0,0.0,0.83,18.0,1.025,233.5,13.2945,21.0,1.196,326.0,18.561,4646968.0,17689.75,265.515,1.0105,18640.5,1.0655000000000001,0.083,4.2,,21942478.0,11838156.0,10915136.0,8933521.5,,1907.5,124.925,67.4,62.14,50.86,108.75,30.0,0.0,15.67,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,14193.798,7.24,0.88,810.99554
50%,,,,2022-04-20 12:00:00,8024980.0,0.0,829.286,22209.0,0.0,2.143,448212.2,0.0,46.317,1240.42,0.0,0.12,1.0,41.0,2.334,458.0,26.076,47.0,2.676,609.0,34.673,14069824.5,33270.5,803.912,1.901,34175.0,1.953,0.1245,8.05,,34598846.0,12553932.0,11741134.0,9276582.0,,14836.0,196.99,71.48,66.85,52.82,844.5,225.0,0.001,45.37,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,27604.299,8.11,7.03,1571.639
75%,,,,2023-06-12 18:00:00,8615965.0,0.0,4491.571,22986.0,0.0,12.143,481219.94,0.0,250.864,1283.817,0.0,0.678,1.28,192.0,10.931,919.0,52.323,115.0,6.547,1120.0,63.767,21281912.25,57526.0,1215.9915,3.28675,57568.5,3.2889999999999997,0.236,12.0,,39681084.5,12579305.5,11765647.0,9414209.5,,49140.5,225.925,71.62,66.99,53.6,2797.5,8270.5,0.047,65.74,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,41400.395,8.41,13.52,2349.8523
max,,,,2024-08-04 00:00:00,8640008.0,626302.0,89471.714,22986.0,1185.0,169.286,482562.8,34980.297,4997.185,1283.817,66.185,9.455,2.8,769.0,43.783,1918.0,109.201,375.0,21.35,2184.0,124.345,30687346.0,154818.0,1753.393,8.846,146399.0,8.365,0.7,200.0,,39764182.0,12582081.0,11768644.0,9416761.0,,267180.0,226.4,71.64,67.0,53.61,15212.0,142939.0,0.814,82.41,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,52080.188,10.81,70.32,2956.0286
std,,,,,3746236.1292375633,36163.920116582725,12821.824371007708,7206.7969409749285,78.21361400405719,26.716465545457396,209235.24577713734,2019.8317521776908,716.126116653603,402.5149526227988,4.368391752140593,1.4921430180780397,0.3633020645459287,213.91573151142305,12.179207315254141,477.9937073902732,27.21436712721168,94.35132048002123,5.371837597492144,518.267425915651,29.50733868673785,9997323.261541503,31745.627218918435,571.220253635318,1.8138513064636657,30793.639551822595,1.7594703597026249,0.2046208071671984,31.357411147865726,,13055242.645418447,3794674.2077541915,3869902.516227619,2215067.347370068,,56900.241090677766,74.3292417322396,21.604479024202817,22.03309468178114,12.611902092746815,3239.5894400439843,28214.200130114543,0.1606775142909303,25.317159426713996,0.0,0.0,3.553775299526064e-15,0.0,0.0,,4.264530359431277e-14,8.88443824881516e-16,0.0,7.107550599052128e-15,,0.0,1.4215101198104257e-14,3.331664343305685e-16,0.0,15738.642220229945,3.595744683107375,12.280474821524828,892.478154049362
