,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1681,1681,1681,1681,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,511.0,634.0,511.0,838.0,838.0,0.0,0.0,845,830.0,805.0,787.0,738.0,801.0,1274.0,830.0,805.0,787.0,738.0,1274.0,807.0,807.0,1092.0,1681.0,1681.0,1681.0,1681.0,1681.0,0.0,1681.0,1681.0,1681.0,1681.0,0.0,1681.0,1681.0,1681.0,1681.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NZL,Oceania,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1681,1681,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-24 00:00:00,1087802.219832736,1576.4922341696536,1580.326597962852,1456.8781362007169,2.5591397849462365,2.5585883762732173,211975.60761648745,307.20464755077654,307.9518472139006,283.89596833930705,0.49868757467144564,0.49863810665068903,0.8945767716535433,,,,,,,,,2172494.3943217667,8332.825831702545,423.51065930599367,1.6244031311154599,8656.289976133652,1.6874725536992838,,,,8195396.496385542,3257600.165217391,2985311.8233799236,2116843.5338753387,15388.193508114857,10514.186813186812,158.0508313253012,62.82378881987579,57.57268106734434,40.823888888888895,2027.7857142857142,5331.1908302354395,0.1028004956629492,34.812902930402934,18.205999999999996,37.89999999999999,15.322,9.72,36085.843,,128.797,8.08,14.800000000000002,17.199999999999996,,2.61,82.28999999999999,0.9310000000000004,5185289.0,-1191.0371318827752,-2.6788038277511963,0.5072248803827748,-232.1272272722488
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,225.0,25.0,0.044,0.005,35.0,0.007,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,-2811.0,-7.68,-17.31,-547.98206
25%,,,,2021-02-28 00:00:00,2002.0,0.0,3.0,26.0,0.0,0.0,390.122,0.0,0.585,5.067,0.0,0.0,0.77,,,,,,,,,482293.25,2942.0,94.019,0.5734999999999999,3636.25,0.7092499999999999,,,,4310559.25,2573389.0,1341336.5,9363.5,1468.0,2011.25,83.1325,49.63,25.869999999999997,0.18,388.0,31.5,0.001,15.64,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,-2202.8,-4.43,-4.23,-429.41833
50%,,,,2022-04-24 00:00:00,828867.0,0.0,224.429,564.0,0.0,0.0,161517.95,0.0,43.733,109.904,0.0,0.0,0.94,,,,,,,,,1576237.0,5397.0,307.275,1.052,5036.5,0.9815,,,,10987370.5,4281934.0,4015473.0,2686327.0,6100.0,2255.5,211.895,82.58,77.44,51.81,435.0,218.0,0.004,22.22,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,-1025.2,-2.35,0.19,-202.56345
75%,,,,2023-06-18 00:00:00,2306943.0,0.0,1405.571,3038.0,0.0,3.0,449544.62,0.0,273.898,592.003,0.0,0.585,1.09,,,,,,,,,3092532.75,9285.5,602.8645,1.81,11021.0,2.1487499999999997,,,,11840059.75,4297573.0,4132986.0,3454384.0,21589.0,11859.25,228.34,82.88,79.705,66.61749999999999,2287.5,6725.5,0.1295,49.73,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,-71.19962,-0.34,5.44,-13.751871
max,,,,2024-08-11 00:00:00,2639048.0,140787.0,20112.429,4284.0,236.0,33.714,514260.6,27434.592,3919.227,834.806,45.988,6.57,2.39,,,,,,,,,7264156.0,52117.0,1416.09,10.16,39929.0,7.784,,,,13398398.0,4302330.0,4291717.0,4944676.0,131500.0,81486.0,258.39,82.97,82.77,95.36,15715.0,58163.0,1.122,96.3,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,565.8004,0.39,21.79,108.22293
std,,,,,1102661.279450289,9426.620115523398,3254.1788742269678,1558.9102507323778,13.920546575201536,4.704844196676092,214871.13234391465,1836.9272158171632,634.1286187103708,303.77844319281235,2.712625899700946,0.9168308750075755,0.45294484490272297,,,,,,,,,2029099.5581110101,8450.642191109202,395.5569654135096,1.647390746744914,8009.811499573799,1.5614241817491292,,,,4532770.863642098,1589767.9220875218,1616466.350234552,1543242.9116519694,20284.901046868774,16301.155930211427,87.41594288433616,30.659176378355774,31.17406001168107,29.762061649376502,3143.6859503891287,10260.282916630294,0.19784525020088126,25.576617119176706,3.553770876764327e-15,7.107541753528654e-15,0.0,0.0,0.0,,0.0,0.0,1.7768854383821634e-15,3.553770876764327e-15,,0.0,1.4215083507057307e-14,3.3316601969665564e-16,0.0,1081.6448753552816,2.4175553857279466,7.695077656937652,210.59585263922844
