,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,71.0,71.0,71.0,71.0,78,100.0,99.0,94.0,6.0,2.0,893.0,100.0,99.0,94.0,6.0,893.0,893.0,893.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NIC,North America,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,10921.468339307048,9.668458781362007,9.69641282204913,194.67443249701313,0.14635603345280765,0.1468615937687238,1622.6442407407405,1.4364796893667862,1.4406159376872378,28.923707885304662,0.021768219832735962,0.021717195925704015,0.9952510460251046,,,,,,,,,187912.18181818182,,27.430181818181815,,225.04225352112675,0.03288732394366197,0.026867605633802815,39.39999999999999,,9377293.37,4880455.03030303,4485232.170212766,2892531.0,0.0,17370.156774916013,134.95600000000002,70.2379797979798,64.55063829787234,41.63,2499.964165733483,7176.6685330347145,0.10324860022396418,11.375412087912089,51.66700000000002,27.300000000000008,5.445,3.5189999999999992,5321.444,3.2,137.01600000000002,11.47,,,,0.9000000000000002,74.48000000000002,0.6600000000000001,6948395.0,11811.465308638888,29.05277777777778,23.216388888888886,1714.8810196694442
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,178803.0,,26.101,,137.0,0.02,0.0171,28.6,,0.0,0.0,162874.0,2892531.0,0.0,0.0,0.0,0.0,2.34,41.63,0.0,0.0,0.0,0.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,-40.3,-1.84,-14.29,-5.965156
25%,,,,2021-02-26 06:00:00,5106.0,0.0,0.571,172.0,0.0,0.0,758.618,0.0,0.085,25.555,0.0,0.0,0.6775,,,,,,,,,184456.0,,26.9255,,192.0,0.028,0.01915,32.05,,8336666.75,5044310.0,3753965.5,2892531.0,0.0,2159.0,119.97749999999999,72.595,54.0275,41.63,311.0,936.0,0.013,8.33,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,8065.0996,25.3325,-3.5300000000000002,1193.786125
50%,,,,2022-04-20 12:00:00,14339.0,0.0,4.0,232.0,0.0,0.0,2130.4,0.0,0.594,34.469,0.0,0.0,1.28,,,,,,,,,188495.0,,27.515,,205.0,0.03,0.0292,34.2,,11476869.0,5938231.0,5568278.5,2892531.0,0.0,4431.0,165.175,85.46,80.13499999999999,41.63,638.0,1564.0,0.023,8.33,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,10070.098,29.595,5.195,1469.97015
75%,,,,2023-06-12 18:00:00,15767.0,0.0,9.286,245.0,0.0,0.143,2342.564,0.0,1.38,36.401,0.0,0.021,1.34,,,,,,,,,191484.5,,27.951500000000003,,246.0,0.036,0.03125,52.25,,11915545.75,6100650.5,5816404.0,2892531.0,0.0,14866.0,171.485,87.8,83.71000000000001,41.63,2139.0,5057.0,0.073,13.89,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,18178.5975,34.837500000000006,21.5825,2629.3519
max,,,,2024-08-04 00:00:00,16185.0,606.0,86.571,245.0,18.0,2.571,2404.667,90.036,12.862,36.401,2.674,0.382,1.36,,,,,,,,,196380.0,,28.666,,349.0,0.051,0.035,58.3,,15507763.0,6404524.0,6126708.0,2892531.0,0.0,425219.0,223.18,92.17,88.17,41.63,61197.0,185228.0,2.666,24.07,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,18950.797,57.14,186.83,2727.3633
