,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,428.0,487.0,428.0,808.0,808.0,808.0,808.0,815,172.0,161.0,146.0,61.0,85.0,810.0,172.0,161.0,146.0,61.0,810.0,810.0,810.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MKD,Europe,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,227717.14635603345,209.63201911589007,210.20047633313362,6936.4874551971325,5.960573476702509,5.978457159976032,123743.44736081244,113.9158375149343,114.22473517076092,3769.3467449223417,3.2390227001194747,3.2487507489514678,0.9819094488188975,,,,,,,,,498532.5770020534,1867.5957943925234,237.0206201232033,0.8879252336448598,2558.6794554455446,1.2164529702970297,0.1361545792079208,26.27252475247525,,952893.3546511628,487342.4409937888,500900.41095890413,96819.45901639345,10892.258823529412,2300.688888888889,45.51447674418605,23.27788819875776,23.92527397260274,4.6245901639344265,1098.8728395061728,1055.674074074074,0.050420987654321,,82.60000000000001,39.100000000000016,13.259999999999998,8.159999999999998,13111.214000000005,5.0,322.68800000000005,10.079999999999998,,,,4.280000000000001,75.79999999999997,0.7740000000000001,2093606.0,11017.800540000002,23.467083333333335,21.453541666666666,5263.215560083333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,3126.0,113.0,1.486,0.054,230.0,0.109,0.002,2.5,,0.0,0.0,23862.0,137.0,605.0,1.0,0.0,0.0,1.14,0.01,0.0,1.0,0.0,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,-178.7,-7.34,-17.12,-84.6487
25%,,,,2021-02-26 06:00:00,99377.0,0.0,6.857,3575.0,0.0,0.143,54002.312,0.0,3.726,1942.686,0.0,0.078,0.79,,,,,,,,,100215.5,910.0,47.646,0.433,1410.5,0.6707500000000001,0.07105,5.675,,342956.75,236878.0,223595.5,24021.0,4941.0,15.0,16.38,11.31,10.6775,1.15,7.0,2.0,0.0,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,5965.9746,21.685,1.7175,2833.971925
50%,,,,2022-04-20 12:00:00,308517.0,0.0,39.0,9622.0,0.0,0.714,167650.78,0.0,21.193,5228.677,0.0,0.388,0.96,,,,,,,,,330905.0,1678.0,157.324,0.798,2316.0,1.1015000000000001,0.1181,8.5,,938667.0,510197.0,509716.0,135727.0,12033.0,227.5,44.834999999999994,24.37,24.345,6.48,108.5,14.0,0.001,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,14278.001,26.975,8.17,6804.1404
75%,,,,2023-06-12 18:00:00,348336.0,0.0,301.857,9939.0,0.0,7.714,189288.77,0.0,164.032,5400.938,0.0,4.192,1.15,,,,,,,,,622421.5,2700.5,295.922,1.28375,3223.0,1.532,0.176875,14.1,,1567071.75,793987.0,778275.25,158765.0,14701.0,2428.0,74.85249999999999,37.92,37.17,7.58,1159.5,816.75,0.03875,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,16361.151,32.3125,28.8575,7844.5091
max,,,,2024-08-04 00:00:00,350924.0,11881.0,1697.286,9978.0,324.0,46.286,190695.11,6456.238,922.32,5422.131,176.064,25.152,2.45,,,,,,,,,2074132.0,5569.0,986.118,2.648,9128.0,4.34,0.3981,511.2,,1862987.0,854570.0,838181.0,161633.0,39207.0,15628.0,88.98,40.82,40.04,7.72,7465.0,11463.0,0.548,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,16815.8,35.7,135.55,8062.495
