,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,51.0,51.0,51.0,51.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PLW,Oceania,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3133.1033452807646,3.8099222952779437,3.8213621103117514,4.442652329749104,0.005973715651135006,0.005993409227082085,176175.40139187573,214.23315421398684,214.8753573141487,249.8117807646356,0.3359038231780167,0.3369101258238466,0.5984857142857142,,,,,,,,,52363.82352941176,,2905.2275882352947,,267.15686274509807,14.822333333333335,0.0529156862745098,27.72941176470588,,,,,,,,,,,,,,,,47.23700000000001,,,,13240.405,,,15.889999999999995,7.700000000000002,22.699999999999992,,4.799999999999998,73.70000000000003,0.826,18084.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,44992.0,,2496.227,,116.0,6.436,0.0125,6.5,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,48120.0,,2669.774,,210.5,11.679,0.0287,13.6,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
50%,,,,2022-04-20 12:00:00,4122.0,0.0,0.0,6.0,0.0,0.0,231781.38,0.0,0.0,337.382,0.0,0.0,0.565,,,,,,,,,52157.0,,2893.753,,241.0,13.371,0.0472,21.2,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
75%,,,,2023-06-12 18:00:00,6011.0,0.0,0.714,9.0,0.0,0.0,338000.44,0.0,40.165,506.073,0.0,0.0,0.95,,,,,,,,,57484.0,,3189.303,,285.0,15.812,0.07355,34.85,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
max,,,,2024-08-04 00:00:00,6372.0,1029.0,147.0,10.0,6.0,0.857,358299.6,57861.0,8265.857,562.303,337.382,48.197,2.19,,,,,,,,,59627.0,,3308.2,,537.0,29.794,0.1534,79.8,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
std,,,,,2905.887952221741,42.582551091615386,15.725333742738407,4.244260188174477,0.1583316010835072,0.05967562661733147,163399.00717551046,2394.4305194978933,884.239884815658,238.6561207864486,8.903038713654423,3.355570177322979,0.498546016098641,,,,,,,,,4956.031896024456,,274.96849209728987,,102.52636198539761,5.688328115243236,0.034624837169575366,17.646192723844393,,,,,,,,,,,,,,,,7.107550599052128e-15,,,,0.0,,,5.330662949289096e-15,1.776887649763032e-15,7.107550599052128e-15,,1.776887649763032e-15,2.8430202396208514e-14,0.0,0.0,,,,
