,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,562.0,467.0,467.0,467.0,467.0,647,174.0,162.0,70.0,23.0,125.0,567.0,174.0,162.0,70.0,23.0,567.0,567.0,567.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PSE,Asia,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,466523.99103942653,420.0884109916368,421.3469233073697,4029.7562724014338,3.4097968936678615,3.4200431396045534,87935.88791577064,79.18316845878135,79.42040203714798,759.5752831541218,0.6427168458781363,0.6446291192330736,0.8506838453914768,,,,,,,,,,5427.967971530249,,1.0573861209964412,5436.250535331906,1.0589764453961454,0.17270578158458247,9.4389721627409,,1403305.8505747127,790393.1666666666,758922.1428571428,229709.95652173914,13126.24,6492.823633156967,26.729310344827585,15.055185185185186,14.456285714285714,4.3743478260869555,1236.6754850088184,3442.4021164021165,0.06569488536155202,51.85740842490843,778.202,20.400000000000002,3.043,1.7259999999999993,4449.898,1.0,265.90999999999997,10.590000000000002,,,,,74.04999999999997,0.708,5250076.0,1746.4999757083335,8.158333333333333,18.06625,340.3807410333334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,491.0,,0.096,1289.0,0.251,0.0167,1.2,,81942.0,73964.0,7978.0,2083.0,0.0,89.0,1.56,1.41,0.15,0.04,17.0,24.0,0.0,0.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,-284.3,-4.23,-14.87,-56.640156
25%,,,,2021-02-26 06:00:00,194875.0,0.0,0.0,2172.0,0.0,0.0,36732.316,0.0,0.0,409.404,0.0,0.0,0.48,,,,,,,,,,3410.0,,0.6645000000000001,3797.0,0.74,0.0896,4.5,,693410.75,408655.25,24089.0,2765.0,4075.0,239.0,13.2075,7.782500000000001,0.46,0.05,46.0,97.0,0.002,22.22,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,-20.6999995,-0.8875,1.73,-4.1239929
50%,,,,2022-04-20 12:00:00,656876.0,0.0,10.0,5657.0,0.0,0.0,123815.66,0.0,1.885,1066.297,0.0,0.0,0.87,,,,,,,,,,4653.0,,0.9065000000000001,4749.0,0.925,0.142,7.0,,1031382.0,591586.0,224340.0,326755.0,8796.0,3356.0,19.645,11.27,4.27,6.22,639.0,657.0,0.013,52.78,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,1323.25,9.715,11.595,260.42149
75%,,,,2023-06-12 18:00:00,703228.0,0.0,449.143,5708.0,0.0,4.714,132552.62,0.0,84.66,1075.91,0.0,0.889,1.14,,,,,,,,,,6605.75,,1.287,6377.5,1.2425000000000002,0.22025,11.149999999999999,,1884161.5,1197823.0,1526555.25,331144.0,18925.0,9350.0,35.89,22.8175,29.08,6.305,1781.0,3788.0,0.072,83.33,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,3610.024875,17.705,28.095,703.243425
max,,,,2024-08-04 00:00:00,703228.0,58046.0,8292.286,5708.0,174.0,24.857,132552.62,10941.188,1563.027,1075.91,32.798,4.685,2.5,,,,,,,,,,24882.0,,4.847,19542.0,3.807,0.8582,59.9,,3748571.0,2012767.0,1776973.0,336967.0,58442.0,41850.0,71.4,38.34,33.85,6.42,7971.0,39547.0,0.753,96.3,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,4737.8003,19.34,67.69,922.9374
