,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,744.0,788.0,744.0,829.0,829.0,829.0,829.0,836,137.0,135.0,119.0,69.0,37.0,842.0,137.0,135.0,119.0,69.0,842.0,842.0,842.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,22.0,22.0,22.0,22.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PAN,North America,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,650879.4157706093,624.1463560334528,626.0162115038945,6477.307048984469,5.229527794381351,5.245224220623501,147901.1905776583,141.8265603345281,142.25144997004196,1471.8570161290322,1.188320382546324,1.1918129496402878,0.9973405299313053,,,,,,,,,2439324.7994923857,7595.116935483871,560.601054568528,1.7454852150537632,7807.475271411339,1.7943136308805792,0.1377611580217129,12.527382388419785,,4360493.620437956,1976884.0592592594,1924042.924369748,1328941.5942028984,6976.027027027027,10563.434679334918,98.90941605839416,44.84185185185185,43.642100840336134,30.144782608695657,2396.1199524940616,4201.983372921615,0.09531116389548695,50.15768315018315,55.133,29.699999999999992,7.918000000000002,5.030000000000001,22267.037000000004,2.1999999999999997,128.346,8.329999999999998,2.399999999999999,9.900000000000004,,2.3000000000000003,78.50999999999999,0.8149999999999997,4408582.0,3377.6499227272725,11.551363636363636,19.275454545454547,777.4160126363637
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,,,,,,,,,107.0,31.0,0.025,0.007,128.0,0.029,0.0218,2.4,,641.0,641.0,2227.0,1673.0,13.0,113.0,0.01,0.01,0.05,0.04,26.0,58.0,0.001,0.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,-1851.4,-27.35,-95.92,-431.1205
25%,,,,2021-02-26 06:00:00,335339.0,0.0,14.571,5711.0,0.0,0.143,76200.04,0.0,3.311,1297.727,0.0,0.032,0.86,,,,,,,,,442839.0,3599.5,101.77275,0.8272499999999999,4969.0,1.142,0.0547,5.0,,211751.0,204186.0,247132.0,977077.0,1049.0,1652.75,4.8,4.63,5.605,22.16,374.5,181.0,0.004,19.88,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,285.45000500000003,6.6675,8.442499999999999,66.4704275
50%,,,,2022-04-20 12:00:00,768470.0,0.0,221.0,8178.0,0.0,1.429,174621.64,0.0,50.218,1858.31,0.0,0.325,0.98,,,,,,,,,2206671.5,6905.5,507.1335,1.5870000000000002,7283.0,1.674,0.1089,9.2,,5597294.0,2975514.0,2769469.0,1519074.0,3733.0,5602.0,126.96,67.49,62.82,34.46,1270.5,583.5,0.013,58.33,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,2839.0000499999996,14.21,18.325000000000003,661.09493
75%,,,,2023-06-12 18:00:00,1039412.0,0.0,768.714,8632.0,0.0,6.286,236188.56,0.0,174.677,1961.474,0.0,1.428,1.13,,,,,,,,,4067848.0,10048.0,934.865,2.30925,10217.0,2.348,0.1983,18.3,,8079415.0,3468674.0,3105400.5,1905550.0,10421.0,12474.0,183.27,78.68,70.44,43.22,2829.5,4688.25,0.106,74.54,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,6607.475,21.112499999999997,38.2875,1518.5185
max,,,,2024-08-04 00:00:00,1044821.0,68214.0,9744.857,8748.0,326.0,46.571,237417.66,15500.462,2214.352,1987.833,74.078,10.583,1.89,,,,,,,,,6499239.0,36057.0,1493.643,8.287,28227.0,6.487,0.4137,45.9,,8893001.0,3533477.0,3174155.0,2033783.0,27784.0,71750.0,201.72,80.15,72.0,46.13,16275.0,66795.0,1.515,93.52,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,7525.8994,24.63,86.76,1729.5892
std,,,,,397465.9865689041,3404.9911311475585,1151.0715785712741,2978.4995982290848,25.781677469438108,8.463620138151068,90317.33274544838,773.7258644470866,261.56126497810084,676.812972717608,5.858454279859791,1.923255462768573,0.2591900123672155,,,,,,,,,1985085.853630527,5431.277850432227,456.20870002133853,1.2481852473190778,4815.794423398247,1.1067554696647381,0.0973747698755648,9.353346066119226,,3641755.0173120117,1535781.8671320362,1354191.087469496,691383.0250136597,7286.849477298458,14835.181287795063,82.60614524361638,34.8361834789759,30.717594193014108,15.68241555604985,3365.0628224316656,9144.196821862737,0.20740786953750637,28.32008302765515,0.0,7.107550599052128e-15,1.776887649763032e-15,8.88443824881516e-16,3.63906590671469e-12,4.44221912440758e-16,0.0,1.776887649763032e-15,8.88443824881516e-16,3.553775299526064e-15,,4.44221912440758e-16,1.4215101198104257e-14,2.22110956220379e-16,0.0,3259.4192338855105,13.459895738453671,36.285519704969644,749.2389454002428
