,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,71.0,71.0,58.0,26.0,0.0,762.0,71.0,71.0,58.0,26.0,762.0,762.0,762.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PNG,Oceania,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,29283.19056152927,27.995221027479094,28.079092869982027,415.2903225806452,0.41841004184100417,0.4196768585131895,2870.007515531661,2.7437676224611707,2.751964649490713,40.70218100358422,0.04100597728631202,0.04112709832134293,0.7941223103057758,,,,,,,,,249149.0,,25.042,,,,,,,455379.8732394366,249827.97183098592,238312.55172413794,29694.5,,967.3057742782153,4.490281690140844,2.4642253521126762,2.3498275862068962,0.29230769230769227,95.37926509186352,500.93700787401576,0.004981627296587927,45.364404761904765,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,,561.4939999999999,17.650000000000002,23.5,48.8,,,64.5,0.5549999999999999,10142625.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,,,,,,,,,249149.0,,25.042,,,,,,,0.0,0.0,8352.0,21585.0,,14.0,0.0,0.0,0.08,0.21,1.0,0.0,0.0,0.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
25%,,,,2021-02-26 06:00:00,1056.0,0.0,0.0,9.0,0.0,0.0,103.497,0.0,0.0,0.882,0.0,0.0,0.63,,,,,,,,,249149.0,,25.042,,,,,,,144577.0,108579.0,226738.25,27235.75,,283.0,1.4300000000000002,1.0699999999999998,2.2325,0.27,28.0,120.0,0.001,39.59,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
50%,,,,2022-04-20 12:00:00,43663.0,0.0,2.143,643.0,0.0,0.0,4279.354,0.0,0.21,63.02,0.0,0.0,0.73,,,,,,,,,249149.0,,25.042,,,,,,,560915.0,310659.0,279010.5,30119.0,,537.0,5.53,3.06,2.75,0.295,53.0,243.0,0.002,49.07,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
75%,,,,2023-06-12 18:00:00,46864.0,0.0,17.714,670.0,0.0,0.0,4593.08,0.0,1.736,65.666,0.0,0.0,0.99,,,,,,,,,249149.0,,25.042,,,,,,,678098.0,355079.5,298796.5,33106.0,,952.0,6.6850000000000005,3.505,2.9475000000000002,0.3275,94.0,562.25,0.00575,56.02,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
max,,,,2024-08-04 00:00:00,46864.0,3038.0,434.0,670.0,96.0,13.714,4593.08,297.75,42.536,65.666,9.409,1.344,1.41,,,,,,,,,249149.0,,25.042,,,,,,,737695.0,382020.0,321192.0,34483.0,,5196.0,7.27,3.77,3.17,0.34,512.0,2530.0,0.025,83.8,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
std,,,,,20041.863221140444,184.80518483786565,64.93901742688803,299.53338976800075,4.337380155033346,1.595150275433572,1964.2770303835778,18.112503402958374,6.364605816889612,29.35697142581245,0.4250979692460006,0.15632426164270824,0.2218689803322193,,,,,,,,,,,,,,,,,,269360.7168254352,135170.9919495591,92615.71493839427,3909.0972691914435,,1254.1696027976416,2.655673695441509,1.333264159842121,0.913444399789255,0.03881316192300672,123.60419318712776,646.9938642798244,0.006399710775141036,18.71582490421364,0.0,0.0,4.44221912440758e-16,0.0,4.548832383393362e-13,,1.1372080958483405e-13,3.553775299526064e-15,0.0,0.0,,,0.0,1.110554781101895e-16,0.0,,,,
